Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
C00388_Histamine,0.5769635877520832,0.21010437246118663,-1.457374086526975,2359.0,0.011559374536484498,0.2662372517444982,0.6288087713603367,False
C00055_CMP,-0.49448930704281224,-0.10505764503350316,-2.234758174620701,1352.0,0.009235549610366605,-0.27428878153515834,0.6288087713603367,False
C00364_dTMP,-0.39389323994400244,-0.012420036592742592,-4.987063339419262,1385.0,0.014917912701553447,-0.2565754159957059,0.6288087713603367,False
C05135_4-(beta-Acetylaminoethyl)imidazole,0.20256235487630955,-0.09408493142060118,,2335.5,0.016123301829752225,0.2536231884057971,0.6288087713603367,False
C00489_Glutarate,1.7632552398988224,2.0528777266473033,0.21940637329515145,1443.0,0.03252368817129808,-0.22544283413848631,0.6841096148712885,False
C00191_Glucuronate,-0.06975080720935886,0.3660674201423369,,1444.0,0.03290579299072078,-0.22490606548577563,0.6841096148712885,False
C00493_Shikimate,-0.32372691449164487,0.1129345421770662,,1433.0,0.028532372295767924,-0.23081052066559316,0.6841096148712885,False
C05629_3-Phenylpropionate,0.8982164757944081,1.440667827291042,0.6816026431516488,1449.0,0.03508254435237377,-0.2222222222222222,0.6841096148712885,False
C00670_Glycerophosphorylcholine,-0.45293346405579243,-0.15735341066354933,-1.5252906848244128,1473.0,0.04701220704664211,-0.2093397745571659,0.7839439410448906,False
C00864_Pantothenate,-0.20179619907864252,0.07893720109975257,,1497.0,0.062310463343308614,-0.19645732689210949,0.7839439410448906,False
C02155_Gly-Leu,0.5939678124412276,0.7977867774751494,0.42561845989727903,1525.0,0.08542978844719962,-0.18142780461621044,0.7839439410448906,False
C00245_Taurine,1.899609101813105,1.6859375851409724,-0.1721514464069115,2220.0,0.06924084298293245,0.19162640901771333,0.7839439410448906,False
C03570_Mannosamine,-0.6805737932569034,-0.9317696915910441,0.4532218048333635,2201.0,0.08520043498081284,0.18142780461621033,0.7839439410448906,False
C00043_UDP-N-acetylglucosamine,0.16752238149564694,0.4205277984054454,1.3278473136062967,1504.0,0.06753291086640435,-0.1926999463231347,0.7839439410448906,False
C00134_Putrescine,1.9628107833725656,1.7221491125942352,-0.18871103831346725,2236.0,0.05764518930183464,0.20021470746108427,0.7839439410448906,False
C00122_Fumarate,-0.5537350705975819,-0.20317489495887173,-1.446473749356642,1525.0,0.08534661708106425,-0.18142780461621044,0.7839439410448906,False
C04501_N-Acetylglucosamine 1-phosphate,0.468389885993881,0.6562340374495192,0.48650050133437145,1524.5,0.08492540442758258,-0.18169618894256578,0.7839439410448906,False
C00093_Glycerophosphate,0.32005981423149277,0.6284187514661332,0.9733846821018791,1535.0,0.09491311832649445,-0.1760601180891036,0.8225803588296186,False
C04137_Octopine,-0.6556289813135544,-0.34311253481769793,-0.934197796333943,1550.5,0.11172640300359832,-0.167740203972088,0.9173325720295441,False
C06103_6-Hydroxyhexanoate,-0.6283540138826944,-0.42304029335797416,-0.5707825185064413,1776.0,0.6592718670075364,-0.04669887278582929,0.9903268945801663,False
C05984_2-Hydroxybutyrate,-0.1626239293145173,-0.21380089356048446,0.3947283243494777,1840.5,0.9107050217175005,-0.012077294685990392,0.9903268945801663,False
C06104_Adipate,0.43032311072496,0.42755447159078386,-0.009312088106727293,1852.0,0.9573204662679682,-0.005904455179817525,0.9903268945801663,False
C00931_Porphobilinogen,-0.6983074625524756,-0.5072640105101408,-0.4611255830056126,1614.0,0.20508941348489718,-0.13365539452495978,0.9903268945801663,False
C00383_Malonate,-0.18970925528259247,-0.07180153686242738,-1.4017034366153684,1751.5,0.571549927430482,-0.05984970477724105,0.9903268945801663,False
C01586_Hippurate,-0.5483082259909741,-0.5897411127440089,0.10509465476052521,1853.5,0.9633993432846847,-0.005099302200751499,0.9903268945801663,False
C01921_Glycocholate,0.7669672255800933,0.6889043955248565,-0.15486114595676329,1870.0,0.9735724532464906,0.0037573805689747886,0.9903268945801663,False
C11284_3-Indolebutyrate,0.16950132135145562,0.11111200636250364,-0.6092818019496904,1932.0,0.726921788490126,0.03703703703703698,0.9903268945801663,False
C00296_Quinate,0.3958985957051957,0.43836849596815625,0.1470131704889786,1817.5,0.8185260944667327,-0.024422973698336015,0.9903268945801663,False
"C11003_2,4-Dimethylaniline",-0.25692836244533757,-0.15277558544277867,-0.7499521497045329,1804.0,0.7655980031037686,-0.03166935050993025,0.9903268945801663,False
