Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Negativibacillus faecipullorum,-0.027653763118780064,0.4333094840627004,,1203.0,0.0007765072384548079,-0.35426731078904994,0.388253619227404,False
Fusobacterium_A mortiferum,1.0228509150447818,0.9352056795319228,-0.12924028479764385,2013.0,0.4461180415582614,0.08051529790660217,0.9141763146685684,False
Citrobacter_B koseri,-0.07620344874781788,-0.09629916406901239,0.3376669837091378,2016.0,0.43704563093705695,0.08212560386473422,0.9141763146685684,False
Lachnospira sp000437735,0.9510215521542815,1.347595575483237,0.5028376557001668,1516.0,0.07741570604800609,-0.1862587224906066,0.9141763146685684,False
Lachnospira eligens_A,1.69803415828584,1.305411766792114,-0.3793605322298145,2013.0,0.4461180415582614,0.08051529790660217,0.9141763146685684,False
Alistipes putredinis,2.8382646689331206,2.053579513515615,-0.4668683185576919,2270.0,0.03829697121920802,0.21846484165324753,0.9141763146685684,False
Prevotella sp900313215,0.8214975647900074,0.9417775767083816,0.19713007459535364,1577.0,0.14566789397820756,-0.15351583467525498,0.9141763146685684,False
Faecalibacterium prausnitzii_C,2.6951234045653596,2.2138609311306303,-0.28378673404409893,2107.0,0.21462101395264388,0.13097155126140625,0.9141763146685684,False
Phascolarctobacterium faecium,1.1426213002536239,0.9036058433071477,-0.33858182406594967,2051.0,0.33929272635033314,0.10091250670960816,0.9141763146685684,False
Streptococcus pasteurianus,-0.188658836069723,0.15585249575986382,,2027.0,0.40470289440237694,0.08803005904455175,0.9141763146685684,False
Lawsonibacter sp900754605,1.2592833118788886,1.4798563643135365,0.2328542586661166,1544.0,0.10455004619705813,-0.17122920021470744,0.9141763146685684,False
Haemophilus_D parainfluenzae_A,0.26688083765056375,0.11558703891976173,-1.207216087637572,2083.0,0.26329096475474745,0.11808910359635005,0.9141763146685684,False
Onthomonas sp900758315,1.800420817818901,1.9385453826231271,0.10664035846194374,1685.0,0.3656771927838972,-0.09554482018250132,0.9141763146685684,False
Alloprevotella sp900539625,0.15095879681223429,0.16304253622155643,0.1110935693049801,2033.0,0.3876815308437701,0.09125067096081585,0.9141763146685684,False
Lawsonibacter sp902363045,0.8924931034345742,0.8831541352125885,-0.015175770368195776,1694.0,0.3904877219992302,-0.09071390230810517,0.9141763146685684,False
Niameybacter stercoravium,-0.10039953130233552,-0.17628748183093398,0.8121774988452982,2025.0,0.4104745358276133,0.08695652173913038,0.9141763146685684,False
Coproplasma sp910583855,-0.00895397750359122,-0.1492536802657537,4.059094016970231,2228.0,0.06322359834289745,0.1959205582393988,0.9141763146685684,False
Bifidobacterium longum,1.3976548424506088,1.8915206753909275,0.4365384216625555,1512.0,0.07405603575333979,-0.18840579710144922,0.9141763146685684,False
CAG-127 sp900319515,0.8956751796242021,0.6440074643624037,-0.4758982176551446,2039.0,0.37110385302328996,0.09447128287707995,0.9141763146685684,False
Fusicatenibacter saccharivorans,2.3745279825154766,2.738950419436031,0.2059823928923912,1600.0,0.18096518622804414,-0.14117015566290925,0.9141763146685684,False
Acetatifactor sp900066565,2.552475317460906,2.252814803703733,-0.18016829088268355,2066.0,0.30206801493743085,0.10896403650026842,0.9141763146685684,False
Bacteroides uniformis,4.256952055909779,4.782590449018925,0.1679714114745056,1531.0,0.09113579995125053,-0.17820719269994634,0.9141763146685684,False
Ruthenibacterium merdipullorum,0.08192354948727397,0.3811664341372892,2.2180709492220223,1473.0,0.04714177330776232,-0.2093397745571659,0.9141763146685684,False
