Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
C00214_Thymidine,-0.06011469700272304,1.618054758861734,,238.0,3.7466399010440496e-11,-0.7901234567901234,1.990091435531131e-09,True
C00106_Uracil,-1.200174280864568,1.33037169331574,,239.0,3.917502825848683e-11,-0.7892416225749559,1.990091435531131e-09,True
C00327_Citrulline,1.2201778484704564,2.445517108774318,1.0030481128663729,218.0,1.3659193977767385e-11,-0.8077601410934745,1.990091435531131e-09,True
C00253_Nicotinate,-0.5341142722334997,1.5089182586168637,,236.0,3.384626676398516e-11,-0.7918871252204586,1.990091435531131e-09,True
C02989_Methionine sulfoxide,0.6522185804578043,1.778507798754531,1.4472398540873712,227.0,2.1562774161832723e-11,-0.7998236331569665,1.990091435531131e-09,True
C00624_N-Acetylglutamate,0.9661451441177641,2.000361562641916,1.0499489419361536,258.0,1.0059460805756432e-10,-0.7724867724867726,3.193878805827667e-09,True
C04483_DCA,1.4732088261917635,2.666362750886659,0.8559111224383605,257.0,9.579623585041207e-11,-0.7733686067019401,3.193878805827667e-09,True
C00262_Hypoxanthine,-0.49326118355806253,1.1816151695490227,,254.0,8.265636533801388e-11,-0.7760141093474426,3.193878805827667e-09,True
C00025_Glu,2.7521536031861586,3.5875097866882975,0.38242177546104883,267.0,1.5580003845635668e-10,-0.7645502645502645,4.337262676244187e-09,True
C00385_Xanthine,-1.0924380696666083,1.4151152757056173,,269.0,1.707583730804798e-10,-0.7627865961199295,4.337262676244187e-09,True
C00437_N-Acetylornithine,0.3756912463646482,1.1380705323535734,1.5989705651543158,278.0,2.6438155191508183e-10,-0.7548500881834215,6.104810380584617e-09,True
C00065_Ser,1.3411163757334184,2.221639015901629,0.7281899857963118,289.0,4.4574979707935525e-10,-0.7451499118165785,8.709265266012018e-09,True
C00140_N-Acetylglucosamine,0.6939817789272026,2.1784337796056925,1.6503215692459465,288.0,4.2519028206747954e-10,-0.746031746031746,8.709265266012018e-09,True
C00148_Pro,1.7864105854143355,2.840513309467338,0.669087957817274,299.0,7.12682147238633e-10,-0.736331569664903,1.29300903856152e-08,True
