Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Blautia ornithocaccae,-0.05249183188322825,-0.2039912106816648,1.9583421431850256,1888.0,2.6212700740964757e-08,0.6649029982363315,2.6223390403207144e-05,True
Eggerthella sp014287365,0.08307684124640478,-0.28345481175364606,,1914.0,8.56009381969822e-09,0.6878306878306879,2.6223390403207144e-05,True
Eggerthella lenta,1.2579753564371376,0.07525264846945803,-4.0632174907633365,1885.0,2.975703875541236e-08,0.6622574955908289,2.6223390403207144e-05,True
Faecalimonas sp900550235,-0.0031078307965751767,-0.2011117056783498,6.0159453319493705,1897.0,1.7866254063615014e-08,0.6728395061728396,2.6223390403207144e-05,True
Ruminococcus_B gnavus,3.2535015995675503,1.0521466093334444,-1.6286575147459288,1865.0,6.846667503185209e-08,0.6446208112874781,4.826900589745572e-05,True
Ruminococcus_B sp900544395,1.0089274223475997,-0.05669392493289277,,1853.0,1.1173642492599199e-07,0.6340388007054674,5.786731492755901e-05,True
Eubacterium_G sp900550135,-0.09223617650938228,-0.21895964989865607,1.2472604190301908,1852.0,1.1635139799844437e-07,0.6331569664902998,5.786731492755901e-05,True
Blautia argi,0.33106199606681264,-0.16397689934320697,,1849.0,1.313300764313396e-07,0.6305114638447973,5.786731492755901e-05,True
Eggerthella timonensis,-0.1420755700369758,-0.3167391414301613,1.1566366579664036,1841.0,1.809672771604068e-07,0.6234567901234569,6.37909651990434e-05,True
Gemmiger sp900545545,-0.17360736235285226,-0.26720941357157973,0.6221427029887698,1842.0,1.738905476825884e-07,0.6243386243386244,6.37909651990434e-05,True
Mediterraneibacter stercoripullorum,-0.004662394161423683,-0.29851453640371733,6.000586430749853,1828.0,3.0249876719118454e-07,0.6119929453262787,9.693710494081141e-05,True
Faecalimonas sp900556835,1.1985948957748218,0.5535524064870136,-1.114552322261242,1821.0,3.9743001513032955e-07,0.6058201058201058,0.0001167450669445343,True
Bifidobacterium pullorum,-0.2030803902543984,-0.31417828783313956,0.6295325452905454,1809.0,6.307439682461095e-07,0.5952380952380953,0.000171028652928272,True
Bifidobacterium pullorum_B,-0.13313155775895794,-0.30313741727476157,1.1871193494620205,1807.0,6.807134830134282e-07,0.5934744268077601,0.00017139393054445246,True
Bifidobacterium sp002451435,-0.03953215171378027,-0.27940727044968655,2.821271177177615,1803.0,7.923407437931997e-07,0.58994708994709,0.0001862000747914019,True
Mediterraneibacter sp900752395,-0.17816162131980506,-0.29110920353197134,0.7083738596469074,1801.0,8.545715079945237e-07,0.588183421516755,0.00018827278535504352,True
Faecalimonas phoceensis,1.6556356548282907,0.412978698357254,-2.003245949051069,1797.0,9.934511853416573e-07,0.5846560846560847,0.00020599502519584364,True
UBA9414 sp003458885,0.20905520287521936,-0.0466091381755249,,1793.0,1.1539273623242281e-06,0.5811287477954146,0.00022597744178849468,True
Anaerostipes sp001940315,-0.1662572786136438,-0.2724467135610114,0.712556586524126,1791.0,1.2432462626829702e-06,0.5793650793650793,0.0002306548987346037,True
CAG-317 sp011960265,-0.14374580488641497,-0.2537825722705923,0.8200731477198192,1776.0,2.1601404734004213e-06,0.566137566137566,0.00024677621697636074,True
Bifidobacterium sp012932425,-0.15811308569508,-0.30664700425968755,0.9556220848882999,1779.0,1.9360137242503723e-06,0.5687830687830688,0.00024677621697636074,True
Anaerostipes sp018918155,-0.009066376887928596,-0.21217121411767922,4.548559004840479,1777.0,2.0827972035250384e-06,0.5670194003527338,0.00024677621697636074,True
Bifidobacterium lemurum,-0.20139170965230266,-0.3160034902417506,0.6499361976298109,1777.0,2.0827972035250384e-06,0.5670194003527338,0.00024677621697636074,True
Bifidobacterium saguini,0.01960835100488803,-0.22788552894792383,,1784.0,1.6112470801267295e-06,0.5731922398589064,0.00024677621697636074,True
Faecalimonas sp900546325,0.18320690889685776,-0.21391799084676677,,1777.0,2.0827972035250384e-06,0.5670194003527338,0.00024677621697636074,True
Blautia_A sp900551465,-0.14338250848371953,-0.278414436364741,0.9573649827901188,1775.0,2.240237998083275e-06,0.5652557319223985,0.00024677621697636074,True
Faecalibacterium gallistercoris,-0.16870944147953268,-0.23687413151997733,0.4895799406458044,1776.0,2.1601404734004213e-06,0.566137566137566,0.00024677621697636074,True
Erysipelatoclostridium ramosum,1.5272244962412123,0.25756115509593447,-2.567925217653196,1776.0,2.1601404734004213e-06,0.566137566137566,0.00024677621697636074,True
Eggerthella sinensis,-0.1469265154720387,-0.31490015603298066,1.0997996937858314,1776.0,2.1601404734004213e-06,0.566137566137566,0.00024677621697636074,True
Collinsella sp900552425,-0.17160697996180516,-0.26925818484279496,0.6498819660501511,1786.0,1.4965927006902708e-06,0.5749559082892417,0.00024677621697636074,True
Bifidobacterium scardovii,-0.09549924440966827,-0.28096265928906605,1.5568171823424088,1776.0,2.1601404734004213e-06,0.566137566137566,0.00024677621697636074,True
Faecalimonas sp000209385,0.16884068757941456,-0.22528823147054125,,1775.0,2.240237998083275e-06,0.5652557319223985,0.00024677621697636074,True
Bifidobacterium sp012932445,-0.19140765738139154,-0.3119360621119701,0.7046018019604124,1773.0,2.4090730488603996e-06,0.5634920634920635,0.00025733280294645177,True
Collinsella sp900553165,-0.19600247644369492,-0.2908356692410984,0.5693323356387687,1771.0,2.5900874790574093e-06,0.5617283950617284,0.000268531128343452,True
