Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
C8-pos_Cluster_1858: NA,0.3240377528175495,3.035894831390939,3.227888001029591,385.0,1.627817557462623e-17,-0.84375,1.0410885318366715e-13,True
C8-pos_Cluster_1064: NA,4.2930275425919096,6.863286013757514,0.6769040487085347,405.0,3.291706803439302e-17,-0.8356331168831169,1.0410885318366715e-13,True
HILIC-pos_Cluster_2093: urobilin*,6.380613282848678,-1.5024696259975725,,4521.0,3.5303103826268956e-17,0.8348214285714286,1.0410885318366715e-13,True
C18-neg_Cluster_0136: NA,5.3349743146731345,-0.9742183133752271,,4507.0,5.753991961707478e-17,0.8291396103896105,1.0914105909572593e-13,True
C18-neg_Cluster_2021: urobilin,7.663076784181604,-0.4318039061565033,,4505.0,6.168252463870574e-17,0.828327922077922,1.0914105909572593e-13,True
C8-pos_Cluster_2438: NA,-3.318217761732231,2.131507625083245,,456.0,1.9240617228044392e-16,-0.814935064935065,2.8370290102751453e-13,True
C8-pos_Cluster_1004: C16:0 ceramide (d18:1),1.7112654376757475,4.476958961853276,1.3874555373637854,465.0,2.6157336470446343e-16,-0.8112824675324675,3.305913653629126e-13,True
C18-neg_Cluster_0197: NA,1.9559296175493721,-3.1530486497138357,,4454.0,3.55104317639721e-16,0.8076298701298701,3.8640616330532694e-13,True
C18-neg_Cluster_0500: NA,1.7399790391956134,-3.1004025456256907,,4451.0,3.930886707073519e-16,0.8064123376623376,3.8640616330532694e-13,True
C18-neg_Cluster_0404: NA,3.639585928276361,-2.338590612000703,,4447.0,4.500242699095137e-16,0.8047889610389611,3.9813647158894676e-13,True
C18-neg_Cluster_1670: NA,1.7245569225693036,5.077068154725455,1.5577698782073046,493.0,6.742340026018095e-16,-0.7999188311688312,5.422680200925644e-13,True
HILIC-pos_Cluster_0649: NA,2.022281623531687,-1.5660821386322612,,4432.0,7.456009220435725e-16,0.7987012987012987,5.496942797766238e-13,True
HILIC-pos_Cluster_1275: NA,3.562666245670549,-2.2484665036541838,,4428.0,8.525214642227999e-16,0.797077922077922,5.57100703278167e-13,True
C8-pos_Cluster_1059: NA,-1.3434249129099156,2.288226932729815,,501.0,8.815880915445165e-16,-0.796672077922078,5.57100703278167e-13,True
C18-neg_Cluster_0431: NA,5.733915862768446,-0.7242131180597151,,4418.0,1.1904173579841123e-15,0.7930194805194806,6.19507198005026e-13,True
C18-neg_Cluster_1963: NA,-3.4004572349259523,0.9281477593989563,,508.0,1.1137466892281722e-15,-0.7938311688311688,6.19507198005026e-13,True
C8-pos_Cluster_0738: NA,0.5862009761995262,3.5091349030605867,2.5816481350373,509.0,1.1514912102346882e-15,-0.7934253246753247,6.19507198005026e-13,True
C8-pos_Cluster_0498: NA,-2.0750802715726824,2.2239547959098456,,512.0,1.2724481551157323e-15,-0.7922077922077921,6.254082682393824e-13,True
C18-neg_Cluster_1692: NA,-4.656192297824792,0.5493106621581384,,516.0,1.453284123592987e-15,-0.7905844155844156,6.766949811277451e-13,True
C18-neg_Cluster_0506: adrenic acid,-1.8255742944447282,2.8178356936959124,,519.0,1.6054887042568311e-15,-0.7893668831168831,6.991640885480118e-13,True
HILIC-pos_Cluster_1196: NA,2.046048017755402,-2.6299697351126414,,4408.0,1.659596005369984e-15,0.7889610389610389,6.991640885480118e-13,True
C18-neg_Cluster_1324: docosapentaenoic acid ,-3.1140541774902784,1.5961960543290779,,522.0,1.7732544966793771e-15,-0.7881493506493507,7.130901150964749e-13,True
C18-neg_Cluster_1343: NA,-4.343843284534237,0.04495888815725828,,525.0,1.9581332168241745e-15,-0.7869318181818181,7.532001986627596e-13,True
C18-neg_Cluster_2149: NA,2.787118952092786,-2.6590271161408996,,4399.0,2.2346382267487065e-15,0.7853084415584415,8.173618059845525e-13,True
