Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
HGM20899 sp900767005,-1.9997384682747013,-0.820818583093912,-1.2846760338828185,278.0,3.361669825413429e-19,-0.8871753246753247,8.483036557205671e-16,True
Limosilactobacillus pontis_A,-2.0070400590275477,0.15021688845249215,,281.0,3.757712760666964e-19,-0.8859577922077922,8.483036557205671e-16,True
Lactobacillus sp910589175,-1.9966588466101083,-0.5753031199566112,-1.7951936527532535,320.0,1.5769264912095523e-18,-0.8701298701298701,2.3732743692703762e-15,True
Pediococcus acidilactici_A,-1.9640080333160899,0.14103496399903778,,357.0,6.006554220554675e-18,-0.8551136363636364,6.779898076451089e-15,True
Lactobacillus rodentium,-2.0210632876140973,-1.1534370378582408,-0.8091752446248389,364.0,7.716134755772138e-18,-0.8522727272727273,6.967669684462241e-15,True
Lactiplantibacillus plantarum_A,-2.010911280850898,-0.985150218625176,-1.0294338001645553,385.0,1.627817557462623e-17,-0.84375,1.2249327119906239e-14,True
Lactobacillus sp910589675,-1.9990584513851988,-0.6296401383943064,-1.666721238446779,399.0,2.6667290542125326e-17,-0.8380681818181819,1.3855651274146448e-14,True
Ventricola sp900548125,2.6516906999325625,-0.06899933045053482,,4529.0,2.6667290542125326e-17,0.8380681818181819,1.3855651274146448e-14,True
Amycolatopsis orientalis,-1.9012855668348678,-0.8083016466662692,-1.2340095445869246,401.0,2.8608062045791346e-17,-0.8372564935064934,1.3855651274146448e-14,True
Necropsobacter massiliensis,-2.0093542931436557,-1.2828642493285807,-0.6473634504642655,403.0,3.068804268913942e-17,-0.8364448051948052,1.3855651274146448e-14,True
Ligilactobacillus salivarius,-1.7628900654599338,0.7946415441752279,,407.0,3.530565768789976e-17,-0.8348214285714286,1.4491367678260675e-14,True
Lactobacillus hamsteri,-2.0140867918723067,-1.1128610176372584,-0.8558524245212951,415.0,4.6692703411561163e-17,-0.8315746753246753,1.7310449534233757e-14,True
CAG-83 sp900548615,2.550603229926998,0.05796301004783873,-5.45956216238586,4511.0,5.0064308098362695e-17,0.8307629870129871,1.7310449534233757e-14,True
Acinetobacter sp001696615,-2.0169875650204703,-0.8323412706865995,-1.2769551112803827,419.0,5.367581250925196e-17,-0.8299512987012987,1.7310449534233757e-14,True
Ligilactobacillus saerimneri,-2.008038942612621,-1.135216009053479,-0.8228204084710858,436.0,9.677090237448049e-17,-0.823051948051948,2.0805744010513305e-14,True
Limosilactobacillus fermentum,-1.3204487155512026,1.7534408985883538,,436.0,9.677090237448049e-17,-0.823051948051948,2.0805744010513305e-14,True
Proteus vulgaris,-2.01255710240668,-1.1144022594916576,-0.8527596293688992,435.0,9.348577424651615e-17,-0.8234577922077921,2.0805744010513305e-14,True
Saccharimonas sp015257665,-2.0022984105016235,-1.226146168097271,-0.7075260287973625,435.0,9.348577424651615e-17,-0.8234577922077921,2.0805744010513305e-14,True
Lactobacillus xujianguonis,-2.0210632876140973,-1.1202278507762395,-0.8513222973575345,428.0,7.337518427839635e-17,-0.8262987012987013,2.0805744010513305e-14,True
Gallimonas sp900548845,-1.9277888854864749,-0.7146335927178554,-1.4316714317830845,432.0,8.427612682627638e-17,-0.8246753246753247,2.0805744010513305e-14,True
Pediococcus acidilactici,-1.744808715259212,1.358523660865743,,429.0,7.596242847735844e-17,-0.8258928571428572,2.0805744010513305e-14,True
Actinomyces haliotis,-2.0005384933498354,-1.4201444637383434,-0.49435069370488754,438.0,1.0368638337097437e-16,-0.8222402597402597,2.089856141922533e-14,True
Loigolactobacillus backii,-2.001721100155271,-1.0590047410745134,-0.9185319293403433,440.0,1.1108869857395525e-16,-0.8214285714285714,2.089856141922533e-14,True
Microvirgula aerodenitrificans,-2.0082364274662186,-0.7280042922156421,-1.4639102648163274,440.0,1.1108869857395525e-16,-0.8214285714285714,2.089856141922533e-14,True
Limosilactobacillus sp014836425,-1.9771043447142975,-0.8595711526896747,-1.2017000419416317,445.0,1.3195150249434656e-16,-0.8193993506493507,2.3830441350478986e-14,True
Muriiphilus lacisalsi,-2.0133318800119175,-1.2967190357292253,-0.6347190873711267,448.0,1.4627653837385218e-16,-0.8181818181818181,2.4460687805849725e-14,True
Pseudomonas_E sp900591205,-2.017565426767534,-1.2479915796864702,-0.6930072586096808,447.0,1.4133891650090598e-16,-0.8185876623376623,2.4460687805849725e-14,True
Ectothiorhodospira shaposhnikovii,-2.005358401798856,-1.2522756958491472,-0.6793078861824142,451.0,1.6213256562661353e-16,-0.8169642857142857,2.524236323462621e-14,True
Pantoea septica,-2.001609131138961,-1.082056781341599,-0.8873840689991607,450.0,1.5666750345352834e-16,-0.8173701298701299,2.524236323462621e-14,True
CAG-83 sp900757415,3.104197310730045,0.766981323532,-2.016956908934029,4476.0,1.677854870228267e-16,0.8165584415584415,2.5251715796935417e-14,True
Limosilactobacillus alvi,-1.998103517850699,-0.9387558302038831,-1.0898094606491815,454.0,1.7968055688889994e-16,-0.8157467532467533,2.6169603688818814e-14,True
Mariprofundus erugo,-2.0210632876140973,-1.1620806151031446,-0.7984043451384205,457.0,1.990981231613269e-16,-0.8145292207792207,2.7240243214345183e-14,True
Ventricola sp900542445,3.758797580336829,0.009529933561900773,-8.623589338281063,4471.0,1.990981231613269e-16,0.8145292207792207,2.7240243214345183e-14,True
Vagococcus_A sp004792515,-1.9865807802488342,-1.2989126849754442,-0.612983005166906,473.0,3.4328869474950007e-16,-0.8080357142857143,2.9581920996614556e-14,True
Campylobacter_A concisus_D,-2.0117206129237926,-1.195094045033559,-0.7513058060384599,470.0,3.1005497525946697e-16,-0.8092532467532467,2.9581920996614556e-14,True
Negativicoccus massiliensis,-1.9958034117923158,-1.1467678645770165,-0.7993962389453042,464.0,2.528150374661281e-16,-0.8116883116883117,2.9581920996614556e-14,True
Saccharimonas sp013333645,-1.998354110991567,-1.2356233219788313,-0.6935732465737555,473.0,3.4328869474950007e-16,-0.8080357142857143,2.9581920996614556e-14,True
Nocardia amamiensis_A,-2.014869496598597,-1.2825354493681316,-0.6516876956709282,468.0,2.8968246637279345e-16,-0.810064935064935,2.9581920996614556e-14,True
Nocardia blacklockiae,-1.9795847580127994,-1.1681331842629132,-0.7609930673286409,477.0,3.9311522919089114e-16,-0.8064123376623377,2.9581920996614556e-14,True
Pedobacter miscanthi,-1.9870207791913117,-1.007411704173068,-0.9799535621348917,474.0,3.5512838126658744e-16,-0.8076298701298701,2.9581920996614556e-14,True
Methylocystis sp011058845,-2.0177427820649023,-1.2116964922378517,-0.735713898851663,467.0,2.7999686733200343e-16,-0.8104707792207793,2.9581920996614556e-14,True
Sphingobium sp003591655,-2.0210632876140973,-1.1923659935603985,-0.7612873638839398,470.0,3.1005497525946697e-16,-0.8092532467532467,2.9581920996614556e-14,True
Roseovarius sediminicola,-2.0031075014450264,-1.3079144585615123,-0.6149716614294167,469.0,2.996981440399937e-16,-0.8096590909090909,2.9581920996614556e-14,True
Macrococcus brunensis,-1.9903513477225232,-1.150787668313174,-0.7904014591884024,472.0,3.318382378227366e-16,-0.8084415584415584,2.9581920996614556e-14,True
Bartonella vinsonii,-2.0210632876140973,-1.0335082633326111,-0.9675645753108394,472.0,3.318382378227366e-16,-0.8084415584415584,2.9581920996614556e-14,True
