Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
HILIC-neg_Cluster_1478: NA,-5.2824531493621505,1.6125919944274636,,273.0,1.3576164138794603e-17,-0.8717105263157895,1.2010832413591584e-13,True
HILIC-pos_Cluster_0412: NA,-5.1263603974919905,3.0721824975099654,,306.0,4.996237071068319e-17,-0.856203007518797,1.7921645356610188e-13,True
HILIC-neg_Cluster_0479: NA,-4.587118966433219,0.7308086730806383,,311.0,6.077194084981414e-17,-0.8538533834586466,1.7921645356610188e-13,True
HILIC-pos_Cluster_0413: NA,-5.235128809817496,2.926950010233579,,338.0,1.7305787630830879e-16,-0.8411654135338346,3.8276075792490196e-13,True
C18-neg_Cluster_0072: NA,-1.5678944567929436,4.9564363100413695,,344.0,2.17920700197393e-16,-0.8383458646616542,3.855888869292672e-13,True
C18-neg_Cluster_0001: NA,-5.385129101889094,1.6612590454853695,,357.0,3.580644055720059e-16,-0.8322368421052632,4.525422565850766e-13,True
C18-neg_Cluster_0076: NA,-5.385129101889094,1.2002579044530426,,357.0,3.580644055720059e-16,-0.8322368421052632,4.525422565850766e-13,True
HILIC-pos_Cluster_1683: NA,-5.235574170570045,1.1808895126836947,,362.0,4.3305638694593397e-16,-0.8298872180451128,4.789062319138347e-13,True
HILIC-pos_Cluster_1689: NA,-5.093677444754884,-0.12197723731855796,-5.384023754853303,366.0,5.040198780244471e-16,-0.8280075187969924,4.954515400980316e-13,True
HILIC-pos_Cluster_1946: NA,-5.239663501128752,-0.289129811553812,-4.179684888435025,371.0,6.090071948672232e-16,-0.8256578947368421,5.086669064800808e-13,True
C18-neg_Cluster_0894: NA,-5.385129101889094,1.741341218748518,,372.0,6.324557444648908e-16,-0.825187969924812,5.086669064800808e-13,True
C18-neg_Cluster_0122: NA,-5.385129101889094,-0.10995562521307707,-5.613987615379346,376.0,7.354789368095583e-16,-0.8233082706766918,5.422318461628468e-13,True
C18-neg_Cluster_1151: NA,-5.385129101889094,2.1863542123115636,,390.0,1.2439901351291524e-15,-0.8167293233082706,5.499902030840878e-13,True
C18-neg_Cluster_0455: NA,-5.385129101889094,0.09575502434309213,,390.0,1.2439901351291524e-15,-0.8167293233082706,5.499902030840878e-13,True
HILIC-neg_Cluster_1429: NA,-5.0818221639250565,1.2109565242373184,,399.0,1.7406720567824637e-15,-0.8125,5.499902030840878e-13,True
C18-neg_Cluster_0533: NA,-5.385129101889094,0.660247545347774,,390.0,1.2439901351291524e-15,-0.8167293233082706,5.499902030840878e-13,True
HILIC-pos_Cluster_1914: NA,-5.385129101889094,0.4649418823835093,,381.0,8.877509185287313e-16,-0.8209586466165414,5.499902030840878e-13,True
C18-neg_Cluster_0237: NA,-5.385129101889094,0.45007067115112526,,398.0,1.6766599423337664e-15,-0.8129699248120301,5.499902030840878e-13,True
C18-neg_Cluster_0012: NA,-5.330759737998252,0.9900607171205548,,399.0,1.740234045373784e-15,-0.8125,5.499902030840878e-13,True
HILIC-neg_Cluster_0818: NA,-5.385129101889094,-0.30371901670487755,-4.1481717848282305,398.0,1.6766599423337664e-15,-0.8129699248120301,5.499902030840878e-13,True
HILIC-pos_Cluster_0102: NA,-5.385129101889094,2.743216127932109,,393.0,1.3915394250061685e-15,-0.8153195488721805,5.499902030840878e-13,True
HILIC-pos_Cluster_0848: NA,-5.385129101889094,-0.5382639483506064,-3.3225952268802565,394.0,1.4444534771490486e-15,-0.8148496240601504,5.499902030840878e-13,True
HILIC-neg_Cluster_0738: NA,-4.841858536028249,-0.5441484818648874,-3.15348865046242,384.0,9.936072407457253e-16,-0.8195488721804511,5.499902030840878e-13,True
HILIC-neg_Cluster_0233: NA,-5.298858608957512,0.8968987505799941,,392.0,1.3405357398758799e-15,-0.8157894736842105,5.499902030840878e-13,True
