Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Choladousia sp902363665,4.710449757394903,3.4139751430014265,-0.4644122618375463,3587.0,1.875800538147861e-11,0.6856203007518797,8.469239429737592e-08,True
Gemmiger sp900540775,5.599296033105424,3.835811725225264,-0.5457135472295569,3461.0,8.503333807609907e-10,0.6264097744360901,1.9196276070679364e-06,True
Gemmiger formicilis,5.738397406492726,3.3293989554274246,-0.7853861276408144,3385.0,7.237958420161929e-09,0.5906954887218046,3.267938226703111e-06,True
CAG-317 sp000433215,4.123991602473612,2.686295525549567,-0.6184233672894779,3394.0,5.651827923192376e-09,0.5949248120300752,3.267938226703111e-06,True
Limivivens sp900543575,4.838876392005941,3.5038852573079033,-0.46571655497599074,3392.0,5.972063885729774e-09,0.593984962406015,3.267938226703111e-06,True
Coprococcus sp900557435,2.4680936868769527,0.9110792103831087,-1.4377487646542029,3387.0,6.851823905850984e-09,0.5916353383458646,3.267938226703111e-06,True
KLE1615 sp900066985,5.5212634560111145,3.36843877556985,-0.7129183660091581,3416.0,3.0656914996069027e-09,0.605263157894737,3.267938226703111e-06,True
JAGTTR01 sp018223385,3.682600884339608,2.3698564362049694,-0.635925383622722,3402.0,4.52989221077308e-09,0.5986842105263157,3.267938226703111e-06,True
Limivivens sp900066135,4.012360040872042,2.766051271262954,-0.5366231706192531,3398.0,5.060695487081319e-09,0.5968045112781954,3.267938226703111e-06,True
Copromorpha sp900066305,2.6653948742905067,0.9849511144541662,-1.4362252548965713,3428.0,2.186707769272912e-09,0.6109022556390977,3.267938226703111e-06,True
Ventricola sp004557905,0.7241903811169422,-0.45848039838818894,,3376.0,9.253723836257046e-09,0.5864661654135339,3.7982330109727784e-06,True
Fimadaptatus sp900553645,1.2191325360365826,-0.31959034334713526,,3365.0,1.2466417373221081e-08,0.581296992481203,4.690489536674432e-06,True
Ventricola sp900548125,2.6516906999325625,0.9212076662705173,-1.5253141831070167,3322.0,3.9018635866527066e-08,0.5610902255639099,1.355147237979767e-05,True
Aphodoplasma sp900550065,0.021897381746705826,-0.6555005301413279,,3306.0,5.90785176115022e-08,0.5535714285714286,1.905282192970946e-05,True
Mediterraneibacter_A butyricigenes,3.9877908484243725,2.963604190808781,-0.4282369663437762,3300.0,6.892841101968417e-08,0.5507518796992481,2.0747451716924936e-05,True
Coprococcus sp000154245,2.588634686784996,1.445767526989256,-0.8403557916297059,3293.0,8.243688016988319e-08,0.5474624060150375,2.1894265527471918e-05,True
Anaerobutyricum soehngenii,5.530354020948093,4.259457154263298,-0.37670225815328995,3294.0,8.036094625165738e-08,0.5479323308270676,2.1894265527471918e-05,True
Flavonifractor intestinigallinarum,-0.6052479456980489,0.2732460325302575,,974.0,1.0898662861314788e-07,-0.5422932330827068,2.2680006719386264e-05,True
CAG-83 sp000435555,2.6380585273265944,-0.07061190942572584,,3279.0,1.175585456694081e-07,0.5408834586466165,2.2680006719386264e-05,True
Limivivens sp905214955,3.1314234811159865,1.632846604027938,-0.9394293610302922,3283.0,1.0626616815315679e-07,0.542763157894737,2.2680006719386264e-05,True
Fusicatenibacter saccharivorans,7.478516861192385,5.176765471604001,-0.5307012235540317,3281.0,1.1177443450043046e-07,0.5418233082706767,2.2680006719386264e-05,True
CAG-170 sp900549635,2.6013532923164324,0.8606282733903999,-1.5958002046434376,3278.0,1.2055817525255157e-07,0.5404135338345866,2.2680006719386264e-05,True
UBA11774 sp003507655,4.514308418242107,2.2191822859611126,-1.024476810123438,3286.0,9.849332873057491e-08,0.5441729323308271,2.2680006719386264e-05,True
Coprococcus eutactus,2.3841312973512094,0.9560861006790184,-1.318251237482468,3286.0,9.849332873057491e-08,0.5441729323308271,2.2680006719386264e-05,True
Choladocola sp003481535,3.89777506071072,2.79704951387784,-0.4787450426479416,3264.0,1.7118012121840283e-07,0.5338345864661653,3.091512989204355e-05,True
Choladousia sp902363135,4.564873897814512,3.1889202255778755,-0.5175069996676895,3257.0,2.03669232075466e-07,0.5305451127819549,3.491125353953827e-05,True
Acetatifactor sp900554205,2.121788953201316,1.2299244625711168,-0.7867114503249867,3256.0,2.0877161585105942e-07,0.5300751879699248,3.491125353953827e-05,True
Blautia_A sp900066355,4.409720103005627,3.173707596039082,-0.4745178727477597,3252.0,2.3044448686800052e-07,0.5281954887218046,3.7159173507465083e-05,True
CAG-873 sp905193995,0.7264341193764378,-0.0413198249906871,,3248.0,2.542836484913426e-07,0.5263157894736843,3.958933354960041e-05,True
Fusicatenibacter sp900772675,4.837701656962013,2.788741646804294,-0.7947075133154224,3239.0,3.169486205214529e-07,0.5220864661654134,4.582285034068131e-05,True
Mediterraneibacter faecis,6.145867026149084,4.481611864076921,-0.45559884492412916,3240.0,3.093103774774804e-07,0.5225563909774436,4.582285034068131e-05,True
CAG-873 sp004554255,0.16520836453728352,-0.7230775429437731,,3238.0,3.2476881747548217e-07,0.5216165413533835,4.582285034068131e-05,True
Marvinbryantia sp900066075,3.209710039090386,2.2686084074724873,-0.500635370273349,3230.0,3.94400117470648e-07,0.5178571428571428,5.396110698121139e-05,True
Streptococcus oralis_BM,-1.7548254082853678,-0.38763845240700506,-2.17854390745916,1028.0,4.1394112536867825e-07,-0.5169172932330828,5.4703572352796994e-05,True
Onthomonas sp900545815,1.3979765711601781,0.02794783980387711,-5.6444595914258135,3227.0,4.24058700409279e-07,0.5164473684210527,5.4703572352796994e-05,True
Choladocola sp003480725,3.6730911697601547,2.468095286819061,-0.5735966113022392,3222.0,4.783318770594231e-07,0.5140977443609023,5.978872529540356e-05,True
Roseburia hominis,5.129581537901821,3.633743413018871,-0.49738458698382704,3221.0,4.899629758427313e-07,0.5136278195488722,5.978872529540356e-05,True
Flavonifractor merdavium,-0.564942739469471,0.21231155397491103,,1039.0,5.392745662299012e-07,-0.5117481203007519,6.407433332968431e-05,True
CAG-83 sp003487665,2.203597043631387,0.7689986257982026,-1.518807507156542,3215.0,5.656917323021208e-07,0.5108082706766917,6.548969670113013e-05,True
CAG-83 sp900551995,1.9050712026148844,0.4842574733253952,-1.9759987010999371,3213.0,5.933543087229637e-07,0.5098684210526316,6.697486759710452e-05,True
Coprococcus eutactus_A,4.002023826479095,2.103594235142677,-0.927873308216542,3209.0,6.526431434326107e-07,0.5079887218045114,7.187033640483505e-05,True
UBA11524 sp000437595,3.1794900522148644,0.571329101950763,-2.4764014709513056,3206.0,7.008152644752125e-07,0.506578947368421,7.533764093108535e-05,True
CAG-95 sp000438155,2.353740722666761,1.198037188745657,-0.9742827162812626,3204.0,7.34814229052505e-07,0.505639097744361,7.715549405051301e-05,True
Blautia_A sp900066505,4.6626572323837,3.5872560640888502,-0.37827164534557595,3196.0,8.873962201866366e-07,0.5018796992481203,8.347070696130551e-05,True
Protoclostridium gallicola,-1.8644292252176755,-1.233605422355785,-0.5958530208791049,1060.0,8.873962201866366e-07,-0.5018796992481203,8.347070696130551e-05,True
Ventrimonas sp003480315,3.2307754034175877,2.158139188409202,-0.582092547076203,3197.0,8.667746825776004e-07,0.5023496240601504,8.347070696130551e-05,True
Choladocola sp018223365,4.0099539874288,3.0668900428091153,-0.3868092398372001,3196.0,8.873962201866366e-07,0.5018796992481203,8.347070696130551e-05,True
Lachnoclostridium_A stercoripullorum,-1.1105496249597901,-0.5244835622531797,-1.0823043979901639,1058.0,8.46615008114749e-07,-0.5028195488721805,8.347070696130551e-05,True
Butyribacter sp900759665,1.5587782725168065,0.6984310804014755,-1.1582260613333888,3191.0,9.977940515066404e-07,0.4995300751879699,9.193959474596901e-05,True
Faecivicinus sp900553265,1.1836668627444606,-0.4366189583620594,,3187.0,1.0955178794253368e-06,0.4976503759398496,9.698555344324305e-05,True
Ventricola sp900542395,2.605406231039729,0.555209427363779,-2.2304043627300842,3187.0,1.0955178794253368e-06,0.4976503759398496,9.698555344324305e-05,True
Streptococcus oralis_BC,-1.8173125618014478,-0.7313899188874725,-1.3130939253654632,1070.0,1.1213517788363349e-06,-0.4971804511278195,9.736352464319332e-05,True
UBA1752 sp900554405,0.4140098695569984,-0.2404559879120145,,3184.0,1.1747893819114776e-06,0.4962406015037595,9.922299020596438e-05,True
Anaerotignum faecicola,3.7429089931949884,2.2964343532205502,-0.7047644275934346,3182.0,1.2306727467406434e-06,0.49530075187969924,9.922299020596438e-05,True
Enterocloster sp000431375,4.390628237315374,3.1268549457263908,-0.48971508950603926,3182.0,1.2306727467406434e-06,0.49530075187969924,9.922299020596438e-05,True
CAG-127 sp900539705,1.4518940557728608,0.14638133237236284,-3.310132695962136,3183.0,1.2024187598035726e-06,0.49577067669172936,9.922299020596438e-05,True
Eubacterium_F sp905212635,2.4010078526410834,1.2571829466978666,-0.9334455142774933,3178.0,1.3502091398842037e-06,0.493421052631579,0.00010695077660661719,True
Enterocloster faecavium,-0.5062013919168921,0.422528986570206,,1083.0,1.5153890079432031e-06,-0.4910714285714286,0.00011796519604937176,True
CAG-238 sp900542245,2.204721540336961,1.1459803265189468,-0.9440141756522604,3168.0,1.6999066524776387e-06,0.4887218045112782,0.00013008607688028031,True
