Polyamine,Test_Dataset,Model,N_train,N_test,N_features,R2,RMSE,Spearman
Cadaverine,ERAWIJANTARI-GASTRIC-CANCER-2020,RandomForest,347,96,4306,0.32038950449538184,0.8243849195033944,0.5209441128594683
Cadaverine,ERAWIJANTARI-GASTRIC-CANCER-2020,ElasticNet,347,96,4306,0.3989217733946231,0.7752923491208829,0.629503526858383
Cadaverine,ERAWIJANTARI-GASTRIC-CANCER-2020,XGBoost,347,96,4306,0.38940930809506724,0.7814030278319458,0.5882392837764514
Cadaverine,YACHIDA-CRC-2019,RandomForest,96,347,4306,0.14264984768032107,0.9259320451953689,0.5178162311013751
Cadaverine,YACHIDA-CRC-2019,ElasticNet,96,347,4306,0.14516172780785108,0.9245746439266809,0.44055095687659657
Cadaverine,YACHIDA-CRC-2019,XGBoost,96,347,4306,0.1561151027742571,0.9186320793580761,0.46962760896171357
Spermidine,ERAWIJANTARI-GASTRIC-CANCER-2020,RandomForest,347,96,4306,0.14275241179476061,0.925876659283103,0.4119927156586212
Spermidine,ERAWIJANTARI-GASTRIC-CANCER-2020,ElasticNet,347,96,4306,0.17565416630755282,0.9079349281156921,0.4100190247548833
Spermidine,ERAWIJANTARI-GASTRIC-CANCER-2020,XGBoost,347,96,4306,0.30045150223225814,0.8363901588180852,0.5694674764936316
Spermidine,YACHIDA-CRC-2019,RandomForest,96,347,4306,0.02450448758331447,0.9876717635007519,0.18380949898655133
Spermidine,YACHIDA-CRC-2019,ElasticNet,96,347,4306,-0.19193490768994548,1.0917577147380022,0.16502696056943614
Spermidine,YACHIDA-CRC-2019,XGBoost,96,347,4306,0.013180166885503164,0.9933880576665377,0.19666822979594425
Putrescine,ERAWIJANTARI-GASTRIC-CANCER-2020,RandomForest,347,96,4306,0.31360169167967766,0.8284915861493841,0.6011937059142702
Putrescine,ERAWIJANTARI-GASTRIC-CANCER-2020,ElasticNet,347,96,4306,-0.05582284943966176,1.0275324079753698,0.6139582202930005
Putrescine,ERAWIJANTARI-GASTRIC-CANCER-2020,XGBoost,347,96,4306,0.1870224955107972,0.9016526517951371,0.6288795442213782
Putrescine,YACHIDA-CRC-2019,RandomForest,96,347,4306,0.21327973405089584,0.8869725282944811,0.6182216774206889
Putrescine,YACHIDA-CRC-2019,ElasticNet,96,347,4306,0.20230758173948205,0.8931362820200051,0.6045029033849753
Putrescine,YACHIDA-CRC-2019,XGBoost,96,347,4306,0.1770325124553248,0.9071755549752624,0.6170360830812127
Agmatine,ERAWIJANTARI-GASTRIC-CANCER-2020,RandomForest,347,96,4306,0.07590425889795893,0.9612989863211346,0.25830608921225456
Agmatine,ERAWIJANTARI-GASTRIC-CANCER-2020,ElasticNet,347,96,4306,0.05008667905524433,0.9746349680494517,0.15124608380161872
Agmatine,ERAWIJANTARI-GASTRIC-CANCER-2020,XGBoost,347,96,4306,0.06903752875140079,0.9648639651518753,0.3401391947862209
Agmatine,YACHIDA-CRC-2019,RandomForest,96,347,4306,0.022491559925163385,0.9886902649843563,0.11892346925364015
Agmatine,YACHIDA-CRC-2019,ElasticNet,96,347,4306,-0.2994033213753309,1.139913734181377,-0.021645412673290336
