Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
BA_Metabolites_Glycochenodeoxycholic acid,0.06769616000007225,-0.8177361435576713,,12349.5,1.672503699319433e-06,0.33601990587980746,7.191765907073562e-05,True
NMR_b_arabinose,-1.5750324559403732,-1.2318932096376063,-0.3545043607698521,6415.0,1.2964941086272968e-05,-0.30599880997457674,0.0002787462333548688,True
Tryptophan_Metabolites_Kynurenate (no IS),-3.6102776533453467,-3.328281321092482,-0.11733241220606096,6569.5,3.739500335117919e-05,-0.2892843619840969,0.0005359950480335684,True
NMR_b_xylose,-1.7273516982961639,-1.4432306599788056,-0.259259960796098,6695.0,8.531995135139438e-05,-0.27570725374587546,0.0006114596513516597,True
Tryptophan_Metabolites_melatonin (pg/mg),-3.503855262172706,-2.9653361302569,-0.24074753299438678,6687.5,8.113073918093717e-05,-0.2765186347162871,0.0006114596513516597,True
NMR_2-Methylbutyrate,0.08243941739404649,0.39551828942687395,2.2623381931010624,6679.0,7.648722512830287e-05,-0.27743819981608697,0.0006114596513516597,True
Tryptophan_Metabolites_tryptamine,-3.481229895483291,-3.2709655035221146,-0.0898805462911444,6791.5,0.00015642028765305404,-0.2652674852599124,0.0009608674812973319,True
NMR_Isovalerate,1.0721854607888492,1.3639536179904943,0.3472401086168329,6914.0,0.00032909110286058555,-0.2520149294098556,0.0017688646778756473,True
Tryptophan_Metabolites_Kynurenine (no IS),-3.78447693727471,-3.5374234470123147,-0.09739498815511903,6956.5,0.00042158545793873455,-0.24741710391085625,0.002014241632373954,True
BA_Metabolites_Glycocholic acid,0.9480140371638025,0.0433650746776431,-4.450302918899619,11466.0,0.0006109499365655781,0.24043922756531622,0.0026270847272319856,True
Tryptophan_Metabolites_5-hydroxyindole acetate,-3.6362966085827937,-3.244469747458214,-0.16448716942836802,7044.5,0.0006977041687716621,-0.23789690052469303,0.0027273890233801335,True
BA_Metabolites_Cholic acid,3.3590066642518193,2.352077172863207,-0.5140992613383192,11427.0,0.0007622821080575556,0.23622004651917572,0.002731510887206241,True
Tryptophan_Metabolites_anthranilate (pg/mg),-1.8698201559124472,-1.3303705442122822,-0.4910713833935387,7169.0,0.001381180540084778,-0.22442797641585976,0.004568520247972728,True
BA_Metabolites_Chenodeoxycholic acid,2.9160998761576895,2.2117341501910053,-0.39886214820565336,11222.0,0.0022882784532324034,0.2140422999945908,0.007028283820642381,True
Tryptophan_Metabolites_Serotonin,-3.2696128437951844,-2.932173113215689,-0.15714953414993127,7356.5,0.003622179275440934,-0.20414345215556873,0.010383580589597345,True
NMR_Acetate,4.737168887630771,4.418043288345612,-0.10061755280937351,11043.0,0.005537054268382774,0.1946773408340996,0.014880833346278705,True
BA_Metabolites_Taurochenodeoxycholic acid,-2.398225794042667,-2.3800966764458993,-0.01094732040919495,7685.5,0.016308686810065587,-0.16855087358684484,0.04125138428428354,True
NMR_Butyrate,2.4007098899997317,2.1515378615557865,-0.15809284564039544,10778.0,0.01801137343979337,0.16600854654622177,0.043027169883950826,True
Tryptophan_Metabolites_3-methylindole (relative; raw peak area only),11.030170220823127,12.14986763449404,0.1394855414257851,7730.5,0.019672102229023766,-0.16368258776437494,0.04452107346568537,True
NMR_Succinate,0.9845357763703955,1.016694825771467,0.04637116311587285,7836.0,0.030040415017695467,-0.15226916211391783,0.06458689228804526,False
NMR_Glycine,0.4847888999427909,0.6118800737884809,0.3358922514577873,7900.5,0.03839212730143909,-0.1452912857683778,0.07861245114104194,False
NMR_Glucose,-1.5585799490523906,-1.338627552996912,-0.2194775467452146,7954.0,0.04685567980183968,-0.13950343484610805,0.09092552957121099,False
Tryptophan_Metabolites_Tryptophan,-1.401728443311753,-1.0581039198208488,-0.405725557135391,7964.5,0.04863458558460122,-0.13836750148753174,0.09092552957121099,False
BA_Metabolites_Taurodeoxycholic acid,-0.4554039642306788,-0.40543348138014207,-0.1676816161236319,8027.5,0.0608689383872714,-0.13155190133607397,0.10905684794386127,False
BA_Metabolites_Glycodeoxycholic acid,0.4328631125856064,-0.021508130779507032,,10427.5,0.06797479832481863,0.12809000919565094,0.11691665311868804,False
Tryptophan_Metabolites_indole,-0.5195893266278032,-0.06317523147087749,-3.039940847088191,8168.0,0.09734950570082022,-0.1163520311570293,0.16100110558212577,False
BA_Metabolites_Taurocholic acid,-1.2863478160746777,-1.394064362488848,0.11601638419492696,8201.0,0.10806530775124422,-0.1127819548872181,0.17210400864087042,False
NMR_Lactate,0.3177888948400404,0.40110591404716506,0.33591452735343674,8230.5,0.11810630222791538,-0.10959052307026562,0.18137753556429861,False
BA_Metabolites_Ursodeoxycholic acid,4.925003866437721,4.546895711683002,-0.1152429425923644,10215.0,0.13432733454577955,0.10510088170065446,0.19917501329201798,False
BA_Metabolites_Deoxycholic acid sulphate,1.0252978543237683,0.4481908541883326,-1.193857966268446,10084.0,0.19521167675037454,0.09092876075079781,0.2798034033422035,False
Tryptophan_Metabolites_indole-3-acetic acid (no IS),-0.720809831975349,-0.4097148538216186,-0.8149984927563225,8427.5,0.2085195660677741,-0.08827824958078645,0.289236817448848,False
Tryptophan_Metabolites_indole-3-propionic acid,-2.927746368769621,-2.784320772076131,-0.07246514936482566,8474.5,0.2359527804952828,-0.0831935954995402,0.31514777670658745,False
NMR_Propionate,2.5478522303739823,2.4311411620127314,-0.06764794241011396,10003.0,0.24185759607714852,0.08216584627035206,0.31514777670658745,False
NMR_Alanine,1.9158289216184252,1.9750174668888465,0.04389667438775373,8526.0,0.2689024859533997,-0.07762211283604692,0.3400825557645938,False
NMR_Uracil,-2.2607647124922807,-2.2008498280447784,-0.03875014414588077,8541.0,0.2790464164771115,-0.0759993508952237,0.34282845452902266,False
NMR_Tyrosine,-0.5727110189257232,-0.5563922583196352,-0.04170501484243168,8712.0,0.4127846376380805,-0.05749986476983826,0.4930483171788183,False
NMR_Valine,0.4637037994188066,0.4852728922390692,0.06559272447917475,8762.0,0.45821128195832794,-0.05209065830042736,0.5325158141677866,False
NMR_Leucine,1.7502472885023246,1.7789552535570794,0.023471451046683987,8856.0,0.5506790069076715,-0.04192135013793474,0.6042170387897184,False
BA_Metabolites_Lithocholic acid,5.746012370106794,6.022640768882663,0.06783511064448612,8859.0,0.5537724509573783,-0.0415967977497701,0.6042170387897184,False
BA_Metabolites_Deoxycholic acid,9.30003745317746,9.224905489545947,-0.01170239562888085,8867.0,0.5620623616648543,-0.04073132471466434,0.6042170387897184,False
NMR_Isoleucine,0.6685188012946937,0.6677675918625271,-0.001622056831543587,9072.0,0.7920281206791733,-0.018553578190079523,0.8108859330762965,False
NMR_Hypoxanthine,-2.2213395152236544,-2.2728377256934604,0.03306476846686582,9425.0,0.7801705113836284,0.019635419483961636,0.8108859330762965,False
NMR_Lysine,0.5642069242759786,0.5480743055228301,-0.041852870874017414,9104.0,0.8302292436864849,-0.015091686049656494,0.8302292436864849,False
