Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Ruthenibacterium sp013316265,-1.1843614436759777,0.626214357711371,,3574.0,2.301760069956554e-18,-0.6133499215665061,6.493265157347439e-15,True
Choladocola sp003480725,3.7296358900265343,2.4664437962620473,-0.5966023800818677,14250.0,1.1714976781194787e-14,0.5416238437821173,1.1015983166583497e-11,True
Faecalibacterium sp900758465,4.8316261588202805,3.2496390971825257,-0.5722293299389242,14266.0,9.6506895157389e-15,0.5433547898523288,1.1015983166583497e-11,True
Anaerostipes hadrus_A,5.02135976683369,3.346800201031084,-0.585295667030693,14076.0,9.277472680159652e-14,0.5227998052685672,6.542937607682594e-11,True
Acutalibacter sp900548545,1.1528389499976957,2.7902736540889905,1.2752156356322304,4501.0,2.631474230820322e-13,-0.5130632336236274,1.4846777610288257e-10,True
Ventrimonas sp900770535,0.5243783336334923,-0.9996315014095571,,13911.0,6.183371891814868e-13,0.5049494239195109,2.907215351134957e-10,True
Enterocloster sp000431375,4.082436102513834,2.84754563030318,-0.5197113446814614,13792.0,2.334582503307151e-12,0.4920755125223131,9.408367488327818e-10,True
Eubacterium_I ramulus_A,3.40946953296216,2.1630551220598715,-0.6564768623957741,13769.0,3.006568988152409e-12,0.48958727754638387,1.0601913894472432e-09,True
Prevotella sp002251435,-0.5809204004997882,-1.9234807819098607,1.7273070156960189,13711.0,5.6589193639255875e-12,0.4833125980418673,1.7737568361815648e-09,True
Caccousia stercoris,1.1887941902670838,2.132142948466718,0.8428051956200414,4806.0,7.824610203019514e-12,-0.48006707416022065,2.207322538271805e-09,True
CAG-590 sp900552885,0.49145326332713224,-0.6956535353030125,,13643.0,1.1760099197666093e-11,0.47595607724346833,2.764603319718004e-09,True
1XD42-69 sp014287635,3.4530576929425654,2.47045367894386,-0.48309843313537204,13646.0,1.1389235022210892e-11,0.4762806296316331,2.764603319718004e-09,True
Anaerofilum faecale,-0.8111090463631659,0.4529691944032299,,4902.0,2.176059867596116e-11,-0.4696813977389517,4.722049912683572e-09,True
CAG-411 sp902786205,0.15061932379126464,-1.060616492144511,,13576.0,2.3924175671128088e-11,0.46870774057445774,4.8207213977323095e-09,True
Enterocloster sp900541315,3.7017904716669623,2.063279174019108,-0.8432841985199827,13541.0,3.452615971572581e-11,0.4649212960458702,6.087393534878907e-09,True
CAG-317 sp000433535,2.1998061395925905,3.6694766061877657,0.7381979094716536,4946.0,3.452615971572581e-11,-0.46492129604587007,6.087393534878907e-09,True
Ventrimonas sp003506385,2.568004029915003,1.657966559159927,-0.6312325581535849,13498.0,5.397303208671012e-11,0.46026937848217675,8.956348442153486e-09,True
Copromonas sp900066055,2.769106159989215,1.6592886858083795,-0.7388554531126567,13456.0,8.315486363053224e-11,0.4557256450478715,1.3032215016762858e-08,True
Pararuminococcus gallinarum,0.49267870573303923,1.747528043417468,1.8265965843924297,5091.0,1.530919429141883e-10,-0.4492345972845784,2.2730124787417116e-08,True
Prevotella sp002451555,-0.5765550602725634,-1.8653638544525142,1.6939267724471538,13356.0,2.2889747002743299e-10,0.4449072321090497,3.200403589461017e-08,True
Faecousia sp900554625,1.6949333213073694,2.6703674433053437,0.6558097519394239,5135.0,2.382434433841948e-10,-0.44447449559149677,3.200403589461017e-08,True
Prevotella sp900548195,-0.6640619653340413,-1.9536304347861209,1.5567678063352037,13321.0,3.244649297748319e-10,0.4411207875804619,4.160525304067276e-08,True
Ventrimonas sp003480315,2.7903011873005843,1.8234153085989515,-0.6137776630848486,13301.0,3.955478984123993e-10,0.43895710499269747,4.6493359225890767e-08,True
RUG115 sp900066395,3.890846067506175,2.2998754197174742,-0.7585281894737721,13305.0,3.802113934275429e-10,0.4393898415102504,4.6493359225890767e-08,True
Ventrimonas sp003478505,3.4399077481121396,2.6570979707355207,-0.3725184521591547,13296.0,4.1556963714986037e-10,0.4384161843457566,4.689287785599024e-08,True
Blautia_A gallistercoris,0.43587506176990565,1.7193873493025007,1.9799080277576033,5263.0,8.407174994307394e-10,-0.43062692702980476,8.78394098479302e-08,True
Prevotella stercorea,1.2366523612504436,-0.3151949713696304,,13226.0,8.245567410573502e-10,0.43084329528858123,8.78394098479302e-08,True
Massilimaliae massiliensis,0.25822801262704964,1.3937143792712516,2.432217514369215,5287.0,1.0604491676642715e-09,-0.4280305079244875,1.0684025364217536e-07,True
Caccousia avicola,-1.197682218352392,0.2769190299453618,,5301.0,1.2135139458447532e-09,-0.42651593011305244,1.180456152147603e-07,True
Prevotella sp002300055,-0.4651082032148215,-1.7830716545243186,1.938726390178904,13159.0,1.571860459377849e-09,0.4235949586195704,1.4780727853016374e-07,True
GCA-900066905 sp900066905,0.2337711912885401,1.4949525061369695,2.6769305950456124,5333.0,1.6487030792477435e-09,-0.4230540379726294,1.5003198021154464e-07,True
Agathobacter sp900552085,0.8621970500869558,-0.20111833565719237,,13148.0,1.745755163841324e-09,0.4224049331963,1.538992286623867e-07,True
Agathobacter sp000434275,3.65424209399345,2.9568582485718466,-0.3055071333586808,13128.0,2.1111749663327285e-09,0.4202412506085358,1.804734721219584e-07,True
Copromonas sp900066785,3.179652943666422,2.072651954229264,-0.6173914299585334,13113.0,2.4331302293737046e-09,0.41861848866771245,2.0187824638421237e-07,True
CAG-127 sp900539705,0.7328562722519593,-0.6858422105591963,,13106.0,2.599283360869611e-09,0.417861199761995,2.0950223888609065e-07,True
