Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
NMR_Hypoxanthine,-2.2213395152236544,-2.7203799821108636,0.2923782659614719,16574.0,4.651629403916795e-09,0.38648151246444695,2.0002006436842218e-07,True
NMR_2-Methylbutyrate,0.08243941739404649,-0.31502207671687243,,15328.5,1.865402361615854e-05,0.28229044671239745,0.00021857922893215464,True
Tryptophan_Metabolites_Kynurenate (no IS),-3.6102776533453467,-3.9094359636575873,0.11485068299506662,15411.5,1.1607000635838329e-05,0.2892337292956333,0.00021857922893215464,True
Tryptophan_Metabolites_Serotonin,-3.2696128437951844,-3.6361314751191642,0.15328454967616723,15274.5,2.5416189410715657e-05,0.27777313033294293,0.00021857922893215464,True
BA_Metabolites_Deoxycholic acid sulphate,1.0252978543237683,3.1079685141446634,1.5999288072516016,8623.5,2.403596636864152e-05,-0.2786096704032123,0.00021857922893215464,True
Tryptophan_Metabolites_5-hydroxyindole acetate,-3.6362966085827937,-4.016699632377089,0.14354069778075762,15194.5,3.9634395159237506e-05,0.27108080977078797,0.00028404649864120215,True
NMR_Uracil,-2.2607647124922807,-2.5246387873273455,0.1592661366316462,14999.0,0.00011268610087490821,0.254726451397022,0.0006922146196601504,True
Tryptophan_Metabolites_Kynurenine (no IS),-3.78447693727471,-4.029405946878404,0.09047324345786838,14828.5,0.0002670098422356324,0.2404634431989292,0.0014351779020165241,True
Tryptophan_Metabolites_melatonin (pg/mg),-3.503855262172706,-3.7236840744710635,0.08778749559102238,14767.5,0.0003597226662843035,0.23536054877028612,0.0017186749611361166,True
NMR_Lactate,0.3177888948400404,0.141209102643726,-1.170235619053871,14460.0,0.0014591257072572937,0.2096369416095032,0.006274240541206363,True
NMR_Isovalerate,1.0721854607888492,0.8043116171937331,-0.4147280137660996,14364.0,0.0022421781937683534,0.20160615693491724,0.008764878393821745,True
BA_Metabolites_Cholic acid,3.3590066642518193,4.19849681530688,0.32183823541908535,9642.0,0.003369941546457357,-0.19340806424627743,0.012075623874805529,True
NMR_Alanine,1.9158289216184252,1.7557181436782898,-0.1259074793432817,14136.0,0.005658824115268599,0.18253304333277565,0.017380674068324983,True
NMR_Glucose,-1.5585799490523906,-1.3006689499704316,-0.26097835163352695,9770.0,0.005614546960836519,-0.1827003513468295,0.017380674068324983,True
NMR_Valine,0.4637037994188066,0.3239657948130974,-0.5173620500434539,13969.0,0.010599804412978212,0.16856282415927715,0.030386105983870874,True
BA_Metabolites_Chenodeoxycholic acid,2.9160998761576895,3.5053491753409074,0.2655180286433591,9989.0,0.012713750948038966,-0.16438012380793043,0.03416820567285472,True
NMR_Isoleucine,0.6685188012946937,0.5385539365204153,-0.3118772960818732,13798.0,0.019366108000330604,0.15425798895767118,0.048984861412600944,True
BA_Metabolites_Deoxycholic acid,9.30003745317746,9.061547282011196,-0.03747911114767492,13503.0,0.0495240984764669,0.12958005688472474,0.11830756858267093,False
Tryptophan_Metabolites_tryptamine,-3.481229895483291,-3.374292440419753,-0.045012077383773254,10428.5,0.053075936387687914,-0.12761418771959177,0.12011922445634633,False
NMR_b_xylose,-1.7273516982961639,-1.8516688043111376,0.10026422299644991,13448.5,0.05810212985907244,0.12502091350175681,0.12491957919700575,False
