Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Enterocloster sp900770345,-0.31789011762158387,0.8857271283142356,,4678.0,2.758982370257769e-20,-0.6086665551279906,7.783089266497167e-17,True
ER4 sp002437735,0.8454761632112352,-1.2447336971081038,,18456.0,1.6347442440497946e-16,0.5439183536891417,1.5372045041548237e-13,True
ER4 sp900763705,0.5825847583963568,-1.1187380829274558,,18478.0,1.293963231861483e-16,0.5457587418437344,1.5372045041548237e-13,True
ER4 sp002405995,0.039195761862871485,-1.4672591299051405,,18359.0,4.540651360057875e-16,0.5358039150075289,3.2022943716808163e-13,True
ER4 sp900317525,3.2274028072250047,1.4735170136855402,-1.131109931214611,18334.0,5.894065320265597e-16,0.5337125648318555,3.3254316536938496e-13,True
Blautia_A sp900553515,1.3897133641335202,2.525337375885054,0.8616887894928188,5763.0,4.102144884009303e-15,-0.5179019575037644,1.9286917862983737e-12,True
CAG-317 sp000433535,2.1998061395925905,3.8548388020683118,0.8092941419261616,5807.0,6.392075952813169e-15,-0.5142211811945792,2.576006608983707e-12,True
UBA9414 sp003458885,2.270334880508289,3.4839575395393227,0.6178219266730877,5865.0,1.1416394273006334e-14,-0.509369248787017,4.0257060305188585e-12,True
Enterocloster sp900753815,-1.7314845643456118,-0.43559739151192595,-1.9909423067541772,5903.0,1.66457539374052e-14,-0.5061903965199933,5.217519095268897e-12,True
Blautia sp900539145,0.4104344689367513,2.3782581048620064,2.5346814934786006,5916.0,1.8927949015889203e-14,-0.5051028944286431,5.3395744173823445e-12,True
Enterocloster clostridioformis,1.9191185778923536,3.361885710714064,0.8088268250346672,5969.0,3.18708245777757e-14,-0.5006692320562155,6.9159689333773264e-12,True
Faecalimonas sp000209385,0.2378876701752389,1.6839420257988684,2.823490066827376,5966.0,3.094824487622013e-14,-0.5009201940772963,6.9159689333773264e-12,True
Blautia sp900753905,2.0481120138106137,3.2504201841350215,0.6663316080932317,5959.0,2.889648251809684e-14,-0.5015057721264848,6.9159689333773264e-12,True
Blautia_A sp900551465,0.34395343254783667,1.717144907389844,2.3197266326318617,6015.0,4.991486895903633e-14,-0.49682114773297636,1.0057846095245819e-11,True
Gallispira sp905201505,-1.0594743731203153,0.29527448175472987,,6097.0,1.1013863706592716e-13,-0.48996151915676756,2.07134063441987e-11,True
