Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
PALMITOYL_SPHINGOMYELIN,-0.1793216519402906,0.09038347661580955,,793.0,6.447328831841716e-05,-0.45777777777777773,0.009799939824399409,True
X_17626,-0.015423624389388694,-0.19629752072021828,3.669828231636195,1662.0,0.000528902704142619,0.4296774193548387,0.04019660551483905,True
_4_ACETAMIDOPHENOL,0.1384415398927026,-0.19899473654170352,,1774.0,0.0009520765685252876,0.40793650793650804,0.04823854613861457,True
ENTEROLACTONE,0.044388044838024374,-0.20818529628546067,,1354.0,0.009695383614139283,0.337283950617284,0.2947396618698342,False
_4_METHYL_2_OXOPENTANOATE,-0.1523687330047432,-0.022247751876621744,-2.77583542390289,928.0,0.007926130043868933,-0.31259259259259264,0.2947396618698342,False
X_15856,0.02745765816158538,-0.13814893707639475,,1398.0,0.01733921355482394,0.3028890959925443,0.4392600767222065,False
X_17299,0.12581061362085308,-0.09834923865666775,,1365.0,0.026023657518175047,0.2816901408450705,0.4638954800379485,False
CONJUGATED_LINOLEATE__18_2N7,0.04306287800112871,-0.1898932955023774,,1500.0,0.02746749552856274,0.277139208173691,0.4638954800379485,False
X_13708,-0.05975391875202151,-0.21032631172145813,1.8155241081277593,1959.0,0.023855730920641405,0.2573812580231065,0.4638954800379485,False
X_16394,0.05905132829518127,-0.09962284182515314,,1555.0,0.03449695613233091,0.25656565656565666,0.5243537332114299,False
QUINATE,0.005495669473891442,-0.20532634654580872,,1518.0,0.04549995682352079,0.2432432432432432,0.6287266761068326,False
DAIDZEIN,0.024386917823324864,-0.13060840384402927,,969.0,0.05009754301428463,0.27081967213114755,0.6345688781809387,False
GAMMA_TOCOPHEROL,-0.05744246866517045,-0.1832522700186512,1.6736414141195366,1507.0,0.06098142954821194,0.23070641077991016,0.713013637794478,False
X_18599,-0.08957184578705332,0.1305398515363308,,965.0,0.0696639691633077,-0.22020202020202018,0.7563516652016266,False
_4_ACETAMIDOBUTANOATE,-0.019369370288985957,-0.23187169620685882,3.581477775808792,1041.0,0.09434592970828679,0.22398589065255736,0.7590529591399281,False
CAPRATE__10_0_,-0.017391675397386317,-0.05520720567922535,1.6664596675345613,1622.0,0.11121906003107264,0.18827838827838828,0.7590529591399281,False
X_19232,-0.03654507280656444,-0.147092273780768,2.0089726591700456,1615.0,0.11967115256678021,0.1875,0.7590529591399281,False
X_11327,-0.10689173143797796,-0.19699392253637937,0.8820008640250347,1736.0,0.10126050732981012,0.19067215363511658,0.7590529591399281,False
_3_4_DIHYDROXYBENZOATE,-0.1009083862674133,-0.0782362955257987,-0.36713611328290635,1943.0,0.12022583323339195,0.17543859649122817,0.7590529591399281,False
_3_7_DIMETHYLURATE,0.026483473640104827,-0.13882874350891,,899.0,0.11523094129672697,0.21898305084745773,0.7590529591399281,False
KYNURENATE,0.14824423857748195,-0.046082684498635604,,983.0,0.11350458724054541,0.21358024691358035,0.7590529591399281,False
ARACHIDONATE__20_4N6_,-0.04585886613648699,0.07724928463059927,,996.0,0.12278634761933402,-0.1842751842751843,0.7590529591399281,False
N__2_FUROYL_GLYCINE,-0.13149910824487665,-0.20251960275222006,0.6230085438807841,1859.0,0.08133234683310717,0.20090439276485794,0.7590529591399281,False
LINOLEAMIDE__18_2N6_,-0.05321831673638359,-0.1022655241418727,0.9423250809075825,1663.0,0.1034126851516598,0.19296987087517925,0.7590529591399281,False
ALPHA_TOCOPHEROL,0.06206226150083977,-0.04821738175594091,,1510.0,0.12484423670064608,0.18804091266719114,0.7590529591399281,False
X_14497,-0.009421870693916904,-0.11804080695382567,3.64712835982821,1110.0,0.14691858299636096,0.19162640901771333,0.7975580219802453,False
X_02249,-0.06760495050162041,-0.1689872419149321,1.321713532691704,1332.0,0.14298639419398274,0.18399999999999994,0.7975580219802453,False
ISOBAR__DIHYDROCAFFEATE__3_4,-0.08071596375376767,-0.17314156893461893,1.1010262000918831,1372.0,0.14662533641446426,0.18021505376344082,0.7975580219802453,False
MANNOSE,-0.11758181443700463,-0.2410578067761045,1.0357142077098092,1738.0,0.20554741927273346,0.14568226763348724,0.8678668813737636,False
_1_HEXADECANOL,-0.09913620333349216,-0.04290580581851243,-1.2082391303268807,1231.0,0.2054190227415632,-0.14691614691614696,0.8678668813737636,False
CADAVERINE,0.12602030725569796,0.18248880561421746,0.5341517350401598,764.0,0.2038722226140316,-0.16502732240437157,0.8678668813737636,False
X_16343,-0.059869183562319385,-0.029428773122772256,-1.0245862008122273,1217.0,0.17323799774213722,-0.1566181566181566,0.8678668813737636,False
DELTA_TOCOPHEROL,-0.11217075681260989,-0.18659316804525938,0.7341995537009539,1329.0,0.18615678808162528,0.1657894736842105,0.8678668813737636,False
