Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Coprococcus,2.400323620779664,2.041278471940796,-0.2337559198099942,2368.0,0.013956506373877882,0.26698769395398614,0.40470412491856395,False
Aliarcobacter,-1.6913740582912926,-1.1717748415275746,-0.5295003762394195,1420.0,0.026980274994570928,-0.24023542001070086,0.40470412491856395,False
,5.497561996452355,5.241304657633409,-0.06886599862548926,2341.0,0.02005972555562553,0.25254146602461214,0.40470412491856395,False
Phascolarctobacterium_A,-0.1629709575883233,0.6416519708791597,,1444.0,0.03630938526871339,-0.22739432851792407,0.40848058427302564,False
Clostridioides,3.3578631807534247,2.991493607701197,-0.16667746731195868,2243.0,0.0654844629843225,0.20010700909577306,0.45476421298708214,False
Prevotellamassilia,-2.081652062676024,-1.7275798967728249,-0.2689765161925335,1534.0,0.0990236220964949,-0.17924023542001066,0.45476421298708214,False
Anaerostipes,-0.6322889664681807,-1.048581769142533,0.7297834186721276,2210.0,0.09311405159425055,0.18245050829320486,0.45476421298708214,False
Dialister,-1.2675762174479823,-1.8742181286841937,0.5642163722642911,2210.0,0.09311405159425055,0.18245050829320486,0.45476421298708214,False
Odoribacter,-1.6875268969876307,-1.3719226357231482,-0.29871136846085594,1533.0,0.09801841350457648,-0.1797752808988764,0.45476421298708214,False
Butyricimonas,-1.96659271398979,-2.2057142102355525,0.16554767308435958,2202.0,0.10105871399712936,0.1781701444622792,0.45476421298708214,False
Dorea,1.7182652266239715,1.3311814159238222,-0.36824554615979355,2152.0,0.16356999237024172,0.15141787051899414,0.5662038197431445,False
Dorea_A,-1.7995490104797403,-1.538539619368114,-0.22607379902316282,1571.0,0.14233850664630449,-0.15944355270197963,0.5662038197431445,False
Sutterella,-1.1714499714090254,-0.8128739285286996,-0.5271918209141649,1583.0,0.15914310217143735,-0.15302300695559123,0.5662038197431445,False
Collinsella,1.1549983871264078,0.7429984888986457,-0.6364596552081058,2133.0,0.19378435442798403,0.1412520064205458,0.5813530632839521,False
Paraprevotella,-1.9650334415824735,-1.7265254033181274,-0.18668230344618217,1599.0,0.18383000194705346,-0.14446227929374,0.5813530632839521,False
Ruminococcus_B,3.1045778954311065,2.7957967330249724,-0.15113765597521933,2124.0,0.20944931454968985,0.1364365971107544,0.5890761971710027,False
Desulfovibrio,-1.9271954185453792,-1.794987895113292,-0.10252875407287027,1683.0,0.360294680583474,-0.0995184590690209,0.7422748580821295,False
Flavonifractor,1.829191384984005,2.1233676498828946,0.21514815832454148,1667.0,0.3203647424346302,-0.10807918673087213,0.7422748580821295,False
Faecalibacterium,3.174727403095367,3.237349020781564,0.02818019118004784,1672.0,0.3325198223477345,-0.10540395933654356,0.7422748580821295,False
Bilophila,-2.0935227648866426,-1.8786983245058333,-0.15619918407847214,1684.0,0.36288993061792996,-0.09898341359015517,0.7422748580821295,False
Unclassified,-1.828727623334401,-2.1190164674796272,0.21255458798227084,2066.0,0.3325198223477345,0.10540395933654367,0.7422748580821295,False
Blautia_A,4.759453601983534,4.605317714203875,-0.04749526859238461,2066.0,0.3325198223477345,0.10540395933654367,0.7422748580821295,False
Eggerthella,-1.441410368013046,-1.2737233625830275,-0.17842915218318725,1697.0,0.39768556624808615,-0.09202782236490104,0.7435074774919059,False
Lachnospira,0.6904551737605659,0.38683146471206054,-0.8358426058412645,2024.0,0.44610448649514356,0.08293204922418407,0.7435074774919059,False
Adlercreutzia,-1.052461155811403,-1.3463821688841364,0.35532098792870326,2028.0,0.4344192957540872,0.08507223113964679,0.7435074774919059,False
Prevotella,-0.12801416782361655,0.24220664908867673,,1703.0,0.41440142975271144,-0.08881754949170684,0.7435074774919059,False
Ruminococcus,3.227788412024292,3.2859301679861983,0.025755810535537285,2037.0,0.408783837518767,0.0898876404494382,0.7435074774919059,False
Slackia,-1.7456459345321846,-1.997510849900774,0.19444236946229387,2001.0,0.516661821973549,0.07062600321027279,0.8303493567432038,False
Clostridium,1.2361432890633683,1.1374202350050187,-0.12008060913284602,1985.0,0.5689525763801986,0.06206527554842167,0.8634937286136632,False
Parabacteroides,0.20533606895729944,0.3931187489956717,0.9369781005881372,1755.0,0.5756624857424422,-0.0609951845906902,0.8634937286136632,False
Aeromonas,-1.6956865517592943,-1.6816127510865,-0.012023997963295346,1957.0,0.6660967183095672,0.047084002140181935,0.8653447404721797,False
Streptococcus,1.074347724397438,1.331581825752572,0.30968007196774366,1797.0,0.7243836241427122,-0.038523274478330705,0.8653447404721797,False
Bifidobacterium,0.8469720388535757,0.6143733491243549,-0.4631987076791213,1946.0,0.705977371821583,0.04119850187265928,0.8653447404721797,False
Escherichia,-0.36119038803155284,-0.012034052200783256,-4.907565086972845,1794.0,0.713319958839254,-0.0401284109149278,0.8653447404721797,False
Clostridium_AQ,-0.09591606698260771,-0.24531169341719208,1.3547715985638085,1929.0,0.7691953248641596,0.0321027287319422,0.8653447404721797,False
Actinomyces,-1.6263234675928933,-1.6443687860028697,0.01591966075037617,1949.0,0.695014814172918,0.042803638309256264,0.8653447404721797,False
Lactobacillus,-1.5141038709703278,-1.3398580990986282,-0.1763839642153394,1795.0,0.7170012869092868,-0.03959336543606207,0.8653447404721797,False
Bacteroides,3.2394855353655316,3.427782078888494,0.08151067704356985,1767.0,0.6166857612117913,-0.054574638844301804,0.8653447404721797,False
