Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
385_unknown,0.09902992444149245,-0.012891054986848083,,14014.0,5.735293123781273e-29,0.9014925373134328,1.5829409021636313e-26,True
2-Oxohexane,-0.01756041898616904,0.057554598900314106,,796.0,2.142946009563044e-28,-0.8919945725915875,2.9572654931970006e-26,True
(-)-Menthone,0.0413369262227894,0.6565839167262197,3.9894763873681036,1471.0,3.505976843324487e-23,-0.8004070556309362,3.225498695858528e-21,True
Pentadecanal,0.1394153185489811,-0.0072863001760533315,,13095.0,6.294148682538832e-22,0.7767978290366351,4.342962590951794e-20,True
Propionic acid,1.2578237186387762,0.258115399074955,-2.2848416254533173,12928.0,9.290654129386625e-21,0.7541383989145183,5.128441079421417e-19,True
"2-Heptanone, 5-methyl-",0.0037583055146668265,0.0637173509404781,4.083531997610106,2548.0,5.214292373695406e-16,-0.6542740841248305,2.3985744918998866e-14,True
309_Xylene,0.2483328277939616,0.10673042697491,-1.2183034652634364,11662.0,5.381282804029617e-13,0.5823609226594302,2.1217629341602487e-11,True
Quinoline,-0.016357447122760004,0.041476159287496095,,3257.0,4.7000055921879275e-12,-0.5580732700135685,1.621501929304835e-10,True
Methyl butyrate,0.694084232539081,0.23511685345203787,-1.5617327985546605,11467.0,5.68001078700399e-12,0.5559023066485753,1.7418699746812236e-10,True
Methyl propionate,0.1766670904042235,0.04348086996993804,-2.0225806054093995,11416.0,1.0338695195255498e-11,0.5489823609226594,2.8147676057090955e-10,True
Mesitylene,0.016485301121653494,-0.006279593946638121,,11409.0,1.1218276689420306e-11,0.5480325644504749,2.8147676057090955e-10,True
"Z-1,6-Tridecadiene",-0.013294562612522471,0.03168996723576633,,3485.0,6.532491774581834e-11,-0.5271370420624152,1.5024731081538219e-09,True
367_unknown,0.01737191820012744,-0.01309553409755136,,11240.0,7.728225698082891e-11,0.525101763907734,1.6407617635929829e-09,True
Methyl acetate,0.18334742171461219,0.07245514919507455,-1.3394198503415782,11230.0,8.641684714312544e-11,0.5237449118046134,1.70364641510733e-09,True
"3,4-Dihydroxyphenylglycol",0.08390970184140767,0.020771758637461144,-2.0142142560640615,11178.0,1.538013752599364e-10,0.5166892808683854,2.8299453047828297e-09,True
Butyric acid,3.1023753411969524,1.861578345209083,-0.7368469076908066,11163.0,1.813732481251801e-10,0.5146540027137043,3.1286885301593565e-09,True
"Heptasiloxane, hexadecamethyl-",0.0015140300811726415,-0.010169013508947751,,10977.0,1.3309541634042671e-09,0.48941655359565805,2.160843229997516e-08,True
"1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-",0.06322875063569039,0.30834607085260823,2.2858978427859453,3775.0,1.5086294107570984e-09,-0.4877883310719131,2.313231763160884e-08,True
Toluene,0.7184330258679201,0.37336956706293284,-0.9442493312160481,10958.0,1.6227425066586496e-09,0.4868385345997286,2.3572470096725645e-08,True
"Benzene, 1-ethyl-4-methyl-",0.01993428058070035,-0.008395463498287976,,10924.0,2.3078930676203898e-09,0.48222523744911805,3.1848924333161376e-08,True
"Decane, 2,4,6-trimethyl-",0.03485671552103916,0.050238681432415874,0.5273619648103262,3872.0,4.093936931509487e-09,-0.4746268656716418,5.3806028242696116e-08,True
"Butanoic acid, butyl ester",0.21371888715448392,0.03136473182544459,-2.7684992736881155,10801.0,8.035677544132587e-09,0.46553595658073266,1.0081122737184519e-07,True
Acetic acid,1.0719985241293273,0.563558820558738,-0.9276648170723357,10748.0,1.3580457022686188e-08,0.45834464043419265,1.6296548427223426e-07,True
"Oxime-, methoxy-phenyl-_",0.2702000341023262,0.5754986414251981,1.0907846655720501,4044.0,2.2554642073771922e-08,-0.4512890094979647,2.5937838384837713e-07,True
1-Butanol,0.359844589333604,0.16745324905741157,-1.1036155969184644,10685.0,2.508583056035593e-08,0.4497964721845318,2.769475693863295e-07,True
"Benzaldehyde, 3-chloro-5-methoxy-4-[(4-methylphenyl)methoxy]-",-0.015111062334938186,-0.005387089447533423,-1.4880271802875826,4282.0,2.091464789706512e-07,-0.4189959294436907,2.220170315226913e-06,True
Ethyl propionate,0.12750993135852673,0.04579557072134899,-1.4773296416553052,10444.0,2.3726975381557984e-07,0.41709633649932165,2.425424150114816e-06,True
Octadecanol,-0.002203050317096643,0.013047029632669365,,4362.0,4.269879908824828e-07,-0.40814111261872454,4.2088816244130445e-06,True
"Pentanal, 2,4-dimethyl-",-0.01538553120872779,-0.007311224512923311,-1.0733893062914455,4418.0,6.964089057196976e-07,-0.4005427408412483,6.627891654435743e-06,True
Phenol,0.3220958423553721,0.7056472430229663,1.131457113803559,4428.0,7.592965205689944e-07,-0.39918588873812755,6.985527989234749e-06,True
"Bicyclo[4.1.0]heptane, 7-methylene-",-0.016855338607017784,0.014353886782449813,,4469.0,1.0792121536079616e-06,-0.3936227951153324,9.608469496638625e-06,True
"1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",-0.008810093721130795,-0.017888735266435956,1.0218221291441354,10250.0,1.2898561835668843e-06,0.39077340569877883,1.1125009583264378e-05,True
Hexanal,0.035553718236596935,0.017811855316817664,-0.997162643773403,10237.0,1.4395368726991e-06,0.38900949796472184,1.2039762935301563e-05,True
"4-Octanone, 5-hydroxy-2,7-dimethyl-",0.015058417379633636,0.06910544938295016,2.198229320264935,4518.0,1.6329900873458315e-06,-0.38697421981004065,1.3256037179630866e-05,True
Methyl tetradecanoate,0.06478969370927647,0.011213644065616313,-2.53050914410986,10215.0,1.7316015518500652e-06,0.38602442333785625,1.3654915094589085e-05,True
Methyl hexadecanoic acid,0.08275831419072562,0.037208636660026585,-1.1532667247906787,10184.0,2.2414172510863896e-06,0.38181818181818183,1.7184198924995654e-05,True
"Ethanol, 1-(2-butoxyethoxy)-",0.00879819092944551,-0.006950298461809254,,10148.0,3.014697727430178e-06,0.376933514246947,2.2488015480289975e-05,True
Tetrahydropyran Z-10-dodecenoate,-0.01756041898616904,0.0043343456327166385,,4611.0,3.5201707935564765e-06,-0.37435549525101763,2.5567556290041776e-05,True
Acetoin,0.22121932779131653,0.48768278631857004,1.1404656118573357,4644.0,4.596967493174726e-06,-0.36987788331071914,3.253238533631345e-05,True
Isobutyl isovalerate,0.05155190371929166,-0.000949346730444426,,10073.0,5.527006448744684e-06,0.3667571234735414,3.813634449633832e-05,True
Tributyl phosphate,0.14654767377130126,0.19967887924825242,0.44631167400909305,4671.0,5.706213947721589e-06,-0.3662143826322931,3.84125621846624e-05,True
"Propanoic acid, propyl ester",0.1286434862069965,0.04578603805171664,-1.4903987702858867,10063.0,5.985392301946193e-06,0.3654002713704205,3.9332577984217835e-05,True
269_Xylene,0.07735386624036894,0.16586500097544707,1.1004641893871185,4704.0,7.411692281161883e-06,-0.3617367706919946,4.7572722548853016e-05,True
"Isophthalic acid, butyl tridec-2-ynyl ester",-0.0053238953574373344,0.08596050629672698,,4729.0,9.017775564481222e-06,-0.3583446404341927,5.656604672265494e-05,True
Ethylbenzene,0.3455470912531797,0.23361723623204317,-0.5647356148004229,9983.0,1.1210591892300132e-05,0.3545454545454545,6.87582969394408e-05,True
"4,5-Nonadiene",0.005260401112777456,-0.007350275928660828,,9975.0,1.192521111914543e-05,0.35345997286295794,7.155126671487259e-05,True
218_unknown,0.036046838511120116,0.015225748542678873,-1.2433595709205445,9961.0,1.3281692447744857e-05,0.3515603799185889,7.799461948037405e-05,True
Dodecane,0.03521678979185731,0.07980682191748874,1.180248666142092,4891.0,3.084909059619931e-05,-0.3363636363636363,0.000177382270928146,True
Methyl valerate,0.4297473113093605,0.23684479912993503,-0.8595466211587773,9786.0,4.882444640066081e-05,0.32781546811397555,0.0002750111674812731,True
Cyclohexanecarboxylic acid,0.4608517773710698,0.21473980578299584,-1.1017131696522147,9783.0,4.9889877088586584e-05,0.3274084124830394,0.0002753921215289979,True
"Cyclohexanecarboxylic acid, methyl ester",0.0752556651333775,0.01765943624251855,-2.091360896304513,9755.0,6.095942945195122e-05,0.32360922659430114,0.00032989808879879483,True
