Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Eisenbergiella porci,1.8426717282647815,3.2249770757726663,0.8074898274540836,2382.0,5.051405481770549e-17,-0.676797829036635,2.0240981765454588e-13,True
Pseudoflavonifractor sp904419835,-1.0612129987268817,-0.10880905643311496,-3.2858437078599727,2535.0,4.3552222504226516e-16,-0.6560379918588874,8.725687778721782e-13,True
Sellimonas intestinalis,0.645719866522672,2.6115284134192405,2.015914080625582,2617.0,1.3451684169562362e-15,-0.6449118046132971,1.796696615581213e-12,True
Mediterraneibacter sp900541505,-0.19722862695820037,0.994476608916163,,2702.0,4.244955805921992e-15,-0.6333785617367707,4.252384478582355e-12,True
Eisenbergiella sp900555195,-0.9068936570172018,-0.07370916717526031,-3.6210174281319687,2828.0,2.2471636453994986e-14,-0.6162822252374491,1.644178898195501e-11,True
Anaerostipes caccae,-0.6394369934801803,1.1940938573214195,,2835.0,2.461959917437735e-14,-0.6153324287652646,1.644178898195501e-11,True
Flavonifractor sp002159455,0.2481407449862268,1.1024734881443998,2.1515134104537275,2922.0,7.569846865466715e-14,-0.603527815468114,4.333196627132161e-11,True
Agathobacter sp002474415,4.053838025989512,2.1291537368736875,-0.9290083217608736,11727.0,2.3962911295832067e-13,0.5911804613297151,1.0668820618044343e-10,True
Enterenecus sp900549885,0.5804985422136882,1.9274659196377855,1.7313410020575473,3007.0,2.2225450177317487e-13,-0.5919945725915875,1.0668820618044343e-10,True
Ruthenibacterium lactatiformans,2.999924176634142,4.68068353245631,0.6417931887764652,3033.0,3.077436859099036e-13,-0.5884667571234735,1.0937402918125337e-10,True
Erysipelatoclostridium spiroforme,0.016419944605052406,2.1250717726672725,7.015918489053487,3038.0,3.275488770089943e-13,-0.5877883310719132,1.0937402918125337e-10,True
Flavonifractor avicola,-0.6999395847990355,0.07542631582414817,,3038.0,3.275488770089943e-13,-0.5877883310719132,1.0937402918125337e-10,True
Enterenecus stercoripullorum,-1.2371259718920904,-0.4164432320443432,-1.5708006608304692,3065.0,4.581676466333386e-13,-0.5841248303934872,1.412213661584452e-10,True
Rubneribacter badeniensis,-1.374266834178916,-0.6950979318241524,-0.9833739944950012,3073.0,5.05871458953914e-13,-0.5830393487109905,1.4478763828773808e-10,True
Acutalibacter ornithocaccae,-1.0202993410477286,0.27278837978011383,,3103.0,7.322537823020741e-13,-0.5789687924016282,1.7259652386378885e-10,True
Eggerthella sp014287365,0.24608594117653912,1.8373354032351095,2.900380867638521,3101.0,7.144754382253053e-13,-0.5792401628222523,1.7259652386378885e-10,True
Massilioclostridium methylpentosum,0.010997164568884018,1.000941865238694,6.508082764184037,3098.0,6.885996167285206e-13,-0.5796472184531887,1.7259652386378885e-10,True
Pseudoflavonifractor capillosus,0.8039291899942984,1.6232561945277142,1.0137503750987245,3150.0,1.3005269783246978e-12,-0.5725915875169607,1.9300783711655792e-10,True
Prevotella sp900557255,3.986884969217938,1.851396318370178,-1.1066482226588017,11617.0,9.357061264580555e-13,0.5762550881953867,1.9300783711655792e-10,True
Lawsonibacter sp900764755,0.08963850504536118,1.1413804890543064,3.670517406597217,3122.0,9.243299778500267e-13,-0.5763907734056988,1.9300783711655792e-10,True
Evtepia excrementipullorum,-1.0110658668715435,0.06109370080385573,,3132.0,1.0444727542841997e-12,-0.575033921302578,1.9300783711655792e-10,True
UMGS1623 sp900553525,-0.7134945721953301,0.3082038365455462,,3142.0,1.1799037992940078e-12,-0.5736770691994573,1.9300783711655792e-10,True
Lawsonibacter sp900553135,-0.5877704664383371,0.3397999860831129,,3137.0,1.1101634660275052e-12,-0.5743554952510177,1.9300783711655792e-10,True
Pelethomonas sp900555795,-0.23830364396417056,0.48977428575518545,,3149.0,1.2848117218938948e-12,-0.5727272727272728,1.9300783711655792e-10,True
Intestinimonas merdavium,-1.0405082552522291,-0.32993771181453735,-1.657022819370112,3146.0,1.2387755615854064e-12,-0.5731343283582089,1.9300783711655792e-10,True
Prevotella sp002490315,-0.19649334873687088,-1.3804616073926725,2.8125983822401635,11595.0,1.2237929032829866e-12,0.5732700135685211,1.9300783711655792e-10,True
Lawsonibacter sp902363045,1.87065472283738,2.784978802665949,0.5741230498936613,3129.0,1.0069055974942909e-12,-0.5754409769335143,1.9300783711655792e-10,True
Eggerthella lenta,2.325253163140184,4.279938215620817,0.8802021713350254,3183.0,1.9394512952475333e-12,-0.5681139755766622,2.775493335734595e-10,True
Muricomes contortus_B,1.3341835098869192,2.296392671057825,0.7834122410746961,3197.0,2.295691739220534e-12,-0.5662143826322931,3.17201268932989e-10,True
Alectryocaccomicrobium faecavium,-1.6194000110043,-0.9387269500220874,-0.7866819089984044,3200.0,2.3799946649343914e-12,-0.5658073270013568,3.1788795407973687e-10,True
Flavonifractor intestinigallinarum,-1.2167772470922253,-0.6110371941234026,-0.9937329757678763,3224.0,3.173107512802972e-12,-0.562550881953867,4.101497356065003e-10,True
Dysosmobacter excrementigallinarum,-0.6557358170193451,0.29889925545251866,,3252.0,4.429293427074932e-12,-0.5587516960651289,5.546305863215391e-10,True
Fimivicinus sp002320555,-1.3425074069218645,-0.46374467654330004,-1.5335274222808577,3259.0,4.8128161698469405e-12,-0.5578018995929444,5.843925573508088e-10,True
An92 sp016901735,0.5484501698063008,1.2320530567079526,1.1676319312910326,3266.0,5.228836529339103e-12,-0.5568521031207598,6.16233763913582e-10,True
Lawsonibacter sp900066825,3.0015632256479883,4.291162687578804,0.5156545403462932,3272.0,5.613325027542025e-12,-0.5560379918588874,6.426455252960256e-10,True
Anaerotignum sp001304995,0.7437749304755695,1.898893586129162,1.352221032399654,3275.0,5.81582714919861e-12,-0.5556309362279512,6.473338718566341e-10,True
Lawsonibacter sp002161175,-0.1019917640223571,0.8945781905837712,,3282.0,6.316585317313887e-12,-0.5546811397557666,6.840691180128851e-10,True
Flavonifractor phocaeensis_A,0.23435659396900008,1.000299484768739,2.09365470717675,3288.0,6.779253230391012e-12,-0.5538670284938942,7.148544130046523e-10,True
Ventrimonas sp003478505,4.4226817555284,3.1748609905570064,-0.4782280077386168,11443.0,7.536154518142949e-12,0.5526458616010854,7.742915680563793e-10,True
Acutalibacter sp000432995,-1.4319833744959098,-0.7429892035713958,-0.9466015907997012,3310.0,8.777598462258013e-12,-0.5508819538670284,8.792959259566964e-10,True
Fimisoma sp000435715,-0.295245806101463,1.2978336306440563,,3325.0,1.0460136413122038e-11,-0.5488466757123474,9.75075916673049e-10,True
Clostridium_Q fessum,5.657832924630098,4.180791999397317,-0.436473305731412,11413.0,1.0707097662494172e-11,0.5485753052917233,9.75075916673049e-10,True
CAJFUR01 sp904420215,-1.6489292204854265,-1.1730125003621223,-0.49131108541298024,3327.0,1.0707097662494172e-11,-0.5485753052917233,9.75075916673049e-10,True
Flavonifractor sp002159265,0.04752028929507054,0.9070064360243535,4.254497260979903,3326.0,1.058291134983821e-11,-0.5487109905020353,9.75075916673049e-10,True
