Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Phocaeicola plebeius_A,1.6330112757596285,1.355883704726912,-0.9205978640814736,6236.0,0.5020627250624492,0.053022627490712626,0.997437429273192,False
Prevotella sp900551275,0.5000412951940041,0.6718900459032517,0.5708691930523443,5501.0,0.36793411073847093,-0.07109084768659235,0.997437429273192,False
Prevotella sp015074785,0.20405698948742684,0.3616465404373643,0.5235011567612805,5634.0,0.5381730322677593,-0.04863221884498481,0.997437429273192,False
Prevotella copri,0.24987507599909559,0.33254189832285536,0.27461323959235934,5679.0,0.6036026512438295,-0.04103343465045595,0.997437429273192,False
Megamonas funiformis,0.24446879201193955,-0.046927105641025604,-0.9679962191483072,6222.0,0.5213461351127036,0.050658561296859084,0.997437429273192,False
Escherichia coli,0.7373577471743904,0.6951439801404943,-0.14023109870092948,5958.0,0.9394107375391001,0.006079027355623046,0.997437429273192,False
Prevotella copri_A,0.35318210259008637,0.42221496743625747,0.22932221320305793,5845.0,0.8698907222158496,-0.013002364066193817,0.997437429273192,False
Fimenecus sp000432435,0.30565294193379183,0.17838775896648829,-0.42276578680006627,6415.0,0.2916485746334725,0.08324890239783866,0.997437429273192,False
Bacteroides stercoris,2.519194510018628,2.681511125625658,0.5392041256520252,5655.0,0.5682612574400074,-0.04508611955420461,0.997437429273192,False
Sutterella wadsworthensis,0.7858716470015858,0.6510531484673063,-0.4478573579915538,5779.0,0.7602803905542079,-0.02414724755150288,0.997437429273192,False
Fusobacterium_A mortiferum,0.06603521482138802,-0.03830612109396143,-0.3466144152352791,6211.0,0.5367604496569232,0.04880108071597444,0.997437429273192,False
Ruminococcus_B gnavus,1.7573678874422258,1.7580646182568163,0.002314489667561705,5943.0,0.9649893823027146,0.0035460992907800915,0.997437429273192,False
Agathobacter rectalis,1.6211225531151434,1.963862946189218,1.1385589410055066,5455.0,0.31787108128091845,-0.07885849375211074,0.997437429273192,False
Phocaeicola coprocola,1.9237025559244751,1.7749192558188223,-0.49424742467102617,6140.0,0.6414315495697125,0.036811887875717764,0.997437429273192,False
Prevotella sp000434975,0.37547438562212315,0.32504753651367657,-0.16751436678999443,5897.0,0.9581637947891285,-0.004221546774738294,0.997437429273192,False
Phascolarctobacterium_A succinatutens,0.36710212123550223,0.7219946563533151,1.1789274830736622,5506.0,0.3736570053210714,-0.07024653833164474,0.997437429273192,False
Alistipes putredinis,1.8250570077696753,1.3149710018300793,-1.6944690339396258,6786.0,0.06447581601438704,0.14589665653495443,0.997437429273192,False
Prevotella sp900557255,0.1659810093837505,0.2686815824767106,0.3411639191185372,5502.0,0.3690743018909717,-0.07092198581560283,0.997437429273192,False
Prevotella sp900546535,0.23933720766042912,0.3347898028816125,0.31708665779516015,5619.0,0.517182121714849,-0.05116514690982776,0.997437429273192,False
Lachnospira rogosae_A,0.4484898182386055,0.40432584393094934,-0.1467095470344867,6067.0,0.7570211584657405,0.02448497129348204,0.997437429273192,False
Ruminococcus_D bicirculans,0.07029741837630957,0.09445793925844578,0.08025951310548109,5945.0,0.9615762365136563,0.003883823032759137,0.997437429273192,False
Prevotella sp900767615,0.2614395054731861,0.34414574460754005,0.274744179402883,5645.0,0.5538335044455085,-0.046774738264099947,0.997437429273192,False
Bacteroides fragilis,0.9676451555975022,1.1987494957786828,0.7677120004982703,5735.0,0.689655359017274,-0.03157716987504222,0.997437429273192,False
Phascolarctobacterium faecium,0.0939597809814202,-0.13860356825258166,-0.772558723661532,6171.0,0.5946750475604836,0.042046605876393084,0.997437429273192,False
Agathobacter faecis,0.8091187623332903,0.6999043522972975,-0.3628024170651126,6308.0,0.40913892089179393,0.06518068220195872,0.997437429273192,False
Barnesiella intestinihominis,0.6508347971813861,0.6134390705376489,-0.12422591496655865,6133.0,0.6521984297065491,0.03562985477879099,0.997437429273192,False
Roseburia inulinivorans,1.5349509138775628,1.550031086248253,0.05009524827393976,5909.0,0.9786477564548374,-0.0021952043228639084,0.997437429273192,False
Sutterella wadsworthensis_A,0.03352702404688133,0.13025860080971163,0.32133534251119955,5887.0,0.9411143302301122,-0.005910165484633523,0.997437429273192,False
Lachnospira sp000437735,0.14379476052693474,0.4219654528237821,0.9240630379151649,5175.0,0.10996247499637185,-0.12613981762917936,0.997437429273192,False
Gemmiger formicilis,1.1736879876589033,1.4820498724849902,1.0243560085961991,5450.0,0.3127118812458085,-0.07970280310705846,0.997437429273192,False
Bacteroides caccae,1.5842462298847484,1.50351685188072,-0.26817718887436365,6067.0,0.7570211584657405,0.02448497129348204,0.997437429273192,False
Prevotella hominis,0.13337169220065115,0.2155694996300044,0.27305520583770976,5713.0,0.6552881699557662,-0.035292131036811836,0.997437429273192,False
Enterocloster sp001517625,0.41947556442622147,0.4836786850751118,0.21327815026299174,5875.0,0.920691221207089,-0.007936507936507908,0.997437429273192,False
Phocaeicola vulgatus,4.504074791536598,4.270754926561573,-0.7750718145558606,6372.0,0.3358271618237222,0.07598784194528885,0.997437429273192,False
Alistipes onderdonkii,1.2667856532366055,0.905672945882414,-1.1995904479807271,6582.0,0.15792565569478922,0.1114488348530902,0.997437429273192,False
Bifidobacterium adolescentis,0.4726405804355915,0.7199155492653814,0.8214296661180758,5213.0,0.1292670715250739,-0.11972306653157716,0.997437429273192,False
Prevotella stercorea,0.4206205645425676,0.30310886753063965,-0.39036540778181467,5954.0,0.9462266940368683,0.005403579871664954,0.997437429273192,False
Faecalibacterium prausnitzii_C,1.657421195380616,1.3508538281561038,-1.018394750158758,6464.0,0.24628180875824857,0.09152313407632562,0.997437429273192,False
Phocaeicola massiliensis,2.084802352538221,1.8470311421937189,-0.7898588637987745,6534.0,0.19043011562612766,0.10334346504559266,0.997437429273192,False
Parabacteroides merdae,2.7412742424471195,2.3842081518928913,-1.1861478779436858,6668.0,0.11043953079032708,0.12597095575818984,0.997437429273192,False
Enterocloster sp000431375,1.1330288770784422,1.1825203873473333,0.1644072384206357,5728.0,0.6786465041551712,-0.03275920297196888,0.997437429273192,False
Mediterraneibacter faecis,1.0792086597257524,1.0154245438618155,-0.21188624649596285,6135.0,0.6491146471066391,0.03596757852077004,0.997437429273192,False
Lachnospira eligens_A,0.787587461382202,0.4601210510952383,-1.0878198684641767,6400.0,0.30659404638088616,0.08071597433299571,0.997437429273192,False
Phocaeicola plebeius,1.9468832859193117,1.7709623192935722,-0.5843968015137861,6140.0,0.6414315495697125,0.036811887875717764,0.997437429273192,False
ER4 sp000765235,0.5998765409624642,0.635610868587348,0.11870686688901115,5600.0,0.4912154907843388,-0.05437352245862881,0.997437429273192,False
Parabacteroides distasonis,3.1880234161708842,3.2603944757791163,0.24041145616935417,5768.0,0.7424087924493769,-0.026004728132387744,0.997437429273192,False
Roseburia intestinalis,0.6568457583521844,0.5365370761218085,-0.3996567915599618,6301.0,0.41769773291792234,0.06399864910503217,0.997437429273192,False
Bifidobacterium longum,0.7211405189635727,1.007769618371396,0.9521612581351109,5208.0,0.12658600414183482,-0.12056737588652477,0.997437429273192,False
Prevotella sp900313215,-0.19847889669182556,0.04620961571389632,0.8128376438567624,5457.0,0.3199502914827219,-0.07852077001013169,0.997437429273192,False
Prevotella sp900544825,-0.22675104680943525,-0.16954836708508095,0.19002318887917624,5581.0,0.46596585270266333,-0.057581898007429966,0.997437429273192,False
Dialister invisus,-0.39650063264591456,-0.4480659555757726,-0.17129629496263496,6085.0,0.7278886780610448,0.02752448497129345,0.997437429273192,False
Ruminococcus_E bromii_B,0.6269323384027112,0.5021239074174841,-0.41460463336863623,6160.0,0.6110880087557153,0.04018912529550822,0.997437429273192,False
Bacteroides uniformis,3.456656519969136,3.7501082737711684,0.974825625448941,5267.0,0.16110141234848685,-0.11060452549814248,0.997437429273192,False
Bifidobacterium pseudocatenulatum,0.3456853449789839,0.29371054469509134,-0.17265654928922236,6007.0,0.8564253289758761,0.01435325903411,0.997437429273192,False
Phocaeicola dorei,3.6074449331165503,3.752159381576154,0.48073099207408665,5601.0,0.492564475822482,-0.054204660587639286,0.997437429273192,False
Bacteroides eggerthii,1.084673392767547,1.31244377082593,0.7566368180552587,5625.0,0.5255273360634719,-0.050151975683890626,0.997437429273192,False
Faecalibacterium prausnitzii_G,1.8333198297347366,1.8928408883428036,0.19772467682757505,5718.0,0.6630382875383529,-0.03444782168186422,0.997437429273192,False
Enterocloster bolteae,1.2761358299517405,1.271273512443417,-0.016152269137162733,5741.0,0.699144197812907,-0.030563998649105084,0.997437429273192,False
Prevotella sp900551985,-0.23490523705332528,-0.161084470759194,0.24522727753858875,5619.0,0.517182121714849,-0.05116514690982776,0.997437429273192,False
CAG-127 sp900319515,-0.14593273312049054,-0.32437099695202337,-0.5927590818248923,6017.0,0.8396526248236542,0.01604187774400545,0.997437429273192,False
Mediterraneibacter torques,1.1679674831416547,1.3403826086666109,0.5727506494648832,5512.0,0.38059675780737645,-0.06923336710570749,0.997437429273192,False
Prevotella sp900557035,-0.31810296108442787,-0.24635140758356527,0.23835350142632913,5621.0,0.5199562159205358,-0.05082742316784872,0.997437429273192,False
Prevotella sp900770515,0.06349520656211138,0.11795541177385688,0.1809128857462285,5545.0,0.42016234783629525,-0.06366092536305301,0.997437429273192,False
Bacteroides cellulosilyticus,0.5787794542059549,0.7027325297673614,0.4117632041551325,5504.0,0.37136126791919266,-0.07058426207362378,0.997437429273192,False
Prevotella sp900556795,-0.10029508536970426,-0.052648634720365635,0.15827808303370217,5685.0,0.6125900040792513,-0.0400202634245187,0.997437429273192,False
Fusicatenibacter saccharivorans,1.519128317613524,1.7545974239268132,0.7822114397401346,5369.0,0.23681689374180226,-0.09338061465721037,0.997437429273192,False
Agathobacter sp900317585,0.6192614054809048,0.8767693350747728,0.855422825974147,5389.0,0.25422063480534907,-0.0900033772374198,0.997437429273192,False
Faecalimonas umbilicata,-0.1867119937869025,-0.11514894120129066,0.2377273149400457,6002.0,0.8648365596745693,0.013508949679162496,0.997437429273192,False
Faecalibacterium prausnitzii_D,1.4705303554016513,1.5076826375156702,0.12341720974374058,5860.0,0.8952372651984214,-0.010469436001350862,0.997437429273192,False
Acetatifactor sp900066565,1.4808190285648146,1.4114663046619085,-0.23038476199003022,6099.0,0.7054964110951314,0.029888551165146993,0.997437429273192,False
Erysipelatoclostridium ramosum,0.1933123141022978,0.07298708622598239,-0.39971175500605616,6214.0,0.5325339202456146,0.0493076663289429,0.997437429273192,False
Ruminiclostridium_E siraeum,-0.26526182702194523,-0.21339551371490728,0.17229616335287962,5760.0,0.729497319141571,-0.027355623100303927,0.997437429273192,False
Alistipes shahii,1.2074810143292298,1.2683680275818332,0.2022622799376023,5855.0,0.8867752126956381,-0.011313745356298588,0.997437429273192,False
Alloprevotella timonensis,-0.2853333197882895,-0.3639901066252543,-0.26129219004727966,5928.0,0.9906041083533792,0.0010131712259371373,0.997437429273192,False
Bacteroides thetaiotaomicron,3.1087750600116153,3.2147042973403033,0.3518893095521597,5696.0,0.6292183531253654,-0.03816278284363395,0.997437429273192,False
Gemmiger qucibialis,0.8825647871946358,0.8935681919518575,0.0365525194024321,5860.0,0.8952372651984214,-0.010469436001350862,0.997437429273192,False
Clostridium_Q fessum,1.2965926154601048,1.307797993751678,0.03722346096061759,6005.0,0.8597879203141163,0.014015535292130954,0.997437429273192,False
Acetatifactor intestinalis,0.6407964177684123,0.6678225197983692,0.0897787676286059,5785.0,0.7700834364979747,-0.023134076325565633,0.997437429273192,False
Faecalimonas phoceensis,0.6137768765851679,0.46288957168785155,-0.5012367773002306,6389.0,0.31787108128091845,0.07885849375211085,0.997437429273192,False
Akkermansia muciniphila,-0.41248117901785625,-0.11385063435608084,0.9920291963034669,5532.0,0.4042953782062588,-0.06585612968591692,0.997437429273192,False
Escherichia sp002965065,-0.3060063184906823,-0.4176970046782739,-0.37102842838380834,5845.0,0.8698907222158496,-0.013002364066193817,0.997437429273192,False
Anaerostipes hadrus,0.8927390218648994,0.8727263439254528,-0.06648067710098023,6030.0,0.817957599764247,0.01823708206686936,0.997437429273192,False
Ruminococcus_E bromii,0.5578047842349736,0.3828382013918822,-0.5812264072129025,6240.0,0.4966233191118181,0.05369807497467072,0.997437429273192,False
Faecalibacterium sp900539945,0.9768926205015397,0.9648518476538969,-0.0399985816067416,5951.0,0.9513412731649035,0.0048969942586964965,0.997437429273192,False
CAG-41 sp900066215,0.9803946761828004,0.8360126544766666,-0.4796266943022428,6280.0,0.44399890204951764,0.060452549814251855,0.997437429273192,False
Prevotella sp900555035,-0.3277441895271357,-0.2785627392628354,0.16337724138028453,5434.0,0.29657502392069457,-0.08240459304289094,0.997437429273192,False
Agathobacter sp900546625,0.5476382489329296,0.768907924680495,0.7350419524124543,5349.0,0.22027271394422565,-0.09675785207700105,0.997437429273192,False
Eubacterium_G ventriosum,0.6344491961741536,0.40756627171582027,-0.7536887610083446,6477.0,0.23512400150775914,0.09371833839918953,0.997437429273192,False
Prevotella sp900554835,-0.12105090493486342,-0.037330197658116716,0.27811416962646573,5537.0,0.4103551799916131,-0.0650118203309693,0.997437429273192,False
Acidaminococcus intestini,-0.6169008725756295,-0.6268236106902311,-0.0329626225211045,5865.0,0.9037112552019918,-0.009625126646403248,0.997437429273192,False
Prevotella pectinovora,-0.464162147832521,-0.26096636377663657,0.6750017838179081,5646.0,0.5552681725836054,-0.046605876393110424,0.997437429273192,False
Streptococcus salivarius,0.32399685619803453,0.041417012428794975,-0.9387099220659184,6318.0,0.39709473247240945,0.06686930091185417,0.997437429273192,False
Blautia_A caecimuris,-0.0690553587512265,0.07857684977072113,0.49042358119932733,5657.0,0.5711682337314011,-0.04474839581222556,0.997437429273192,False
UBA11524 sp000437595,-0.5152624176510693,-0.3989111861283259,0.3865104248701454,5746.0,0.7070876977174233,-0.02971968929415736,0.997437429273192,False
Anaerotignum faecicola,0.81529103321068,0.4847884256479957,-1.0979058974960134,6667.0,0.11091821982272196,0.1258020938872002,0.997437429273192,False
Bilophila wadsworthia,1.0100467175126424,1.2449716156423785,0.7804036192857217,5400.0,0.264163218349279,-0.08814589665653494,0.997437429273192,False
Blautia_A obeum,1.2790194835395037,1.4198497933583016,0.4678281627987565,5654.0,0.5668104275290491,-0.04525498142519424,0.997437429273192,False
Escherichia fergusonii,-0.37797827763011355,-0.4908816714327037,-0.375056955880956,5930.0,0.987187675008641,0.001350894967916183,0.997437429273192,False
Bacteroides ovatus,2.909772402571313,2.6965671753273064,-0.70825243435871,6392.0,0.31476890556241355,0.0793650793650793,0.997437429273192,False
Escherichia sp004211955,-0.4126784147473091,-0.5430720684456477,-0.4331583416155244,5987.0,0.8901585401987042,0.010976021614319542,0.997437429273192,False
Prevotella sp900548535,-0.36944014369595973,-0.3432222964914272,0.08709380321620067,5466.0,0.3294165442850384,-0.07700101317122598,0.997437429273192,False
Lachnospira sp000436475,-0.2584028526840236,-0.172253441577156,0.28618214911390477,6054.0,0.7782808737724471,0.02228976697061813,0.997437429273192,False
Klebsiella pneumoniae,-0.27440591456213637,-0.42282825592287254,-0.49304834567519207,6035.0,0.8096493844486523,0.019081391421816862,0.997437429273192,False
Lachnospira sp003451515,0.23860375791508395,-0.08087956647642551,-1.0613006311441682,6459.0,0.2506705499564478,0.0906788247213779,0.997437429273192,False
Bacteroides rodentium,2.070320569583195,2.2668006569587846,0.652692722338895,5294.0,0.17908875839736427,-0.10604525498142514,0.997437429273192,False
Phocaeicola coprophilus,0.7852503794530915,0.8037384639959755,0.06141608746365906,5863.0,0.900320287776774,-0.009962850388382294,0.997437429273192,False
Odoribacter splanchnicus,1.520424644126816,1.5083700319568243,-0.040044554840466935,5967.0,0.9240918095693185,0.0075987841945288626,0.997437429273192,False
Mediterraneibacter lactaris,0.07816665171339525,-0.19487328918915903,-0.9070190507105801,6592.0,0.15171672306097167,0.11313745356298543,0.997437429273192,False
Limisoma sp000437795,-0.437420970263333,-0.554493269195305,-0.3889057589551694,6025.0,0.8262863129070558,0.017392772711921634,0.997437429273192,False
Prevotella sp002265625,-0.23528138077350827,-0.2439344437707825,-0.028744853077475492,5882.0,0.9325992167367747,-0.006754474839581248,0.997437429273192,False
Faecalibacillus intestinalis,0.04056941070648717,0.07140497907990266,0.10243354090146913,5736.0,0.6912334959115246,-0.0314083080040527,0.997437429273192,False
Faecalibacterium prausnitzii,1.0598333823552175,0.9283079978337219,-0.4369178700328198,6219.0,0.5255273360634719,0.050151975683890626,0.997437429273192,False
Escherichia ruysiae,-0.438014804692412,-0.5593433083362004,-0.40304456496494434,5842.0,0.8648365596745693,-0.013508949679162496,0.997437429273192,False
Prevotella sp900544495,-0.4898348205858977,-0.42826218764886614,0.20453985922971216,5685.0,0.6125900040792513,-0.0400202634245187,0.997437429273192,False
Dorea_A longicatena_B,0.8478228998376179,1.00451223336943,0.5205106992285031,5467.0,0.330479438972513,-0.07683215130023646,0.997437429273192,False
Clostridium_A leptum,0.5042018264921724,0.3163022799882774,-0.6241887825478831,6258.0,0.4725397590630529,0.05673758865248235,0.997437429273192,False
CAG-83 sp001916855,0.12270905432584527,0.16677727360428468,0.1463914557127048,5860.0,0.8952372651984214,-0.010469436001350862,0.997437429273192,False
Dorea_A longicatena,0.5373964630308945,0.7589373635246487,0.7359429415168476,5414.0,0.2772007568082808,-0.08578183046268151,0.997437429273192,False
Bacteroides xylanisolvens,2.1139579887340623,2.021122257184696,-0.3083936248432614,6075.0,0.7440279213330514,0.02583586626139822,0.997437429273192,False
Copromonas sp000435795,-0.20469755649253937,-0.32655140062490856,-0.40478970829334276,5888.0,0.942818192390624,-0.005741303613644,0.997437429273192,False
CAG-217 sp000436335,-0.42350577494920244,-0.5592113101337007,-0.4508040299611103,6006.0,0.8581063028413383,0.014184397163120588,0.997437429273192,False
UBA1417 sp003531055,0.5122898253717979,0.179870200460091,-1.104274091286118,6662.0,0.11333628207105491,0.1249577845322527,0.997437429273192,False
Escherichia sp005843885,-0.48051823350749434,-0.5944433389514727,-0.37845100848735697,5915.0,0.9888958662293142,-0.0011820330969266601,0.997437429273192,False
Bifidobacterium bifidum,-0.5823208201313124,-0.445147626255609,0.45567948660113006,5423.0,0.2858098294129171,-0.0842620736237758,0.997437429273192,False
Alistipes finegoldii,0.6779084879336171,0.7513057952515041,0.24382057726837048,5877.0,0.9240918095693185,-0.0075987841945288626,0.997437429273192,False
Flavonifractor plautii,1.358488203326273,1.4913616825887852,0.44139614382757236,5569.0,0.45039765793866116,-0.05960824045930424,0.997437429273192,False
Enterocloster clostridioformis,-0.08770705030250212,-0.19386018381209924,-0.3526330765658598,5958.0,0.9394107375391001,0.006079027355623046,0.997437429273192,False
Lachnospira sp900316325,-0.13595581867023,-0.29247298087295326,-0.5199387584532688,6783.0,0.06540907444902785,0.14539007092198575,0.997437429273192,False
Veillonella atypica,-0.2834100985223692,-0.58626348757073,-1.0060571817116022,6842.0,0.048978447686879964,0.15535292131036815,0.997437429273192,False
Lawsonibacter sp900066825,1.1612903387343596,1.461697249231072,0.9979301558773422,5054.0,0.06324859438084034,-0.14657210401891252,0.997437429273192,False
Prevotella sp900290275,-0.1932750551074709,-0.20540952293443385,-0.04030982959089503,5695.0,0.6276987201731228,-0.03833164471462347,0.997437429273192,False
Paraprevotella clara,0.7977285455419886,0.8864976408426599,0.29488455163703386,5815.0,0.8196217314701101,-0.018068220195879725,0.997437429273192,False
Gemmiger sp900540595,0.5023802369125132,0.35683384528282613,-0.4834946474641363,6231.0,0.5089060575209496,0.0521783181357649,0.997437429273192,False
Bacteroides salyersiae,0.054204214697057246,0.24235813992420047,0.6250338103753831,5202.0,0.12342609714549817,-0.12158054711246202,0.997437429273192,False
Prevotella sp900765465,-0.38772101084715194,-0.37677859251809165,0.0363499268733158,6075.0,0.7440279213330514,0.02583586626139822,0.997437429273192,False
