Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
C03570_Mannosamine,-3.0193453438486455,-4.644046929743518,-5.39714184399223,7250.5,0.00080494768448652,0.21469257832132693,0.06318839323219182,False
C05584_4-Hydroxy-3-methoxymandelate,-3.3788903499065377,-4.924472776128426,-5.134313684630665,7169.0,0.0007113977447761536,0.20103869994974022,0.06318839323219182,False
C00438_Carbamoylaspartate,-3.7076638205703336,-2.0849372586111707,5.390580956492121,4772.0,0.0035334992573735576,-0.20053610319986592,0.1849197944692162,False
C00864_Pantothenate,-1.9031304596405685,-0.7536974125018695,3.8183339324820333,4812.0,0.010914709858287724,-0.19383481320154128,0.21636813452221035,False
C01005_O-Phosphoserine,-4.360316052281714,-3.2455027246348993,3.703329713664824,5002.0,0.008640494904386387,-0.16200368570949908,0.21636813452221035,False
C01425_Glu-Glu,-2.125287940270581,-0.6558528390422508,4.881357746384046,4806.0,0.011025127873743204,-0.19484000670128998,0.21636813452221035,False
C05582_Homovanillate,-3.5653498265547783,-4.8922420935379085,-4.407840700580043,6873.0,0.007210280834125466,0.15144915396213765,0.21636813452221035,False
C01046_N-Methylglutamate,-0.6368918926568313,-2.005587491454414,-4.54670836299437,7184.0,0.008326902366502619,0.20355168369911203,0.21636813452221035,False
"C01026_N,N-Dimethylglycine",-0.7702334770573731,-0.4485645136871244,1.068561166672923,4842.0,0.015460534488291723,-0.18880884570279777,0.22070451736198568,False
C02115_Alpha-Methylserine,0.28699059212124634,-0.6525118126438981,-3.1209594336035718,7091.0,0.016518534238079877,0.1879711844530072,0.22070451736198568,False
C01118_o-Succinylhomoserine,-2.8184016134571377,-3.818284560856772,-3.3215392545656277,6898.5,0.02109918117671007,0.15572122633606966,0.22070451736198568,False
C00093_Glycerophosphate,-1.5567712282394754,-0.45515439016388043,3.659491924204301,4905.0,0.01895645549633432,-0.17825431395543645,0.22070451736198568,False
"C00628_2,5-Dihydroxybenzoate",-2.641115677452167,-3.5603332847524425,-3.053574795005924,6872.0,0.026709463884571516,0.15128162171217951,0.22070451736198568,False
C00191_Glucuronate,-2.7712365974696844,-1.4238653632157812,4.475870357311103,4974.0,0.020009623050303824,-0.16669458870832632,0.22070451736198568,False
C00311_Isocitrate,-3.65927135066591,-4.819833654121064,-3.8553045217148685,6818.0,0.013014363343564398,0.1422348802144413,0.22070451736198568,False
2-Hydroxyoctanoate,-2.9457051747454064,-4.038758244682262,-3.6310437022261204,6831.0,0.026326531718294112,0.14441279946389685,0.22070451736198568,False
C05127_1-Methylhistamine,-0.7108259913688474,-1.8304553097468537,-3.719328088579487,7007.5,0.02457954654826669,0.17398224158150444,0.22070451736198568,False
C05123_Isethionate,-2.562379452798476,-3.812686119348229,-4.153428842836589,6879.0,0.023419629851197377,0.15245434746188646,0.22070451736198568,False
C04501_N-Acetylglucosamine 1-phosphate,0.4818313016678078,0.6837433081338965,0.6707371669747788,4923.0,0.02575146073118434,-0.17523873345619034,0.22070451736198568,False
C00122_Fumarate,-4.178375436142039,-3.1734772488274294,3.3381995209417843,5172.0,0.03240342294631587,-0.13352320321661915,0.25436687012857956,False
"C04259_N-alpha,N-alpha-Dimethylhistidine",-2.728704557437082,-3.543427437455336,-2.7064508246801835,6847.5,0.036310472241328225,0.14717708158820564,0.26429644445216083,False
C00785_Urocanate,-1.5487443981976174,-0.9446439843539401,2.006778136880394,5012.0,0.037035170560175405,-0.16032836320991795,0.26429644445216083,False
C00270_N-Acetylneuraminate,-1.8642170033116254,-0.6666033430535616,3.9783864648321505,5055.0,0.043050748638826575,-0.1531244764617189,0.2727860720281322,False
C01047_N-gamma-Ethylglutamine,-0.8346581865805791,-1.3610825908188877,-1.7487440182735792,6900.0,0.043398144273200615,0.15597252471100687,0.2727860720281322,False
gamma-Glu-2AB,-4.025965716438637,-4.847888342305424,-2.7303678626904757,6659.5,0.04343727261594462,0.11568101859607971,0.2727860720281322,False
C00178_Thymine,1.0102526330760286,0.666181859914224,-1.1429783679958156,6859.0,0.05758775741091968,0.14910370246272397,0.3477414582120919,False
C05629_3-Phenylpropionate,0.14799020293016035,1.280799979463607,3.7631126228295306,5094.5,0.06078115584614369,-0.1465069525883732,0.35343116547572445,False
C06423_Octanoate,-3.6624448746916114,-4.559049596204521,-2.9784564144023946,6605.0,0.06694901707939933,0.10655051097336243,0.35429958049234656,False
C00357_N-Acetylglucosamine 6-phosphate,-0.7033312873649719,-0.3209116298377344,1.2703706043769334,5112.0,0.06399778088067613,-0.14357513821410617,0.35429958049234656,False
C02567_N1-Acetylspermine,-4.779050430810364,-4.100603301258175,2.2537525805551017,5358.5,0.0696599290460869,-0.10227843859943042,0.35429958049234656,False
C00576_Betaine aldehyde,-2.470310556125986,-1.6529563294791436,2.715191968973079,5188.0,0.06995724200804296,-0.1308426872172893,0.35429958049234656,False
C01586_Hippurate,-3.8568991935180184,-4.696648598844238,-2.789587142218124,6545.0,0.08173607717754264,0.09649857597587541,0.39824631617324,False
SDMA,-0.14066838236008103,-0.7147766799370756,-1.9071464832289724,6777.0,0.08370782441857912,0.13536605796615842,0.39824631617324,False
C01996_Acetylcholine,-2.4307031581185785,-2.7928320898586776,-1.202966272318983,6738.0,0.0869706471320878,0.12883230021779202,0.4015997529334642,False
C11118_1-Methyl-2-pyrrolidinone,-2.8730855415377867,-1.8006862062050064,3.5624334809804963,5263.0,0.09349602705092382,-0.11827776847043059,0.41939646419985827,False
C00383_Malonate,-1.2955230579647705,-1.9982416369608536,-2.3343805903664125,6689.0,0.10632521161569697,0.12062321996984426,0.45116373577471414,False
C01585_Hexanoate,0.8407376680063731,0.9853581348528726,0.48041879191311315,5212.0,0.10596880449350748,-0.1268219132182945,0.45116373577471414,False
C00077_Ornithine,2.6831077386589515,2.7711905853940864,0.29260488324710215,5228.0,0.11509506089018764,-0.12414139721896467,0.47552433051998577,False
C06524_Nornicotine,-1.1448582738434285,-1.627650704500661,-1.603801739399219,6678.5,0.11820627736283121,0.11886413134528406,0.47585603964011536,False
C00179_Agmatine,1.1609659350960007,1.2064277534083179,0.1510208914963513,6648.0,0.14878995829813121,0.11375439772156137,0.5770493911511253,False
C00105_UMP,0.48861084390863985,0.624567940108017,0.4516396975640147,5295.0,0.15069442698851043,-0.1129167364717708,0.5770493911511253,False
C03795_N6-Methyl-2'-deoxyadenosine,-2.6855018112831424,-3.306023579989159,-2.0613286969537143,6541.0,0.17425135797968339,0.09582844697604287,0.6271574879787133,False
"C00986_1,3-Diaminopropane",-2.344024626195285,-2.962399535258678,-2.054196983591102,6554.0,0.17576388198129544,0.09800636622549841,0.6271574879787133,False
C00642_p-Hydroxyphenylacetate,-1.9113500665247876,-1.1399450956502166,2.5625518452840046,5375.0,0.17394117479147464,-0.09951415647512141,0.6271574879787133,False
C02656_Pimelate,-0.762425769836665,-0.2580311556011723,1.6755626399387562,5396.0,0.21468880335278984,-0.095995979226001,0.6322485950847997,False
C02230_3-Methylguanine,-2.978029975120522,-3.699953736579279,-2.398178825556608,6489.5,0.20009574554206655,0.08720053610319978,0.6322485950847997,False
C00630_Isobutyryl CoA,-1.0828217127060475,-1.642653596200164,-1.859721262192814,6553.0,0.2028902828370447,0.09783883397554027,0.6322485950847997,False
C00423_trans-Cinnamate,-0.43391542604208605,-1.3295366131687947,-2.9751891838925846,6530.5,0.21746130022024956,0.09406935835148267,0.6322485950847997,False
C00954_Indole-3-acetate,-2.0291355006929512,-1.2986122035201406,2.426745864848109,5415.0,0.21558092306976606,-0.09281286647679676,0.6322485950847997,False
C02037_Gly-Gly,-3.511072727606949,-3.0033690157847572,1.6865552241807356,5430.5,0.18169206079683342,-0.090216116602446,0.6322485950847997,False
C02630_2-Hydroxyglutarate,1.4645101303041417,1.4199420481193998,-0.14805196434474285,6571.0,0.1999508704622749,0.10085441447478649,0.6322485950847997,False
C01234_1-Aminocyclopropane-1-carboxylate,-4.019924661045067,-4.452407521232601,-1.4366769638142118,6420.0,0.20963066376539918,0.07555704473111069,0.6322485950847997,False
C07044_Hydroxyurea,-3.737973790192089,-4.1523331033524435,-1.376471843765613,6423.0,0.21237202859849547,0.0760596414809851,0.6322485950847997,False
N-Acetylvaline,-1.9662027862319762,-2.7352980913978184,-2.554879301876381,6523.0,0.20755119795698374,0.09281286647679687,0.6322485950847997,False
C00750_Spermine,-5.150222914860833,-4.758210868722929,1.3022358295997827,5620.5,0.23234102086455743,-0.058384989110403795,0.6511164357172182,False
C05341_beta-Ala-Lys,-1.8091995078954692,-1.6108268020594902,0.6589798647753649,5435.0,0.23608922089329787,-0.0894622214776345,0.6511164357172182,False
C00024_Acetyl CoA,-1.2669759614548006,-1.8404568570557207,-1.9050622989778627,6505.5,0.2363925913113467,0.08988105210252972,0.6511164357172182,False
C08277_Sebacate,-1.6120741934421756,-0.9996894233579517,2.034298172623921,5436.0,0.24520952580605515,-0.08929468922767636,0.6637568198543218,False
C06104_Adipate,-0.7852595175638598,-0.2709955564688025,1.708347900549732,5442.5,0.2514670328869505,-0.08820572960294859,0.669158036665275,False
C00315_Spermidine,2.250284424356635,2.2395767085764597,-0.03557026188223259,5438.0,0.25896385845483416,-0.08895962472776009,0.6776220962901494,False
C00588_Phosphorylcholine,-1.2139503295163294,-0.970483926155656,0.8087778854849997,5548.0,0.35785624291900364,-0.07053107723236718,0.7030045153782054,False
C04677_AICAR,-4.5693515185397535,-4.108496606931043,1.5309268785398078,5654.0,0.3535320138642062,-0.05277265873680681,0.7030045153782054,False
C01004_Trigonelline,-0.7197917928560116,-1.2787105070998168,-1.856687779604818,6444.5,0.30498855151637627,0.07966158485508457,0.7030045153782054,False
C01736_Purine riboside,-2.905257534877431,-3.3854409717204654,-1.5951348495484474,6345.5,0.3699833446694061,0.06307589210923092,0.7030045153782054,False
C02256_Castanospermine,-3.6638885842266893,-4.085212632293844,-1.3996081923259556,6318.0,0.36661143284526376,0.05846875523538286,0.7030045153782054,False
C01104_Trimethylamine N-oxide,-3.221972336801394,-2.8600096055412605,1.2024141662752015,5578.0,0.34891099477408427,-0.06550510973362367,0.7030045153782054,False
C02835_Imidazole-4-acetate,-0.7121369106166847,-1.346082874705698,-2.1059229087477482,6414.0,0.33608728766186746,0.0745518512313621,0.7030045153782054,False
C03761_3-Hydroxy-3-methylglutarate,-1.967257738842489,-1.120470473666127,2.8129664065821918,5523.0,0.32314215523916334,-0.07471938348132012,0.7030045153782054,False
C02378_6-Aminohexanoate,-2.6300495949317977,-1.9011032173531568,2.4215074513448585,5544.0,0.3364985111578682,-0.07120120623219972,0.7030045153782054,False
C01921_Glycocholate,0.21564088871888576,0.6588029565450543,1.472152523700128,5515.0,0.33079282857268766,-0.0760596414809851,0.7030045153782054,False
C00491_Cystine,-3.4173103992993132,-3.0701308799164666,1.1533053994073696,5584.0,0.34517463805493775,-0.06449991623387508,0.7030045153782054,False
C00449_Saccharopine,-0.022474125436848562,-0.1774338179038203,-0.5147649559811389,6439.5,0.3147681010647302,0.07882392360529411,0.7030045153782054,False
C00242_Guanine,-1.0405454812547625,-1.0405705713824245,-8.334759998451558e-05,6434.0,0.3144417312396679,0.07790249623052437,0.7030045153782054,False
C00314_Pyridoxine,-2.4293480599966446,-3.014174611195746,-1.9427517510643777,6367.0,0.36043470082601414,0.06667783548333062,0.7030045153782054,False
C00440_5-Methyltetrahydrofolate,-2.7902219667743737,-3.260473882959592,-1.562143052050293,6408.0,0.2898382338961215,0.07354665773161329,0.7030045153782054,False
C00134_Putrescine,2.9855576477145784,2.8107493571215145,-0.5807005717403332,6397.0,0.3629959123082752,0.07170380298207402,0.7030045153782054,False
C00127_Glutathione(ox),-4.578597301865149,-4.170386323558404,1.3560475174786328,5626.0,0.316139129534706,-0.05746356173563416,0.7030045153782054,False
C00043_UDP-N-acetylglucosamine,0.2873802050672103,0.5760502222819496,0.9589410403372609,5554.0,0.3761298044061736,-0.06952588373261848,0.7030045153782054,False
C00055_CMP,-1.5303119092801287,-1.1622156262085732,1.2227893843590116,5501.0,0.3051482457431183,-0.07840509298039877,0.7030045153782054,False
Ophthalmate,-2.9406022376465955,-3.262083780675154,-1.067938569774309,6367.0,0.3403394301615521,0.06667783548333062,0.7030045153782054,False
C06103_6-Hydroxyhexanoate,-4.045010991809283,-3.5303320786481507,1.7097263414760588,5620.0,0.3317846520395863,-0.05846875523538286,0.7030045153782054,False
C00380_Cytosine,-3.243882099023551,-3.7443961813606244,-1.6626717920022909,6390.5,0.29957600753083213,0.07061484335734636,0.7030045153782054,False
C02735_Phenylethanolamine,-3.5192449405201756,-2.821220403032583,2.31878732200079,5562.5,0.3135127439722569,-0.06810185960797455,0.7030045153782054,False
C00262_Hypoxanthine,-1.0304585591942155,-0.9340929236134186,0.3201197122175265,5556.0,0.37270375355626617,-0.06919081923270232,0.7030045153782054,False
C01035_gamma-Guanidinobutyrate,-0.26028266869586847,-0.3027902446920439,-0.14120711094725485,6375.0,0.3859223381794259,0.06801809348299548,0.7128212599314102,False
C01089_3-Hydroxybutyrate,-2.5106727149938717,-1.9330298124944163,1.918888186625222,5606.0,0.39277342549664995,-0.06081420673479643,0.7170398581741168,False
C04137_Octopine,-2.2374756663260187,-1.8385314697253108,1.325263934980159,5608.0,0.4152297623797613,-0.06047914223488027,0.7373032161973181,False
C00003_NAD+,1.2961070637280054,1.0031359950764878,-0.9732288239426508,6345.5,0.42265789463540526,0.06307589210923092,0.7373032161973181,False
C00398_Tryptamine,-2.780220290212531,-3.1417074141058072,-1.2008342328011037,6306.0,0.4209820528580105,0.05645836823588546,0.7373032161973181,False
C02614_Citramalate,0.699156396382069,0.7932188828892349,0.3124688166031181,6356.0,0.4101873024258377,0.06483498073379135,0.7373032161973181,False
C02693_Indole-3-acetamide,-2.4476605340407716,-1.8283924303228132,2.057164112008307,5633.0,0.438133641007163,-0.05629083598592732,0.749497364156372,False
C02712_N-Acetylmethionine,-4.533642446002548,-4.819238703764831,-0.9487302324552195,6211.0,0.44396977622001654,0.04054280448986436,0.749497364156372,False
C02721_N-Methylalanine,-0.20483550787130603,-1.0285525066489898,-2.736328640475887,6329.0,0.4411196102407442,0.06031160998492213,0.749497364156372,False
C00214_Thymidine,-0.7904559050881934,-0.03385198242186394,2.513383827407265,5627.0,0.45851040632610585,-0.057296029485676025,0.7546577039328863,False
2-Hydroxypentanoate,-1.2064042237685388,-0.5378224365000204,2.2209806228572972,5633.5,0.4614467489016375,-0.056207069860948256,0.7546577039328863,False
C00366_Urate,-1.1848400283663147,-0.9855018640448943,0.6621870484426003,5636.5,0.45964686701180335,-0.05570447311107385,0.7546577039328863,False
C09815_Benzamide,-3.723060385049726,-4.07036459930606,-1.153719626810897,6228.0,0.47442676554959784,0.04339085273915222,0.7600510427682333,False
C00250_Pyridoxal,-3.4173480695315606,-3.2376465361182296,0.5969555725400841,5676.0,0.4726832931192714,-0.04908694923772827,0.7600510427682333,False
C00255_Riboflavin,-1.6754539265750261,-1.9635513122182537,-0.9570387994318368,6284.0,0.4816559730847385,0.05277265873680692,0.7638382603465046,False
C00493_Shikimate,-2.517394368793837,-2.2274274256123934,0.9632493351430456,5678.5,0.4964644192653409,-0.048668118612832934,0.7794491382465852,False
C11527_4-Hydroxymandelate,-3.062038478329138,-2.657797266189583,1.3428602397177103,5702.5,0.5121951882946248,-0.044647344613838125,0.7961845996262981,False
C00253_Nicotinate,-2.8917011888160786,-2.5112694158098283,1.2637669949372745,5718.0,0.5466728201529198,-0.04205059473948736,0.8038116249759958,False
C01672_Cadaverine,2.9119587499624164,3.028464120776575,0.38702246451282346,5672.0,0.528093561301538,-0.049757078237560703,0.8038116249759958,False
C02567_N1-Acetylspermine_div,-3.0731675548129025,-2.8851468836930945,0.6245911498124671,5709.0,0.543864968795911,-0.043558384989110355,0.8038116249759958,False
C05984_2-Hydroxybutyrate,-3.4669689008279234,-3.180136395419655,0.9528369582426586,5736.5,0.5478206616078443,-0.03895124811526218,0.8038116249759958,False
C00417_cis-Aconitate,-3.1620366612738033,-3.5223287687442015,-1.1968644741720926,6221.0,0.5240948757881905,0.04221812698944549,0.8038116249759958,False
C00719_Betaine,0.34533178601278874,0.39705814789892246,0.17183125479585845,5678.0,0.5347473023819609,-0.048751884737812,0.8038116249759958,False
C02679_Dodecanoate,0.01090560842063206,0.320967127131441,1.0300020701488797,5693.0,0.5546530214585825,-0.0462389009884403,0.8063011515647913,False
C00647_Pyridoxamine 5'-phosphate,-1.602467239069714,-2.3804611193792584,-2.584439728650712,6221.5,0.5757169346648796,0.04230189311442456,0.8072022360780111,False
"C06057_3-Aminopropane-1,2-diol",-1.2427688288877998,-1.3493190745591044,-0.35395225461265717,6221.5,0.584053339845847,0.04230189311442456,0.8072022360780111,False
C05660_5-Methoxyindoleacetate,-1.5912158543170276,-1.112340317903275,1.590790098367101,5723.0,0.5861213688719316,-0.04121293348969679,0.8072022360780111,False
C05598_Phenaceturate,-3.6751191000042374,-3.8356561381722347,-0.5332924973602752,6179.0,0.5757438274750559,0.035181772491204466,0.8072022360780111,False
C01744_3-(4-Hydroxyphenyl)propionate,-0.794853544958458,-0.26690982597297563,1.7537910726171921,5719.5,0.5832151310440306,-0.041799296364550154,0.8072022360780111,False
C00364_dTMP,-0.9771989947725934,-0.8352870749402453,0.4714211934904801,5704.0,0.5658620822613671,-0.04439604623890103,0.8072022360780111,False
"C02953_7,8-Dihydrobiopterin",-4.3154517461986615,-4.45923563614329,-0.47763974359925293,6140.0,0.6177676696597032,0.028648014742838068,0.8200664848146008,False
C00670_Glycerophosphorylcholine,-2.6267770388933247,-2.1154539152364915,1.698578650041199,5773.5,0.650723998917854,-0.032752554866811834,0.8200664848146008,False
C01008_Trimethylsulfonium,-3.3069018743725827,-3.0444526003776393,0.8718376167665934,5766.0,0.6165083047857405,-0.03400904674149774,0.8200664848146008,False
