Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Lachnospira sp900316325,0.223248213488451,-0.29247298087295326,-1.7131887246780149,7898.0,4.067211382993771e-05,0.3231697101692075,0.010262004567989645,True
Lachnospira eligens,0.4255400222718961,-0.16677626178855803,-1.9676321050797059,7897.0,4.104801827195858e-05,0.32300217791924934,0.010262004567989645,True
Faecalibacterium prausnitzii_I,0.5789698611123819,0.16702940824582488,-1.368436563798039,7679.0,0.00027516788453156625,0.28648014742838,0.045861314088594375,True
Lachnospira rogosae_A,1.1583738745924268,0.40432584393094934,-2.504893337948849,7533.0,0.0008780222263631467,0.2620204389344949,0.05426005118018191,False
Lachnospira sp003537285,0.37466735913634003,-0.15628118617922288,-1.7637728896233442,7532.0,0.0008847506224182472,0.26185290668453676,0.05426005118018191,False
Haemophilus_D sp900756875,-0.31960763867514097,-0.7861816010373767,-1.5499251539140295,7548.0,0.000782624455359916,0.2645334226838667,0.05426005118018191,False
Lachnospira sp003451515,0.5208366498868287,-0.08087956647642551,-1.9988580042864166,7562.0,0.0007023545248961492,0.2668788741832804,0.05426005118018191,False
Ruthenibacterium lactatiformans,0.5079973899618957,1.0254112425963398,1.7188116137502691,4419.0,0.0009766809212432743,-0.2596749874350812,0.05426005118018191,False
Roseburia sp003470905,0.24121542182180164,-0.04715320655784327,-0.9579398482984754,7521.0,0.0009619845647182531,0.2600100519349975,0.05426005118018191,False
Lachnospira sp000436535,-0.2795804448957586,-0.6106778211146293,-1.0998816762049572,7468.0,0.0014294520353011018,0.2511308426872172,0.06456675547116646,False
Odoribacter splanchnicus,0.9437074864528429,1.5083700319568243,1.8757683740402895,4471.0,0.0014400089735202295,-0.25096331043725917,0.06456675547116646,False
Lachnospira eligens_A,1.1333929497097144,0.4601210510952383,-2.2365608355055837,7457.0,0.001549602131307995,0.24928798793767792,0.06456675547116646,False
Faecalibacterium prausnitzii_E,0.6805876966487598,0.3609289916839472,-1.0618832327979215,7388.0,0.002541080266713299,0.2377282626905679,0.07940875833479058,False
Lachnospira sp000436475,0.09693544397287475,-0.172253441577156,-0.8942261217400658,7401.0,0.0023185481547834236,0.23990618194002344,0.07940875833479058,False
Faecalibacterium prausnitzii_F,0.35162694334699995,0.05122554127774983,-0.9979118572773966,7391.0,0.0024880590800726472,0.2382308594404423,0.07940875833479058,False
Faecalibacterium prausnitzii_H,0.4093367877838283,0.1137696159510374,-0.9818528920377487,7414.0,0.0021139976612751213,0.24208410118947898,0.07940875833479058,False
Odoribacter laneus,-0.37851539105017995,0.19232436611996173,1.8962886270221733,4576.0,0.0030457621560759547,-0.23337242419165694,0.0895812398845869,False
Streptococcus parasanguinis,-0.28811339242930967,-0.6550215078155985,-1.218842376743887,7352.0,0.0032630813883539086,0.2316971016920757,0.09064114967649747,False
Lawsonibacter sp900066825,0.9926281398941582,1.461697249231072,1.558213852750086,4597.0,0.0035183768025994966,-0.22985424694253642,0.09258886322630254,False
