Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Faecalibacterium prausnitzii_I,0.5789698611123819,0.18918976505430934,-1.294821451923206,10215.0,0.0001427531253742078,0.2767154105736782,0.0713765626871039,False
Alistipes senegalensis,-0.32152273183133157,-0.06026364549133783,0.8678838989574282,5982.0,0.0005237820057349278,-0.25234345706786654,0.0872970009558213,False
Odoribacter splanchnicus,0.9437074864528429,1.520424644126816,1.9158129288807564,5933.0,0.000381611996465594,-0.25846769153855764,0.0872970009558213,False
Lachnospira rogosae_A,1.1583738745924268,0.4484898182386055,-2.358183790914363,9952.0,0.0008038990892396071,0.24384451943507068,0.10048738615495088,False
Lachnospira sp000436475,0.09693544397287475,-0.2584028526840236,-1.1804082708539705,9915.0,0.0010094719140530365,0.23922009748781403,0.10094719140530364,False
Haemophilus_D sp900756875,-0.31960763867514097,-0.720382748729986,-1.3313460978227643,9858.0,0.0014230569505319856,0.2320959880014999,0.11413343952512947,False
Alistipes shahii,0.6806379839999774,1.2074810143292298,1.7501346640463382,6225.0,0.0022826687905025895,-0.2219722534683165,0.11413343952512947,False
Faecalibacterium prausnitzii_F,0.35162694334699995,0.08969221371999052,-0.8701283373746878,9793.0,0.002082223540779551,0.22397200349956248,0.11413343952512947,False
Clostridium_A leptum,-0.0007867021097745583,0.5042018264921724,1.6775355807586378,6199.0,0.0019652817671608346,-0.22522184726909134,0.11413343952512947,False
Lachnospira sp000436535,-0.2795804448957586,-0.5796680043161674,-0.9968692945648366,9809.0,0.0018980424885583224,0.22597175353080856,0.11413343952512947,False
KLE1615 sp900066985,0.4621462604207727,0.11279217936526764,-1.1605291369218391,9757.0,0.0025580416991685946,0.2194725659292589,0.11627462268948158,False
Alistipes dispar,-0.5385219478913263,-0.19396557715558485,1.1445914882194854,6288.0,0.0032556851157068867,-0.2140982377202849,0.13565354648778694,False
Parabacteroides distasonis_A,0.8656691449757435,1.2354458649844506,1.228371675032222,6358.0,0.004769134173243971,-0.20534933133358335,0.18342823743246042,False
Faecalibacterium prausnitzii_H,0.4093367877838283,0.1728193203481966,-0.7856940200060317,9592.0,0.006278351038272413,0.19885014373203358,0.20137642815075654,False
Alistipes putredinis,1.2236477726487467,1.8250570077696753,1.997838234672932,6415.0,0.006444045700824209,-0.1982252218472691,0.20137642815075654,False
Alistipes_A ihumii,-0.7859815740259594,-0.5254735211963525,0.8653890196390722,6414.0,0.006410595404505781,-0.19835020622422195,0.20137642815075654,False
Bacteroides caccae,0.9840673244968906,1.5842462298847484,1.9937511677666688,6451.0,0.007757868377921117,-0.1937257842769654,0.21549634383114216,False
Alistipes onderdonkii,0.6497843638897539,1.2667856532366055,2.0496339176630327,6446.0,0.007562083872704395,-0.19435070616172978,0.21549634383114216,False
Parabacteroides goldsteinii,-0.24430637351290094,0.1899575308803123,1.4425934645992946,6465.0,0.008330451107552383,-0.19197600299962503,0.21922239756716796,False
Lachnospira sp900316325,0.223248213488451,-0.13595581867023,-1.193249966224746,9488.0,0.01064381349504178,0.18585176852893381,0.22422775050862787,False
Haemophilus_D sp001815355,-0.393506701987967,-0.7174836579863105,-1.076228152226984,9388.0,0.017202297815257537,0.1733533308336459,0.22422775050862787,False
Haemophilus_D sp905214375,-0.41478442884629785,-0.7156437383440868,-0.9994329928291172,9387.0,0.01728273767354202,0.17322834645669283,0.22422775050862787,False
Faecalibacterium sp900539885,0.5935690995190098,0.290815744251308,-1.0057248766851934,9393.0,0.016805005518789416,0.17397825271841016,0.22422775050862787,False
