Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
C00568_p-Aminobenzoate,-3.9168997778782417,-1.154561404007766,9.176289451745804,1108.0,3.635525418558177e-05,-0.41837270341207344,0.002853887453568169,True
SDMA,-0.14066838236008103,-2.7228207251276495,-8.577724412718807,2851.0,2.0222326176061957e-05,0.4965879265091864,0.002853887453568169,True
C00134_Putrescine,2.9855576477145784,2.3944072403766254,-1.9637591464400543,2726.0,0.00024893995887305875,0.43097112860892395,0.013027857847690075,True
C00093_Glycerophosphate,-1.5567712282394754,-4.132356910320648,-8.555910438095076,2605.5,0.0007382218571652332,0.3677165354330709,0.016755943051151752,True
C02678_Dodecanedioate,0.10078118433804054,1.22759605675437,3.743197982416723,1137.5,0.0005893287187561394,-0.40288713910761154,0.016755943051151752,True
Ophthalmate,-2.9406022376465955,-5.309852407218796,-7.87047870211854,2549.0,0.0007964777443427122,0.3380577427821523,0.016755943051151752,True
C08277_Sebacate,-1.6120741934421756,0.2692194864641022,6.249522330014696,1159.5,0.0006631497909732249,-0.39133858267716537,0.016755943051151752,True
C00024_Acetyl CoA,-1.2669759614548006,-3.511311533998926,-7.455521392789444,2620.0,0.0008538060153453122,0.37532808398950124,0.016755943051151752,True
C03592_5-Methyl-2'-deoxycytidine,-3.3535862385761632,-1.0491723803055029,7.65509713803709,1248.5,0.0012521894376056946,-0.3446194225721785,0.020495233858831393,True
C00270_N-Acetylneuraminate,-1.8642170033116254,-4.182875985991673,-7.7024184170278,2561.0,0.001419103055881707,0.3443569553805774,0.020495233858831393,True
C01073_N-Acetyl-beta-alanine,-3.292110752088208,-5.501024007595771,-7.337851002639681,2475.0,0.0015665146898469853,0.29921259842519676,0.020495233858831393,True
C04501_N-Acetylglucosamine 1-phosphate,0.4818313016678078,-0.41082815928736316,-2.965350542513991,2616.0,0.0014558895808343998,0.373228346456693,0.020495233858831393,True
C00719_Betaine,0.34533178601278874,-1.3516726299981223,-5.637326646694566,2591.0,0.0020525533199280163,0.3601049868766404,0.024788528556053735,True
C00179_Agmatine,1.1609659350960007,0.5620963589279037,-1.9894016702460884,2553.0,0.0038376050894022005,0.34015748031496074,0.04303599993115325,True
C00423_trans-Cinnamate,-0.43391542604208605,2.3235491355381432,9.160098997769627,1295.5,0.005889218752488062,-0.3199475065616798,0.05778795900878911,False
