Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Ruminococcus_E sp003438075,-0.6395896529668932,-0.338323610706925,1.0007841298189115,1305.0,0.007436611056695517,-0.31496062992125984,0.23999823265092796,False
Haemophilus_D sp900756875,-0.31960763867514097,-0.9608535186804268,-2.130172704520329,2633.0,0.0011616866628100196,0.3821522309711287,0.23999823265092796,False
Acutalibacter stercoravium,-0.75634016363733,-0.4033860944512261,1.1724880386341365,1301.0,0.007049606139438167,-0.3170603674540683,0.23999823265092796,False
Haemophilus_D parainfluenzae_A,-0.4944611061408409,-0.9721815664844858,-1.5869530187180783,2498.0,0.008159939910131551,0.31128608923884515,0.23999823265092796,False
Faecalibacterium prausnitzii_I,0.5789698611123819,0.09170372757891894,-1.6186630586719477,2518.0,0.006244193644777452,0.3217847769028872,0.23999823265092796,False
Clostridium_A leptum,-0.0007867021097745583,0.7717378892482235,2.5662711440235126,1303.0,0.007240788546676094,-0.31601049868766407,0.23999823265092796,False
Ventrisoma faecale,-0.7362939748867489,-0.14325048528153866,1.970047829609589,1309.0,0.007842564459312196,-0.3128608923884515,0.23999823265092796,False
Alistipes senegalensis,-0.32152273183133157,0.09704735742463479,1.3904597391789053,1220.0,0.0022420759874870926,-0.3595800524934383,0.23999823265092796,False
Haemophilus_D sp001815355,-0.393506701987967,-0.9456741020198758,-1.8342603992469066,2553.0,0.003840891141829044,0.34015748031496074,0.23999823265092796,False
Haemophilus_D sp905214375,-0.41478442884629785,-0.9641500076726627,-1.8249529506673592,2568.0,0.0030972899209630927,0.3480314960629922,0.23999823265092796,False
Haemophilus_D parainfluenzae_L,-0.4583777308440008,-0.9639199284177183,-1.67937482927123,2539.0,0.004677619113085384,0.33280839895013115,0.23999823265092796,False
Haemophilus_D sp900764435,-0.4678340726409386,-0.9655755032341844,-1.653461242277131,2518.0,0.006244193644777452,0.3217847769028872,0.23999823265092796,False
Clostridium_AP sp000509125,-0.8188402982340091,-0.37309717866811565,1.480726591988678,1250.0,0.0034757348497206197,-0.3438320209973753,0.23999823265092796,False
Haemophilus_D parainfluenzae,-0.14800338561077891,-0.866303124155367,-2.386140082021514,2609.0,0.0016838967483050213,0.3695538057742782,0.23999823265092796,False
Haemophilus_D sp905207935,-0.3721511789229708,-0.9330267696965452,-1.8631883827272837,2550.0,0.00400779465999196,0.3385826771653544,0.23999823265092796,False
Pelethousia gallinarum,-1.0075139382668448,-0.3353063704002215,2.233025205292039,1265.0,0.004300652469923517,-0.3359580052493438,0.23999823265092796,False
Alistipes putredinis,1.2236477726487467,2.227303359184418,3.3340716905035,1289.0,0.00599473735259401,-0.32335958005249343,0.23999823265092796,False
Fimenecus sp000432435,0.20204993446656197,1.0380258606368005,2.7770519157943987,1328.0,0.010054687405726357,-0.30288713910761156,0.25462957686907806,False
Alistipes communis,-8.062800651873865e-05,0.63352234646596,2.104783521904327,1329.0,0.010185183074763123,-0.30236220472440944,0.25462957686907806,False
Lawsonibacter sp000177015,-0.7417303445039244,-0.36170239377335195,1.262425526374359,1322.0,0.009302522475759755,-0.30603674540682413,0.25462957686907806,False
Scatomorpha intestinigallinarum,-0.9301419214328311,-0.3246694101283104,2.0113361459844934,1334.0,0.010860542510379684,-0.299737532808399,0.25858434548523057,False
Alistipes dispar,-0.5385219478913263,0.22759238750765412,2.544976734657833,1359.0,0.014869792520838797,-0.2866141732283465,0.3085876625605464,False
Pseudoruminococcus_A massiliensis,-0.7303097454343971,-0.3361794326658096,1.3092725590327141,1361.0,0.01524082716583746,-0.28556430446194225,0.3085876625605464,False
Parabacteroides goldsteinii,-0.24430637351290094,0.35983798207552226,2.0069241081968037,1362.0,0.015429383128027323,-0.28503937007874014,0.3085876625605464,False
Bacteroides zhangwenhongi,0.06218979532288639,0.4345764141620309,1.2370415712818656,1355.0,0.014151526373262523,-0.2887139107611548,0.3085876625605464,False
CAG-196 sp002102975,-0.26093409172388865,0.13440301729145915,1.3132814493896316,1372.0,0.017430784969157027,-0.2797900262467191,0.3227923142436486,False
