Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
C00191_Glucuronate,-2.7712365974696844,-0.4055017997322501,7.858800889656654,1156.0,0.0031625296695547297,-0.3257509477981919,0.0945252274567687,False
C00270_N-Acetylneuraminate,-1.8642170033116254,0.6770747653025706,8.441988523465492,1148.0,0.004993210647436874,-0.3304170312044328,0.0945252274567687,False
C00122_Fumarate,-4.178375436142039,-2.0360034350280847,7.116805740200504,1217.0,0.00260813379715262,-0.2901720618256052,0.0945252274567687,False
"C00628_2,5-Dihydroxybenzoate",-2.641115677452167,-5.1233836571230835,-8.24591574070811,2271.0,0.0021668958982035244,0.3245844269466316,0.0945252274567687,False
C00630_Isobutyryl CoA,-1.0828217127060475,-3.585712535190513,-8.314423341646883,2341.0,0.0021301423877161394,0.36541265675123946,0.0945252274567687,False
C00491_Cystine,-3.4173103992993132,-1.3091138333949475,7.003277401822769,1179.0,0.004158338348988881,-0.3123359580052494,0.0945252274567687,False
C05122_Taurocholate,-0.30811068470152114,1.222257113880808,5.083771785621563,1128.5,0.004804120224610754,-0.3417906095071449,0.0945252274567687,False
"C04259_N-alpha,N-alpha-Dimethylhistidine",-2.728704557437082,-4.740011698168036,-6.681417698241727,2269.0,0.0031288394975102964,0.3234179060950715,0.0945252274567687,False
C02567_N1-Acetylspermine,-4.779050430810364,-3.1090245622286377,5.547705852030306,1294.0,0.005418643612171454,-0.2452610090405366,0.0945252274567687,False
C01921_Glycocholate,0.21564088871888576,1.2260105625840336,3.3563754058348163,1160.0,0.007913191612695492,-0.3234179060950715,0.12423710831931922,False
C00719_Betaine,0.34533178601278874,1.5655095684137745,4.053342856115194,1174.0,0.010064443812435847,-0.31525226013414986,0.14364706168658437,False
C02614_Citramalate,0.699156396382069,-1.3718005180254258,-6.8795699572714994,2243.5,0.011717112775363081,0.3085447652376787,0.15329889214433365,False
C00366_Urate,-1.1848400283663147,0.7007919899514048,6.263933978268794,1216.5,0.01414330806513902,-0.2904636920384952,0.17080764355590972,False
C02256_Castanospermine,-3.6638885842266893,-5.252337119317691,-5.276711816001471,2125.0,0.01608558444681181,0.23942840478273553,0.17604407848937245,False
C06423_Octanoate,-3.6624448746916114,-5.431526444937014,-5.876761770345654,2092.0,0.016819497944844504,0.2201808107319918,0.17604407848937245,False
C01046_N-Methylglutamate,-0.6368918926568313,-1.804423163424544,-3.8784549300228086,2203.0,0.01886168372420624,0.28492271799358404,0.18508027154377374,False
C02678_Dodecanedioate,0.10078118433804054,-0.7213256248739051,-2.7309797065193666,2187.0,0.024068622716333213,0.2755905511811023,0.22228080979201847,False
C00003_NAD+,1.2961070637280054,0.5485184880088054,-2.4834354930984386,2169.0,0.030629410374303993,0.26509186351706027,0.23555517923361344,False
C01736_Purine riboside,-2.905257534877431,-4.460449897253279,-5.166237201530578,2122.5,0.029043149202230348,0.23797025371828529,0.23555517923361344,False
C01425_Glu-Glu,-2.125287940270581,-0.5613642953435517,5.195241894341747,1267.5,0.02708035574739306,-0.26071741032370954,0.23555517923361344,False
C02037_Gly-Gly,-3.511072727606949,-1.8219237447937284,5.611231462457647,1322.0,0.031507380661820905,-0.22892971711869348,0.23555517923361344,False
C00647_Pyridoxamine 5'-phosphate,-1.602467239069714,-3.3529838860112857,-5.815090430043229,2137.5,0.036478989730124256,0.24671916010498696,0.26032733580134126,False
C00357_N-Acetylglucosamine 6-phosphate,-0.7033312873649719,0.2858237313157947,3.285901846754472,1300.0,0.045756500844721104,-0.24176144648585596,0.2684087826953782,False
C01672_Cadaverine,2.9119587499624164,3.402865689757126,1.6307575552792242,1297.0,0.04754373223132578,-0.24351122776319623,0.2684087826953782,False
