Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Faecalibacterium prausnitzii_F,0.35162694334699995,-0.05112245692271649,-1.337904547955007,2301.0,0.00536194101415268,0.34208223972003493,0.3351213133845425,False
Bacteroides caccae,0.9840673244968906,2.028366898602044,3.4690880946988156,1114.0,0.004358641056159069,-0.35024788568095655,0.3351213133845425,False
Faecalibacterium prausnitzii_I,0.5789698611123819,0.06521225981886986,-1.7066658096988576,2336.0,0.003170018816888866,0.362496354622339,0.3351213133845425,False
Allisonella histaminiformans,-0.7188334340902138,-0.08569060511129108,2.1032549516615475,1120.0,0.004765707511421472,-0.3467483231262759,0.3351213133845425,False
Parabacteroides goldsteinii,-0.24430637351290094,0.43560854045133346,2.258628454830714,1041.0,0.0013846332529652565,-0.3928258967629047,0.3351213133845425,False
Ruminococcus_C sp000980705,-0.20369810306830416,-0.7668407517741371,-1.8707193861651907,2363.0,0.002076653062106999,0.37824438611840194,0.3351213133845425,False
Roseburia sp003470905,0.24121542182180164,-0.2813254560328082,-1.7358432228723337,2396.0,0.0012128185218396184,0.39749198016914544,0.3351213133845425,False
Ventrimonas sp003480315,0.19025526121005829,-0.2637065921207257,-1.5080286345866674,2310.0,0.00469555919828861,0.34733158355205607,0.3351213133845425,False
Roseburia sp003483745,-0.42829177395915197,-0.7633530684159232,-1.1130495275652756,2285.0,0.006760456741128101,0.3327500729075532,0.37558093006267235,False
Clostridium_AP sp000509125,-0.8188402982340091,-0.4521423316163378,1.2181442776453102,1207.0,0.015993334334330728,-0.29600466608340625,0.38264295629739836,False
Lachnospira eligens_A,1.1333929497097144,0.45470429283602665,-2.254554916950072,2226.0,0.01517924274580434,0.2983377077865266,0.38264295629739836,False
Alistipes_A ihumii,-0.7859815740259594,-0.44215408749877566,1.1421701872891576,1183.0,0.011632322358904879,-0.31000291630212895,0.38264295629739836,False
Prevotella sp900543975,-0.9034406078278525,-0.6643962066376891,0.79408831223913,1244.0,0.02553193856510311,-0.2744240303295421,0.38264295629739836,False
ER4 sp000765235,0.6525366323954156,-0.04834717346199548,-2.3282856059293136,2165.0,0.032498429488451636,0.26275882181393984,0.38264295629739836,False
Faecalibacterium prausnitzii_H,0.4093367877838283,0.06963963709296823,-1.128449508633154,2210.0,0.018670351929988456,0.28900554097404485,0.38264295629739836,False
Phocaeicola plebeius_A,1.4632267110912875,2.8774997792897605,4.698113439091058,1204.0,0.015379268584272281,-0.2977544473607465,0.38264295629739836,False
Faecalibacterium prausnitzii_J,0.6875454609001855,0.2779419511611958,-1.3606734067664192,2227.0,0.014981511393129055,0.29892096821230685,0.38264295629739836,False
Prevotella sp002251385,-0.7289451164287848,-0.4343483413584901,0.9786293037692247,1260.0,0.03098758057652436,-0.2650918635170604,0.38264295629739836,False
Haemophilus_D sp900756875,-0.31960763867514097,-0.8334390775326028,-1.7069110927770004,2174.0,0.029184140307439172,0.26800816564596097,0.38264295629739836,False
Butyricimonas faecihominis,-0.39080148528582703,0.06331216677343576,1.5085328990475693,1227.0,0.02066578212604589,-0.284339457567804,0.38264295629739836,False
Faecalibacterium sp905215595,0.6347307948492316,0.2125137726987207,-1.4025745880214615,2175.0,0.028834498945115573,0.268591426071741,0.38264295629739836,False
Faecalimonas phoceensis,0.38877813776033193,1.036110797261918,2.150392548336473,1171.0,0.009876436424445037,-0.31700204141149024,0.38264295629739836,False
Faecalibacterium prausnitzii_A,0.6664238043690757,0.2500391020318328,-1.3832000409753984,2184.0,0.025846768989888753,0.27384076990376194,0.38264295629739836,False
Lachnospira sp003451515,0.5208366498868287,-0.046648094094293754,-1.8851435144508524,2227.0,0.014981511393129055,0.29892096821230685,0.38264295629739836,False
Bilophila wadsworthia,0.744315300463678,1.3989459146590608,2.174635829069012,1245.0,0.025846768989888753,-0.27384076990376205,0.38264295629739836,False
Faecalibacterium prausnitzii_E,0.6805876966487598,0.26522161974430564,-1.379816240532051,2217.0,0.01706475520645652,0.29308836395450566,0.38264295629739836,False
Blautia_A caecimuris,-0.06649657139681131,0.5357918541658899,2.000758842102213,1266.0,0.03327722826329543,-0.26159230096237973,0.38264295629739836,False
Faecalibacterium sp900765705,1.2741620281950001,0.8566648740918846,-1.3868955257506579,2234.0,0.01365981618669496,0.30300379119276766,0.38264295629739836,False
Lawsonibacter sp000177015,-0.7417303445039244,-0.5509811748960399,0.6336550255968659,1235.0,0.022844664934265648,-0.2796733741615631,0.38264295629739836,False
UBA4372 sp900543815,-0.9220363923079858,-0.4607362624705909,1.5324058614820302,1249.0,0.027139890054377877,-0.2715077282006416,0.38264295629739836,False
Roseburia intestinalis,1.096425977528484,0.27182842890968634,-2.739253763732031,2235.0,0.013479664619212673,0.3035870516185477,0.38264295629739836,False
Collinsella sp900544095,-0.5946193028369211,-0.4371248587492972,0.5231852186033447,1224.0,0.019896698976715296,-0.28608923884514437,0.38264295629739836,False
Anaerostipes hadrus,1.321856119257386,0.7125432565989044,-2.024093517041455,2171.0,0.030255037530268078,0.2662583843686206,0.38264295629739836,False
Ruminococcus_C sp000433635,-0.5266123578206471,-1.1218941661364523,-1.9774833634196267,2202.0,0.02066578212604589,0.284339457567804,0.38264295629739836,False
