Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Lachnospira rogosae_A,1.1583738745924268,-0.007479876325986259,-3.872882329705689,4726.0,5.819206690600711e-05,0.37824438611840194,0.009698677817667851,True
Lachnospira sp900316325,0.223248213488451,-0.3496237315133349,-1.9030394088742006,4783.0,2.7075695520401266e-05,0.3948673082531351,0.009698677817667851,True
Lachnospira sp000436535,-0.2795804448957586,-0.795344582656413,-1.7133313795624734,4756.0,3.904745236833374e-05,0.3869932925051036,0.009698677817667851,True
Roseburia sp003470905,0.24121542182180164,-0.23879852909976934,-1.59457182950425,4696.0,8.601042480983845e-05,0.36949547973170027,0.010751303101229806,True
Agathobacter sp002474415,-0.2830872438442931,-0.710928562128266,-1.4212580953611758,4583.0,0.0003480547584526876,0.3365412656751239,0.02900456320439063,True
Roseburia intestinalis,1.096425977528484,0.21949358735915064,-2.9131063442202345,4591.0,0.0003164673488914773,0.3388743073782443,0.02900456320439063,True
Lachnospira eligens,0.4255400222718961,-0.18579596683132352,-2.0308141976177394,4568.0,0.0004153743521487349,0.33216681248177315,0.029669596582052492,True
Agathobacter faecis,1.3471447565443313,0.39908966133000195,-3.149370856293594,4515.0,0.0007632693361070534,0.3167104111986001,0.039030395402063316,True
Ruthenibacterium lactatiformans,0.5079973899618957,1.1617236132973874,2.1716315076627803,2345.0,0.0007806079080412663,-0.31612715077282005,0.039030395402063316,True
Roseburia sp003483745,-0.42829177395915197,-0.7718450235145042,-1.141259191787774,4531.0,0.0006369003552435406,0.32137649460484097,0.039030395402063316,True
Lachnospira sp000436475,0.09693544397287475,-0.2128208870373877,-1.0289882585522203,4503.0,0.0008729176148412774,0.31321084864391957,0.03967807340187625,True
Faecalibacterium prausnitzii_I,0.5789698611123819,0.11864230896086676,-1.5291750283428456,4493.0,0.0009752625972887381,0.31029454651501887,0.040635941553697416,True
Lachnospira sp003451515,0.5208366498868287,-0.16199531191799021,-2.268318678006482,4408.0,0.0024132637041222723,0.2855059784193643,0.08044212347074241,False
Butyribacter sp003524945,-0.5164414987751214,-0.8675414399357864,-1.166328758654913,4408.0,0.0024132637041222723,0.2855059784193643,0.08044212347074241,False
Lachnospira sp003537285,0.37466735913634003,-0.21488111869295642,-1.958437651799219,4411.0,0.00233989518184805,0.2863808690580345,0.08044212347074241,False
Dorea_A longicatena,0.42083025620266834,1.0456659562139041,2.075659266555936,2488.0,0.0035434096127894745,-0.2744240303295421,0.11073155039967107,False
Haemophilus_D sp900756875,-0.31960763867514097,-0.7303667692325038,-1.3645122960300096,4354.0,0.0041494159991618505,0.26975794692330135,0.12204164703417207,False
Odoribacter laneus,-0.37851539105017995,0.25822387007154446,2.1152020406380765,2511.0,0.00444297016553851,-0.26771653543307083,0.12341583793162529,False
Lachnospira eligens_A,1.1333929497097144,0.39384074363949667,-2.4567392509805845,4317.0,0.005925989481332068,0.25896762904636916,0.15079029855477338,False
Faecalibacterium prausnitzii_H,0.4093367877838283,0.11109017502588116,-0.9907538021256163,4314.0,0.006096478685430293,0.258092738407699,0.15079029855477338,False
Streptococcus parasanguinis,-0.28811339242930967,-0.6629086165110145,-1.2450427847066199,4305.0,0.006634773136410028,0.25546806649168863,0.15079029855477338,False
Choladocola sp003481535,-0.05451523078382222,-0.2988930607757554,-0.8118055792178103,4306.0,0.006572921436149682,0.25575969670457854,0.15079029855477338,False
Faecalibacterium prausnitzii_E,0.6805876966487598,0.2922144847056703,-1.2901478840553933,4294.0,0.007350497848721912,0.252260134149898,0.1597934314939546,False
Faecalibacterium prausnitzii_F,0.35162694334699995,0.03832938037047012,-1.0407519765114772,4282.0,0.008209617280000095,0.24876057159521725,0.1687595166451726,False
Lawsonibacter sp900066825,0.9926281398941582,1.5209442037314458,1.7550279754413907,2579.0,0.00843797583225863,-0.24788568095654706,0.1687595166451726,False
