Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
C02567_N1-Acetylspermine,-4.779050430810364,-2.9458022148033165,6.089918753655947,3183.0,4.233419140387532e-05,-0.27353646011639854,0.006646468050408425,True
"C01026_N,N-Dimethylglycine",-0.7702334770573731,0.03016279036652534,2.6588588477984265,3096.0,0.0006385221637232715,-0.29339267374186917,0.050123989852276805,False
2-Hydroxyoctanoate,-2.9457051747454064,-4.354415734245611,-4.679635185168226,5158.0,0.012649778974501213,0.17722241241583925,0.2102438311635031,False
C00255_Riboflavin,-1.6754539265750261,-2.8113131343579267,-3.7732426141705195,5255.0,0.014281139143543661,0.19936094944653648,0.2102438311635031,False
"C00628_2,5-Dihydroxybenzoate",-2.641115677452167,-3.935884330254503,-4.3011283641235405,5200.0,0.0122091327282064,0.18680817071779066,0.2102438311635031,False
C00750_Spermine,-5.150222914860833,-4.160987939138145,3.2861674582984155,3736.5,0.010014991338743472,-0.14720985963711053,0.2102438311635031,False
C00364_dTMP,-0.9771989947725934,-2.3471888728781467,-4.55100786579015,5343.0,0.008677993613581743,0.21944539541252994,0.2102438311635031,False
C00357_N-Acetylglucosamine 6-phosphate,-0.7033312873649719,0.30409459925328036,3.346596356273982,3409.0,0.009464668557693777,-0.22195595115827915,0.2102438311635031,False
C01046_N-Methylglutamate,-0.6368918926568313,-2.237535540757526,-5.317223104528698,5435.0,0.004605419087885477,0.24044277074061404,0.2102438311635031,False
"C04259_N-alpha,N-alpha-Dimethylhistidine",-2.728704557437082,-4.010558380292095,-4.2582262276808365,5197.0,0.014730459508270916,0.18612347369622273,0.2102438311635031,False
C05584_4-Hydroxy-3-methoxymandelate,-3.3788903499065377,-4.714529166743427,-4.436896110272578,5105.0,0.014132575732769017,0.16512609836813885,0.2102438311635031,False
gamma-Glu-2AB,-4.025965716438637,-5.135184219747595,-3.6847441095109392,5031.5,0.01701812648357698,0.1483510213397239,0.22265382149346546,False
C00242_Guanine,-1.0405454812547625,-1.5190918237803785,-1.5896965399414347,5196.0,0.02835182952225773,0.1858952413557,0.31794551678531885,False
C00055_CMP,-1.5303119092801287,-2.622813895087034,-3.629213040372193,5177.0,0.027418515994872196,0.18155882688576974,0.31794551678531885,False
"C06057_3-Aminopropane-1,2-diol",-1.2427688288877998,-2.1855531285112417,-3.1318616523378164,5156.0,0.03569840748009717,0.17676594773479404,0.37364333162501706,False
C04501_N-Acetylglucosamine 1-phosphate,0.4818313016678078,0.7758267485164186,0.9766317346553646,3599.0,0.03880435912098334,-0.1785918064589752,0.380767773874649,False
C04137_Octopine,-2.2374756663260187,-3.3948375682608964,-3.8446730179897424,5025.5,0.06149879600136738,0.14698162729658804,0.4350405437342694,False
C02037_Gly-Gly,-3.511072727606949,-2.591109867778807,3.056050470316029,3777.0,0.06646020001125526,-0.1379664498459432,0.4350405437342694,False
C02567_N1-Acetylspermine_div,-3.0731675548129025,-2.154165221658062,3.0528596697741,3718.0,0.05930166299990582,-0.15143215793677967,0.4350405437342694,False
C00366_Urate,-1.1848400283663147,-0.27240168295774936,3.0310545744652524,3699.5,0.061983302308775724,-0.1556544562364487,0.4350405437342694,False
C00311_Isocitrate,-3.65927135066591,-4.710191770413085,-3.491082067848961,4898.0,0.06479986045690622,0.11788200387994974,0.4350405437342694,False
C00077_Ornithine,2.6831077386589515,2.7024091307166334,0.06411783654684926,3685.0,0.06650301305492017,-0.15896382517402718,0.4350405437342694,False
