Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Alistipes putredinis,1.2236477726487467,1.9320901656948448,2.3533946890690687,3364.0,0.00733277408920104,-0.2322264064817985,0.43770466226885113,False
Lachnospira rogosae_A,1.1583738745924268,0.40791155403512835,-2.4929818668136554,5504.0,0.0030946570672449086,0.256190802236677,0.43770466226885113,False
Lachnospira sp000437735,0.5590798485820356,0.04484704891600542,-1.7082443845231703,5378.0,0.008640138501730515,0.22743352733082278,0.43770466226885113,False
Sutterella wadsworthensis_A,-0.3706754339675251,0.24882913224662215,2.057949623417784,3431.0,0.012255730543527832,-0.21693483966678073,0.43770466226885113,False
Faecalibacterium prausnitzii_F,0.35162694334699995,0.11831401838511556,-0.7750487603312307,5335.0,0.011984385803950373,0.21761953668834866,0.43770466226885113,False
Alistipes senegalensis,-0.32152273183133157,-0.07222972822455115,0.8281334325402204,3344.0,0.00625564675250754,-0.23679105329225147,0.43770466226885113,False
Agathobacter sp002474415,-0.2830872438442931,-0.6690244135511421,-1.2820555269104932,5444.0,0.005110506694702608,0.24249686180531782,0.43770466226885113,False
Butyribacter sp003529475,-0.5211209724069381,-0.6922498030641545,-0.5684776704054288,5350.0,0.010705993615678389,0.2210430217961885,0.43770466226885113,False
Alistipes shahii,0.6806379839999774,1.1900726490099924,1.6923053262063006,3388.0,0.008843007156820631,-0.22674883030925486,0.43770466226885113,False
Odoribacter splanchnicus,0.9437074864528429,1.5500818380335393,2.014331994535022,3229.0,0.002387305016053047,-0.2630377724523565,0.43770466226885113,False
Faecalibacterium prausnitzii_I,0.5789698611123819,0.2800879355705207,-0.9928642655115415,5361.0,0.009847084917522559,0.22355357754193772,0.43770466226885113,False
Lachnospira sp000436475,0.09693544397287475,-0.25070609943655164,-1.154840210001778,5505.0,0.0030682897844813146,0.2564190345771995,0.43770466226885113,False
Bifidobacterium bifidum,-0.3688070376579926,-0.7165539203221556,-1.155190139431582,5357.0,0.010152040103999295,0.22264064817984708,0.43770466226885113,False
Lachnospira sp000436535,-0.2795804448957586,-0.5927551909696197,-1.0403439875919747,5467.0,0.0042280760689307854,0.24774620563733873,0.43770466226885113,False
Lachnospira sp003451515,0.5208366498868287,0.21069900095722527,-1.030254969261563,5279.0,0.018032085334357652,0.20483852561908011,0.4508021333589413,False
