Species,Metabolite,PartialRho,PValue,QValue,Polyamine_Name
Phocaeicola plebeius_A,C00134_Putrescine,0.05014707918150335,0.351671490700712,0.561263209052664,Putrescine
Phocaeicola plebeius_A,C00315_Spermidine,0.11372773492316325,0.034196741290813015,0.11355654128827851,Spermidine
Phocaeicola plebeius_A,C00750_Spermine,0.03284682224528821,0.5419775526091253,0.7242922619824125,Spermine
Phocaeicola plebeius_A,C00179_Agmatine,0.12089041351623502,0.024317290966552278,0.08968442400730556,Agmatine
Phocaeicola plebeius_A,C01672_Cadaverine,0.0654851315326162,0.22369643316741067,0.4209341484332996,Cadaverine
Phocaeicola plebeius_A,C00077_Ornithine,0.05575050591677059,0.30040037505658734,0.5069437380414926,Ornithine
Phocaeicola plebeius_A,C00062_Arg,-0.03425787481065817,0.5247519294374856,0.7077579009754141,Arginine
Prevotella sp900551275,C00134_Putrescine,0.09251714200536619,0.08527307077478427,0.22107833163832957,Putrescine
Prevotella sp900551275,C00315_Spermidine,0.12485675504437649,0.019989632871897887,0.07765118207729478,Spermidine
Prevotella sp900551275,C00750_Spermine,0.049849244556978894,0.3545428453066646,0.564558670870485,Spermine
Prevotella sp900551275,C00179_Agmatine,0.17844602127981002,0.000841033321693619,0.006440138651776125,Agmatine
Prevotella sp900551275,C01672_Cadaverine,0.17896356997160665,0.0008117178025448167,0.006271550350787768,Cadaverine
Prevotella sp900551275,C00077_Ornithine,0.0029298081048929315,0.9566328372488695,0.9802970703871069,Ornithine
Prevotella sp900551275,C00062_Arg,-0.11971372262262199,0.025747553554264332,0.09342384300957668,Arginine
Prevotella sp015074785,C00134_Putrescine,0.10701252628670588,0.046376215858053856,0.1415141721910972,Putrescine
Prevotella sp015074785,C00315_Spermidine,0.11555409015686723,0.03139886177161915,0.10784692463264674,Spermidine
Prevotella sp015074785,C00750_Spermine,0.09726698676947944,0.07035186589746883,0.19449567981132773,Spermine
Prevotella sp015074785,C00179_Agmatine,0.17841643886290934,0.0008427381435752758,0.006440138651776125,Agmatine
Prevotella sp015074785,C01672_Cadaverine,0.177480715423468,0.0008983389763940722,0.006704022211896061,Cadaverine
Prevotella sp015074785,C00077_Ornithine,0.014152458011636518,0.792787226467614,0.8956612227919074,Ornithine
Prevotella sp015074785,C00062_Arg,-0.12155271500529323,0.023542829509938457,0.08756631592431945,Arginine
Prevotella copri,C00134_Putrescine,0.11558970394032049,0.03134630725452108,0.10777217621888387,Putrescine
Prevotella copri,C00315_Spermidine,0.11452444972396446,0.032951152779714735,0.11109833047308142,Spermidine
Prevotella copri,C00750_Spermine,0.08490268533671397,0.11440333363651238,0.26963748668538273,Spermine
Prevotella copri,C00179_Agmatine,0.18066757462667277,0.0007217375741632337,0.00571511653749167,Agmatine
Prevotella copri,C01672_Cadaverine,0.16825846875665965,0.0016582969751270992,0.010649613601733663,Cadaverine
Prevotella copri,C00077_Ornithine,0.010396352689041696,0.8469832328721947,0.9237897522756876,Ornithine
Prevotella copri,C00062_Arg,-0.1466437742798405,0.006207329619670041,0.030659535141241343,Arginine
Megamonas funiformis,C00134_Putrescine,0.162488174213438,0.002396605267704756,0.01451231563489039,Putrescine
