Species,Metabolite,Rho,PValue,QValue,Polyamine_Name
Phocaeicola plebeius_A,C00134_Putrescine,0.07418063885383357,0.1679729635723169,0.3330908626079938,Putrescine
Phocaeicola plebeius_A,C00315_Spermidine,0.11342674101139698,0.0346776338505408,0.10856146554283791,Spermidine
Phocaeicola plebeius_A,C00750_Spermine,0.05176765838522364,0.3363059041694091,0.5280220167813481,Spermine
Phocaeicola plebeius_A,C00179_Agmatine,0.08638952103170536,0.10817367227328516,0.25040201915112303,Agmatine
Phocaeicola plebeius_A,C01672_Cadaverine,0.07502077591865096,0.16319522942952627,0.3273256750735484,Cadaverine
Phocaeicola plebeius_A,C00077_Ornithine,0.0698768280066793,0.19409768990085385,0.36651324134855484,Ornithine
Phocaeicola plebeius_A,C00062_Arg,-0.049544516942108645,0.3574958637853888,0.5478520684404601,Arginine
Prevotella sp900551275,C00134_Putrescine,0.1735247133808452,0.0011728647750354282,0.0067091021047724604,Putrescine
Prevotella sp900551275,C00315_Spermidine,0.11833541176139453,0.027514466150125205,0.09076402594292009,Spermidine
Prevotella sp900551275,C00750_Spermine,-0.011500781232127187,0.8309605016709439,0.9042290686836203,Spermine
Prevotella sp900551275,C00179_Agmatine,0.1866943428100124,0.00047234634848082835,0.003148975656538856,Agmatine
Prevotella sp900551275,C01672_Cadaverine,0.23485928452725346,9.817701988695368e-06,0.00011229397699488166,Cadaverine
Prevotella sp900551275,C00077_Ornithine,0.05085992926643074,0.344858823060735,0.536924324160397,Ornithine
Prevotella sp900551275,C00062_Arg,-0.1071541197967257,0.04608609644030723,0.13374903610371086,Arginine
Prevotella sp015074785,C00134_Putrescine,0.2327757095615541,1.1823967937271069e-05,0.00013306716328118567,Putrescine
Prevotella sp015074785,C00315_Spermidine,0.106939862680144,0.04652569407844776,0.13434169863097392,Spermidine
Prevotella sp015074785,C00750_Spermine,0.027266070884390998,0.6127358717111296,0.7634658422886984,Spermine
Prevotella sp015074785,C00179_Agmatine,0.20586568606859182,0.00011224785789888692,0.0009287647816692772,Agmatine
Prevotella sp015074785,C01672_Cadaverine,0.2675241840022598,4.238384685807072e-07,7.1663509180312815e-06,Cadaverine
Prevotella sp015074785,C00077_Ornithine,0.07160696858347325,0.18325948349844967,0.35242208365086475,Ornithine
Prevotella sp015074785,C00062_Arg,-0.10867230092038656,0.04306992675110201,0.12862179490516812,Arginine
Prevotella copri,C00134_Putrescine,0.2557560777506334,1.382287739258306e-06,2.050003003137318e-05,Putrescine
Prevotella copri,C00315_Spermidine,0.10872083906073815,0.042976303567550535,0.12845180400207248,Spermidine
Prevotella copri,C00750_Spermine,0.013989037259214887,0.7951265710851443,0.8855777847055929,Spermine
Prevotella copri,C00179_Agmatine,0.20883032381769753,8.879211122958832e-05,0.0007561372002519687,Agmatine
Prevotella copri,C01672_Cadaverine,0.26869383914139733,3.7567278391533844e-07,6.541565889073058e-06,Cadaverine
Prevotella copri,C00077_Ornithine,0.06020136722463508,0.26339814914566284,0.4503188018299809,Ornithine
Prevotella copri,C00062_Arg,-0.1294245099801884,0.015849332571308432,0.05870123174558678,Arginine
Megamonas funiformis,C00134_Putrescine,0.2890601350221926,4.190187605052225e-08,1.0327927195551257e-06,Putrescine
Megamonas funiformis,C00315_Spermidine,0.10113797526450416,0.05983301611528451,0.16158607747183318,Spermidine
Megamonas funiformis,C00750_Spermine,0.09872100541999147,0.0662361399529382,0.17430563145510053,Spermine
Megamonas funiformis,C00179_Agmatine,0.13732660449696396,0.010436380071940336,0.04165031955734456,Agmatine
Megamonas funiformis,C01672_Cadaverine,0.2744839551892827,2.0501687550699915e-07,3.986439245969428e-06,Cadaverine
Megamonas funiformis,C00077_Ornithine,0.14393080816290893,0.007243091961156328,0.03072826892611776,Ornithine
Megamonas funiformis,C00062_Arg,-0.03178386569238077,0.5551366349947805,0.7199794153366691,Arginine
Escherichia coli,C00134_Putrescine,0.30464633502575394,6.925358031172706e-09,2.5514476956952074e-07,Putrescine
Escherichia coli,C00315_Spermidine,-0.001997243952693407,0.9704289332270155,0.9832922868075669,Spermidine
Escherichia coli,C00750_Spermine,0.14892720580455776,0.005440679114422243,0.024444643004464507,Spermine
Escherichia coli,C00179_Agmatine,-0.004166347140915271,0.938360435221262,0.9659649420146676,Agmatine
Escherichia coli,C01672_Cadaverine,0.24635881113644414,3.4110909813333655e-06,4.421784605432141e-05,Cadaverine
Escherichia coli,C00077_Ornithine,0.2465094184096837,3.363010986506228e-06,4.391991959989477e-05,Ornithine
Escherichia coli,C00062_Arg,0.009874208670347906,0.8545807581384955,0.9172133252023105,Arginine
Prevotella copri_A,C00134_Putrescine,0.21707117989039,4.547906204089604e-05,0.0004290477551027928,Putrescine
Prevotella copri_A,C00315_Spermidine,0.14338482588593593,0.007469308925787086,0.03153507990380555,Spermidine
Prevotella copri_A,C00750_Spermine,0.005504658759747296,0.9186207796826403,0.9574665660777967,Spermine
Prevotella copri_A,C00179_Agmatine,0.20602566506745362,0.00011084627006450108,0.0009193411024306961,Agmatine
Prevotella copri_A,C01672_Cadaverine,0.28860870777742664,4.4074332896975e-08,1.0708662450614188e-06,Cadaverine
Prevotella copri_A,C00077_Ornithine,0.0688339760089471,0.20085274209652793,0.37437883352910567,Ornithine
Prevotella copri_A,C00062_Arg,-0.11307146480065758,0.035252640804278534,0.11006622909453602,Arginine
Fimenecus sp000432435,C00134_Putrescine,-0.17885644141331578,0.0008177072719311773,0.004994819973417252,Putrescine
Fimenecus sp000432435,C00315_Spermidine,-0.046490635010991446,0.3879359222770489,0.5737574567914824,Spermidine
Fimenecus sp000432435,C00750_Spermine,-0.06068339352455582,0.2595874394402558,0.44493439668995854,Spermine
Fimenecus sp000432435,C00179_Agmatine,-0.01814598414558706,0.7362448413404852,0.8492660281018958,Agmatine
Fimenecus sp000432435,C01672_Cadaverine,-0.056553723502730344,0.29347963147034173,0.48773917860693067,Cadaverine
Fimenecus sp000432435,C00077_Ornithine,-0.19754879519144994,0.00021289114774779319,0.0015853596108878216,Ornithine
Fimenecus sp000432435,C00062_Arg,0.011471371975054268,0.8313862882440146,0.9042290686836203,Arginine
Bacteroides stercoris,C00134_Putrescine,-0.023829642041267182,0.6582300501309892,0.7925769723703331,Putrescine
Bacteroides stercoris,C00315_Spermidine,0.016376883437810005,0.7611376788379584,0.8670484636930962,Spermidine
Bacteroides stercoris,C00750_Spermine,-0.02671450009899039,0.6199445727508353,0.7672581345926178,Spermine
Bacteroides stercoris,C00179_Agmatine,-0.025545515469963188,0.6353426163330445,0.7788788641560965,Agmatine
Bacteroides stercoris,C01672_Cadaverine,0.06666258831113425,0.21546255780330464,0.39256582629441245,Cadaverine
Bacteroides stercoris,C00077_Ornithine,0.053945116862035083,0.31634841077734294,0.507544488877217,Ornithine
Bacteroides stercoris,C00062_Arg,0.05809268659468471,0.28051919983002255,0.4720274997139802,Arginine
Sutterella wadsworthensis,C00134_Putrescine,0.2604875412071579,8.652989618825026e-07,1.3520296279414103e-05,Putrescine
Sutterella wadsworthensis,C00315_Spermidine,0.06580737883128199,0.22142103182019088,0.3988541489298343,Spermidine
Sutterella wadsworthensis,C00750_Spermine,0.07084104685858007,0.1880010975891992,0.3587808513185759,Spermine
Sutterella wadsworthensis,C00179_Agmatine,0.015756351702982962,0.7699292777325333,0.8715240854022854,Agmatine
Sutterella wadsworthensis,C01672_Cadaverine,0.28617863972776597,5.776921290235367e-08,1.3479483010549189e-06,Cadaverine
Sutterella wadsworthensis,C00077_Ornithine,0.08726439615394115,0.10463491201200428,0.24447409348599133,Ornithine
Sutterella wadsworthensis,C00062_Arg,-0.017256026914829636,0.7487347432906869,0.8572363760279372,Arginine
Fusobacterium_A mortiferum,C00134_Putrescine,0.3450352375410635,3.892129895396222e-11,3.4056136584716944e-09,Putrescine
Fusobacterium_A mortiferum,C00315_Spermidine,0.0995882012684251,0.06387693943339363,0.16924245875615268,Spermidine
Fusobacterium_A mortiferum,C00750_Spermine,0.15974161730132663,0.0028440961278305274,0.014384879259258448,Spermine
Fusobacterium_A mortiferum,C00179_Agmatine,0.06618046839630758,0.21880731634565062,0.3965679273666018,Agmatine
Fusobacterium_A mortiferum,C01672_Cadaverine,0.296012933556915,1.9021454765707522e-08,5.502073692560027e-07,Cadaverine
Fusobacterium_A mortiferum,C00077_Ornithine,0.25184918826422437,2.0210727304045052e-06,2.9025644098299694e-05,Ornithine
Fusobacterium_A mortiferum,C00062_Arg,-0.03164543146960277,0.556861780315552,0.7199794153366691,Arginine
Ruminococcus_B gnavus,C00134_Putrescine,0.321477294202593,8.769327141434509e-10,4.650400756821331e-08,Putrescine
Ruminococcus_B gnavus,C00315_Spermidine,0.07556096017057852,0.16017762095564972,0.3230546992366565,Spermidine
Ruminococcus_B gnavus,C00750_Spermine,0.2525619644233345,1.886615252524782e-06,2.7285757784449326e-05,Spermine
