Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant,Comparison,Direction,IsPolyamine
C04501_N-Acetylglucosamine 1-phosphate,0.8533278826620553,2.179962285824923,1.353131081691029,2294.0,0.00043511562321625554,-0.33100029163021294,0.00803513517539352,True,Healthy_vs_Stage_III_IV,Up in case,False
C01425_Glu-Glu,-1.9563598469286472,-0.5961406491522024,-1.71444710475257,2281.0,0.0003736038670188941,-0.3347914843977836,0.00803513517539352,True,Healthy_vs_Stage_III_IV,Down in case,False
C00122_Fumarate,-2.7147393588023063,-0.6749323917396647,-2.007998793034194,2345.0,0.0007803390227660612,-0.31612715077282005,0.011376521542431524,True,Healthy_vs_Stage_III_IV,Down in case,False
C01005_O-Phosphoserine,-3.0029831987546607,-1.367207095934608,-1.135164613440142,2406.0,0.0015202358572541958,-0.2983377077865267,0.018308927498235313,True,Healthy_vs_Stage_III_IV,Down in case,False
C00366_Urate,0.7931149158461593,2.7361996732600073,1.786571693260943,2556.0,0.006823367940016954,-0.2545931758530183,0.04767203294756762,True,Healthy_vs_Stage_III_IV,Up in case,False
C16741_5-Hydroxylysine,1.6780313651949743,0.6936458779285821,-1.2744984552019982,4301.0,0.006884048079071136,0.2543015456401283,0.04767203294756762,True,Healthy_vs_Stage_III_IV,Down in case,False
C00491_Cystine,-2.6560993170688225,-0.9871479034593457,-1.4279709294927694,1028.5,0.0011250398058246323,-0.400116652085156,0.026947981232631837,True,Healthy_vs_Stage_0,Down in case,False
C00719_Betaine,1.0255242821429031,2.612215905760259,1.3489124918053186,1067.0,0.002109946673568683,-0.3776611256926218,0.0365296887545537,True,Healthy_vs_Stage_0,Up in case,False
C00122_Fumarate,-2.7147393588023063,-0.5027643708357942,-2.4328593725463143,1084.5,0.0027791551549469335,-0.36745406824146987,0.045283881054135326,True,Healthy_vs_Stage_0,Down in case,False
C00423_trans-Cinnamate,1.4036885996615323,4.610133284128834,1.7155855436768654,981.0,3.736076118610867e-05,-0.4850393700787402,0.004430420619302769,True,Healthy_vs_HS,Up in case,False
C02678_Dodecanedioate,0.38531121138699004,2.315121365596173,2.586991755782492,1086.5,0.0002599886940730819,-0.42965879265091866,0.005539759096787975,True,Healthy_vs_HS,Up in case,False
SDMA,-0.539177174723997,-2.104200824391467,1.9644410733043998,2753.0,0.00015438995814513455,0.44514435695538057,0.005539759096787975,True,Healthy_vs_HS,Up in case,False
C00245_Taurine,5.902266772591431,2.879924146625758,-1.0352383161239302,2738.0,0.0002016620307152124,0.4372703412073491,0.005539759096787975,True,Healthy_vs_HS,Down in case,False
C03592_5-Methyl-2'-deoxycytidine,-2.895730185721337,-1.1771714988876572,-1.2986026653719593,1060.0,0.00016285231626805954,-0.44356955380577423,0.005539759096787975,True,Healthy_vs_HS,Down in case,False
C00568_p-Aminobenzoate,-3.072455489676038,-0.9028096334542378,-1.766898392657783,1047.0,0.00012889701206414577,-0.4503937007874016,0.005539759096787975,True,Healthy_vs_HS,Down in case,False
C02727_N-epsilon-Acetyllysine,0.6042799620187109,1.2272567242307966,1.0221480631998046,1057.5,0.0001557648472119448,-0.4448818897637795,0.005539759096787975,True,Healthy_vs_HS,Up in case,False
C00534_Pyridoxamine,-1.2303774940213357,-0.09232218769374943,-3.7362797992825367,1099.0,0.0003225598506531975,-0.42309711286089235,0.005956605242062381,True,Healthy_vs_HS,Down in case,False
C02714_N-Acetylputrescine,3.053382841147329,1.241506861567027,-1.298316254672404,2677.0,0.000571959999383053,0.40524934383202105,0.009171422942731914,True,Healthy_vs_HS,Down in case,True
C02230_3-Methylguanine,-2.3056906040694254,-0.5523533404906128,-2.061535574263942,1165.5,0.0009685915641100997,-0.3881889763779528,0.01341499316292488,True,Healthy_vs_HS,Down in case,False
C09815_Benzamide,-2.144440255050629,-0.10702231930059072,-4.324617519346624,1189.0,0.0014002663411341364,-0.37585301837270346,0.016161407353923157,True,Healthy_vs_HS,Down in case,False
C02378_6-Aminohexanoate,-2.227113394282215,-0.6323438712827579,-1.8163937948959858,1252.0,0.003576182985368483,-0.3427821522309711,0.034158713343002405,True,Healthy_vs_HS,Down in case,False
