Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant,Comparison,Direction
Lachnospira sp900551945,-0.04068578066641747,-0.17821789405249025,2.1310456232799413,4995.0,1.2093100998679997e-06,0.45669291338582685,0.0012087054448180657,True,Healthy_vs_Stage_III_IV,Up in case
Lachnospira sp900772425,-0.0866292618881352,-0.2047037544068582,1.2406112333961568,4851.0,1.0451804712793075e-05,0.41469816272965887,0.004642923915749635,True,Healthy_vs_Stage_III_IV,Up in case
CAG-307 sp001916215,-0.05121565107170981,-0.20786900329994862,2.0210179885376003,4857.0,9.590184865973258e-06,0.416447944006999,0.004642923915749635,True,Healthy_vs_Stage_III_IV,Up in case
CAG-632 sp900539185,-0.07695659810294542,-0.17412620979212523,1.1780164467263599,4855.0,9.869559785282044e-06,0.415864683581219,0.004642923915749635,True,Healthy_vs_Stage_III_IV,Up in case
Lachnospira sp000436535,0.608579759379963,0.11622644049620454,-2.3885080448173794,4769.0,3.276378603746569e-05,0.3907844852726743,0.011908146961617076,True,Healthy_vs_Stage_III_IV,Down in case
Agathobacter sp002474415,0.6050729604314283,0.20064246102435154,-1.5924821652582515,4724.0,5.9743092177145806e-05,0.37766112569262167,0.017060920180302065,True,Healthy_vs_Stage_III_IV,Down in case
Agathobacter sp900552085,-0.002900431824183449,-0.13188127976748096,5.5068283218353224,4707.0,7.460159869538821e-05,0.3727034120734909,0.01864107447401013,True,Healthy_vs_Stage_III_IV,Up in case
Parvimonas sp000214475,-0.23185065205518124,-0.014086559673631425,-4.040804579901063,2249.0,0.0002549400159920032,-0.34412365121026534,0.0424687576640012,True,Healthy_vs_Stage_III_IV,Down in case
Butyribacter sp003149875,0.24940949538060184,0.02716861377109541,-3.198503525300028,4601.0,0.00028075357667746567,0.341790609507145,0.043171261521404145,True,Healthy_vs_Stage_III_IV,Down in case
Gallacutalibacter pullicola,-0.20774538191431924,-0.04644452234861927,-2.161236048522482,976.0,3.390083046562349e-05,-0.48766404199475066,0.01687496426326603,True,Healthy_vs_HS,Down in case
Lawsonibacter sp900545895,0.004813159899148279,0.5458516518426386,6.825380725600557,921.0,1.1277535811022101e-05,-0.5165354330708661,0.01687496426326603,True,Healthy_vs_HS,Up in case
Haemophilus_D parainfluenzae,0.7401568186649424,0.003053487901195033,-7.921228984027875,2865.0,1.8360274534754688e-05,0.5039370078740157,0.01687496426326603,True,Healthy_vs_HS,Down in case
BX12 sp014333425,0.049108179722182704,0.4363099759248569,3.1513182050025814,1023.0,8.295479233889644e-05,-0.462992125984252,0.01745543472478463,True,Healthy_vs_HS,Up in case
Acutalibacter sp904391645,-0.19608241099225543,-0.07325131063512688,-1.420533651740927,1047.0,0.00012890322897888645,-0.4503937007874016,0.019087226276206966,True,Healthy_vs_HS,Down in case
Rothia sp001808955,-0.04198577794157482,-0.22169362304799342,2.4005946506427236,2734.0,0.00021639415296116263,0.43517060367454063,0.02703574448558526,True,Healthy_vs_HS,Up in case
Rothia mucilaginosa,-0.02983719615989808,-0.21377920508025347,2.8409376537895583,2726.0,0.00024893995887305875,0.43097112860892395,0.030159453199226933,True,Healthy_vs_HS,Up in case
Schneewindia gallinarum,-0.18193375836162895,-0.05665305700062332,-1.6831875549044124,1086.0,0.0002577655701683717,-0.4299212598425197,0.03031019851568088,True,Healthy_vs_HS,Down in case
Lawsonibacter pullicola,0.16340376548023486,0.7997069488534808,2.2910301938191417,1099.0,0.0003226808237843696,-0.42309711286089235,0.03394941930236604,True,Healthy_vs_HS,Up in case
Rothia sp015265375,-0.0909313992126086,-0.2367115048012725,1.3802793698371623,2711.0,0.0003226808237843696,0.42309711286089247,0.03394941930236604,True,Healthy_vs_HS,Up in case
Dysosmobacter avistercoris,0.1535327416133138,0.5958472124964163,1.9563960904459623,1122.0,0.0004764000095133792,-0.4110236220472441,0.04761618095086225,True,Healthy_vs_HS,Up in case
Scatomorpha pullicola,-0.18750348252712443,-0.013658202665049786,-3.779077849526236,1122.0,0.0004764000095133792,-0.4110236220472441,0.04761618095086225,True,Healthy_vs_HS,Down in case
Limiplasma pullicola,-0.20219952297661942,-0.013198424117935778,-3.937342015637161,1126.0,0.00050927984452706,-0.40892388451443573,0.049660995571199656,True,Healthy_vs_HS,Down in case
