polyamine,kegg_id,species,mean_shap,cv_r2_mean,cv_r2_std,n_samples
C00062_Arg,C00062,Prevotella sp000436035,0.009462146382340202,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp900557255,0.006892709593282461,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp000436915,0.006885908951031573,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella copri,0.006377386857477645,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Ruminococcus_D bicirculans,0.006247121799896426,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp900770515,0.0059710133870138305,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Erysipelatoclostridium ramosum,0.005893083207345515,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp002265625,0.00483662946560989,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Ventricola sp900542395,0.00474827906379705,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp000434975,0.004415167851334229,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Akkermansia muciniphila,0.004410092887686098,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Fimenecus sp000432435,0.0043317272580620965,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp900767615,0.004112074008347639,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,CAG-1427 sp900542265,0.00410539104178147,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp900557405,0.003874652309343506,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Cryptobacteroides sp000431015,0.0038009228935962,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Bifidobacterium pseudocatenulatum,0.0037680881623664854,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,UBA3818 sp904397845,0.0036740547526788727,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp900290275,0.0033610866833507025,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella sp900313215,0.003199298792219617,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Prevotella pectinovora,0.003185676278534157,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Romboutsia_D sp000686145,0.003182704411678618,-0.01969803080147715,0.24293451186930357,163
C00062_Arg,C00062,Fusobacterium_A ulcerans_A,0.003130843028094305,-0.01969803080147715,0.24293451186930357,163
