Species,Genus,Polyamine,Rank,KO_K01581,KO_K01611,KO_K00797,KO_K01478,KO_K01760,Total_KO_support
Faecalimonas phoceensis,faecalimonas,Ornithine,1,0,0,0,0,0,0
Lachnospira sp000436535,lachnospira,Ornithine,2,0,0,0,0,0,0
Tidjanibacter inops_A,tidjanibacter,Ornithine,3,0,0,0,0,0,0
Ventricola sp900542395,ventricola,Ornithine,4,0,0,0,0,0,0
Ruminococcus_B gnavus,ruminococcus,Ornithine,5,0,0,0,0,0,0
Anaerotignum faecicola,anaerotignum,Ornithine,6,0,0,0,0,0,0
Faecalibacterium sp900539945,faecalibacterium,Ornithine,7,0,0,0,0,0,0
Fusobacterium_A necrogenes,fusobacterium,Ornithine,8,0,0,0,0,0,0
CAG-177 sp003514385,cag-177,Ornithine,9,0,0,0,0,0,0
Acutalibacter stercoravium,acutalibacter,Ornithine,10,1,1,1,0,1,4
Ruminococcus_B sp900544395,ruminococcus,Ornithine,11,0,0,0,0,0,0
Dialister sp000434475,dialister,Ornithine,12,0,0,0,0,0,0
Enterocloster citroniae,enterocloster,Ornithine,13,1,1,1,1,1,5
Collinsella aerofaciens_M,collinsella,Ornithine,14,0,0,0,1,0,1
Faecalibacterium sp900539885,faecalibacterium,Ornithine,15,0,0,0,0,0,0
Akkermansia muciniphila_B,akkermansia,Ornithine,16,0,0,0,0,0,0
Blautia_A sp000436615,blautia,Ornithine,17,0,1,1,0,0,2
Bacteroides faecis,bacteroides,Ornithine,18,0,0,0,0,0,0
CAG-177 sp003538135,cag-177,Ornithine,19,0,0,0,0,0,0
CAG-41 sp900066215,cag-41,Ornithine,20,0,0,0,0,0,0
Intestinimonas butyriciproducens,intestinimonas,Putrescine,1,0,0,0,0,0,0
Dysosmobacter sp014297375,dysosmobacter,Putrescine,2,0,0,0,0,0,0
Acetatifactor sp003447295,acetatifactor,Putrescine,3,1,1,1,0,1,4
Anaeroglobus micronuciformis,anaeroglobus,Putrescine,4,0,0,0,0,0,0
CAG-83 sp000435975,cag-83,Putrescine,5,0,0,0,0,0,0
CAG-83 sp001916855,cag-83,Putrescine,6,0,0,0,0,0,0
Alistipes communis,alistipes,Putrescine,7,0,0,0,0,0,0
Enterenecus sp900549885,enterenecus,Putrescine,8,1,1,1,1,1,5
Lawsonibacter asaccharolyticus,lawsonibacter,Putrescine,9,0,0,0,0,0,0
UMGS856 sp900546265,umgs856,Putrescine,10,0,0,0,0,0,0
CAG-170 sp000432135,cag-170,Putrescine,11,0,0,0,0,0,0
Acetatifactor intestinalis,acetatifactor,Putrescine,12,1,1,1,0,1,4
ER4 sp003522105,er4,Putrescine,13,0,0,0,0,0,0
CAG-170 sp900545925,cag-170,Putrescine,14,0,0,0,0,0,0
Allisonella histaminiformans,allisonella,Putrescine,15,0,0,0,0,0,0
Acetatifactor sp900772845,acetatifactor,Putrescine,16,1,1,1,0,1,4
Lawsonibacter sp900066645,lawsonibacter,Putrescine,17,0,0,0,0,0,0
Clostridium_A leptum,clostridium,Putrescine,18,0,1,1,1,0,3
Dysosmobacter sp001916835,dysosmobacter,Putrescine,19,0,0,0,0,0,0
Acetatifactor sp900771995,acetatifactor,Putrescine,20,1,1,1,0,1,4
