species,metabolite,metabolite_name,shap_imp,pathway,acme,acme_ci_lo,acme_ci_hi,a,b,c_direct,c_total,prop_mediated,p_value,n_boot,ci,q_value
Acutalibacter sp910580045,C11118_1-Methyl-2-pyrrolidinone,C11118,0.0993570145331589,Other,0.016194553298870033,0.0037533767669417004,0.030785358983113683,0.16677012130947563,0.09710704274669064,0.023699097338782935,0.03989365063765298,0.4059431272901624,0.0,1000,0.95,0.0
Aphodousia sp900553105,C00423_trans-Cinnamate,C00423,0.15989562161884763,Other,-0.013510694356468522,-0.02588193451464956,-0.0018277349957736056,0.15968712170524335,-0.08460728837862756,-0.014476497041969037,-0.02798719139843754,0.4827456304608969,0.0,1000,0.95,0.0
Aphodousia sp900553105,C01118_o-Succinylhomoserine,C01118,0.050030790854676356,Other,-0.012694910432427344,-0.025135510797272578,-0.0015276031159009384,0.15968712170524335,-0.07949864896344051,-0.0234923306275186,-0.03618724105994592,0.3508117795274199,0.0,1000,0.95,0.0
Alistipes shahii,C00245_Taurine,C00245,0.024825136188155423,Other,-0.012445172529293126,-0.024596592796461557,-0.0021501027636422806,0.1698965426310535,-0.07325147608400132,-0.019065715088393026,-0.031510887617686154,0.39494833278856956,0.0,1000,0.95,0.0
Alangreenwoodia gallinarii,C02714_N-Acetylputrescine,C02714,0.027742917505288133,Other,-0.012103371596842334,-0.02846473741643947,0.005506591049951761,-0.0955647512603285,0.12665100298196214,-0.0018866870309621195,-0.01399005862780444,0.8651408774504759,0.0,1000,0.95,0.0
Erysipelatoclostridium ramosum,C00191_Glucuronate,C00191,0.056787958374947815,Other,-0.011668934830688826,-0.026260898618265867,0.0020490715986646907,-0.12898966993506533,0.09046410333915175,0.05644430284473691,0.0447753680140481,-0.2606105845300421,0.0,1000,0.95,0.0
UBA5905 sp900763035,C02714_N-Acetylputrescine,C02714,0.028351045398479293,Other,-0.01127133338467116,-0.03163259861903436,0.010371697205123166,-0.07473553691343457,0.15081624954038442,-0.002718725243133269,-0.01399005862780444,0.8056673445435053,0.0,1000,0.95,0.0
Aphodousia sp900553105,C00383_Malonate,C00383,0.06400779090809117,Other,-0.011216558069293812,-0.02190191851733428,-0.0016839110890967714,0.15968712170524335,-0.0702408431532617,-0.022999562259921745,-0.03421612032921554,0.32781501705547017,0.0,1000,0.95,0.0
Sediminibacterium sp902168225,C00383_Malonate,C00383,0.028923273012679926,Other,-0.010900004407326887,-0.022038714929446344,-0.0025387673216736776,0.1791426546957886,-0.060845388418725554,-0.023316115921888664,-0.03421612032921554,0.3185634228092156,0.0,1000,0.95,0.0
UBA5905 sp900763035,C08277_Sebacate,C08277,0.2368870480747231,Other,0.010069326997713887,-0.008121909202914782,0.027907852647021173,-0.07473553691343457,-0.13473278461058075,0.010343976758978773,0.02041330375669267,0.4932727753297932,0.0,1000,0.95,0.0
CCUG-7971 sp017590215,C00255_Riboflavin,C00255,0.04844407048874475,Other,0.010039730969407936,0.0014524469502366535,0.02100099380709217,0.14435684057031922,0.0695480098465952,-0.01627389195628085,-0.0062341609868729175,-1.6104381953799864,0.0,1000,0.95,0.0
Clostridium_A leptum,C00245_Taurine,C00245,0.023538199466418788,Other,-0.009392961303740248,-0.020998894182409317,-0.00025406895789523506,0.1434075657593874,-0.06549836651923917,-0.0221179263139459,-0.031510887617686154,0.2980862176179464,0.0,1000,0.95,0.0
UMGS687 sp900545735,C01118_o-Succinylhomoserine,C01118,0.14690586155524185,Other,-0.008816888959263388,-0.020855398289535126,0.0027705613285493704,0.09859584402660537,-0.08942454974962448,-0.02737035210068253,-0.03618724105994592,0.24364634332464816,0.0,1000,0.95,0.0
