Pathway,Species,Rho,PValue,QValue
Factor5_oxidative,Phocaeicola plebeius_A,-0.0011608944574039047,0.9828092753924316,0.992736641810537
Factor5_oxidative,Prevotella sp900551275,-0.029990826578681472,0.5776800563796038,0.6833174996520384
Factor5_oxidative,Prevotella sp015074785,-0.003426965033583223,0.949283055475061,0.9894103106437817
Factor5_oxidative,Prevotella copri,-0.003939631190551548,0.9417084946997714,0.9894103106437817
Factor5_oxidative,Megamonas funiformis,0.14958018816714813,0.005237679484065833,0.01619900871360567
Factor5_oxidative,Prevotella copri_A,0.0014808440926211111,0.9780724656642354,0.9924014576075403
Factor5_oxidative,Escherichia coli,0.16609866511497795,0.0019059871128591747,0.00753541042787388
Factor5_oxidative,Fimenecus sp000432435,-0.09899684013834231,0.06547810288503467,0.13272588422642162
Factor5_oxidative,Agathobacter rectalis,-0.1324192270775042,0.013561364260979474,0.03477272887430634
Factor5_oxidative,Bacteroides stercoris,-0.03629446624990881,0.5003917276646216,0.625489659580777
Factor5_oxidative,Sutterella wadsworthensis,-0.01742260751485296,0.7463917944986694,0.8324072057605979
Factor5_oxidative,Alistipes putredinis,-0.17972438378102346,0.0007703335209163403,0.003668254861506383
Factor5_oxidative,Prevotella sp000434975,-0.007855998538686047,0.8840672390370278,0.9602681787863933
Factor5_oxidative,Phascolarctobacterium_A succinatutens,-0.029968998775919797,0.5779571147046888,0.6833174996520384
Factor5_oxidative,Fusobacterium_A mortiferum,0.04670058400860705,0.38579420442663814,0.521343519495457
Factor5_oxidative,Prevotella sp900557255,-0.09165264613283138,0.08824499938488671,0.16649999883940889
Factor5_oxidative,Phocaeicola coprocola,-0.08326531292165715,0.12158529158239154,0.218416691465374
Factor5_oxidative,Ruminococcus_D bicirculans,-0.03341520674088503,0.5350052649998527,0.6524454451217716
Factor5_oxidative,Lachnospira rogosae_A,-0.14128303824633134,0.008400163790504298,0.023496906350530467
Factor5_oxidative,Prevotella sp900546535,-0.04018929300321271,0.45552015522161315,0.5890346834762239
Factor5_oxidative,Prevotella sp900767615,-0.0889649543138344,0.09801867712404658,0.18378501960758734
Factor5_oxidative,Ruminococcus_B gnavus,0.23303161182814167,1.1558064174628102e-05,0.0001050733106784373
Factor5_oxidative,Agathobacter faecis,-0.07413411116899947,0.16824058360214808,0.2792208545689684
Factor5_oxidative,Roseburia inulinivorans,-0.1142366673770276,0.03339653773791074,0.07260116899545814
Factor5_oxidative,Gemmiger formicilis,-0.0024975601686255205,0.9630260356932809,0.9894103106437817
Factor5_oxidative,Barnesiella intestinihominis,-0.1117037806328799,0.03754242252029782,0.08102681119488737
Factor5_oxidative,Bacteroides fragilis,0.12269752581855696,0.022254348592566944,0.051754299052481266
Factor5_oxidative,Phascolarctobacterium faecium,0.039146153797549425,0.46731203344795835,0.597144729021867
Factor5_oxidative,Faecalibacterium prausnitzii_C,-0.14011611242237487,0.008960405501915963,0.024001086165846328
Factor5_oxidative,Prevotella hominis,-0.0005551729307673794,0.9917784153294864,0.9962485572443169
Factor5_oxidative,Alistipes onderdonkii,-0.03760126233629866,0.4850812208100531,0.6114469169874619
Factor5_oxidative,Lachnospira eligens_A,-0.1697576941568695,0.0015040963049427435,0.006267067937261431
Factor5_oxidative,Lachnospira sp000437735,-0.18392824626816373,0.0005747429322889693,0.0029152643209167275
Factor5_oxidative,Bacteroides caccae,0.09881130381486808,0.06598719719621292,0.13286012858297905
Factor5_oxidative,Sutterella wadsworthensis_A,0.033809256022319496,0.5301980957738865,0.6492221580904733
Factor5_oxidative,Bifidobacterium adolescentis,-0.046778704565859364,0.3849991252755355,0.521343519495457
Factor5_oxidative,Prevotella stercorea,-0.08155786177141809,0.12944358183074967,0.22842985028955823
Factor5_oxidative,ER4 sp000765235,-0.18372432863710073,0.0005830528641833456,0.0029152643209167275
Factor5_oxidative,Parabacteroides merdae,-0.0720682245207792,0.18044686766832108,0.2958145371611821
Factor5_oxidative,Mediterraneibacter faecis,0.06352838389820432,0.2378708968363141,0.36223994442078294
Factor5_oxidative,Enterocloster sp000431375,0.03513156133698738,0.5142279834451855,0.6374727067502299
Factor5_oxidative,Phocaeicola vulgatus,-0.0015925679778091661,0.9764185819526177,0.9924014576075403
Factor5_oxidative,Phocaeicola massiliensis,-0.005955830866695885,0.9119767708169249,0.9728824650270911
Factor5_oxidative,Roseburia intestinalis,-0.14563940814487228,0.006574195099978493,0.018964024326861038
Factor5_oxidative,Phocaeicola plebeius,-0.05989175707493657,0.2658659788566746,0.3909793806715803
Factor5_oxidative,Ruminococcus_E bromii_B,-0.08413181924970949,0.11774202444984264,0.2127867911744144
Factor5_oxidative,Enterocloster sp001517625,0.045792719738479946,0.3951071342517959,0.529161340515798
Factor5_oxidative,Prevotella sp900313215,-0.03460654523898285,0.5205389084946677,0.6400068547065586
Factor5_oxidative,Faecalibacterium prausnitzii_G,-0.06254211186289382,0.24524987641407817,0.36604459166280323
Factor5_oxidative,Prevotella sp900544825,-0.021452134787830885,0.6904732437821688,0.7846286861161009
Factor5_oxidative,Parabacteroides distasonis,-0.04509049634700232,0.40240255699696825,0.5365367426626243
Factor5_oxidative,Bacteroides uniformis,-0.12610036538592992,0.018778390456197384,0.04580095233218875
Factor5_oxidative,Acetatifactor sp900066565,-0.14842676111595215,0.00560101476981924,0.016636677534116556
Factor5_oxidative,Agathobacter sp900317585,-0.14014655646306878,0.008945377247182616,0.024001086165846328
Factor5_oxidative,Fusicatenibacter saccharivorans,-0.06207051644006918,0.24883413496602122,0.3695556459891404
Factor5_oxidative,Faecalibacterium prausnitzii_D,-0.17776074315626583,0.0008813546300106616,0.003946364014973111
Factor5_oxidative,CAG-127 sp900319515,-0.15964567731959178,0.002861018592999481,0.01009771268117464
Factor5_oxidative,Bifidobacterium longum,-0.07656389026589136,0.1546866617587642,0.26070785689679354
Factor5_oxidative,Bifidobacterium pseudocatenulatum,-0.057060174082471174,0.2891710978460426,0.4190885476029603
Factor5_oxidative,Prevotella sp900551985,-0.02731031495796138,0.6121592287097767,0.7063375715882039
Factor5_oxidative,Dialister invisus,0.06293070419363789,0.2423236865454287,0.3653120902694905
Factor5_oxidative,Prevotella sp900770515,-0.054717131780763845,0.3094622731719766,0.43586235658024874
Factor5_oxidative,Bacteroides eggerthii,-0.03954910652484722,0.46273710588177797,0.5957988487748215
Factor5_oxidative,Prevotella sp900556795,-0.05629936027305433,0.29565967521205166,0.42237096458864526
Factor5_oxidative,Prevotella sp900557035,-0.019947452436930576,0.711176895082478,0.8020792049802382
Factor5_oxidative,Acetatifactor intestinalis,-0.13109089039628374,0.01453768191156802,0.036649618264457194
Factor5_oxidative,Phocaeicola dorei,0.011451841835741189,0.8316690724053717,0.907275351714951
Factor5_oxidative,Gemmiger qucibialis,-0.09801458901406687,0.06821035206490007,0.13462569486493434
