target,target_name,r2_species_only,r2_full,r2_delta
C07151_Metformin,C07151,-0.07329132916959841,-0.07257401696522812,0.0007173122043702823
C00423_trans-Cinnamate,C00423,0.09216006862149544,0.09840271326473608,0.006242644643240647
C00122_Fumarate,C00122,0.0815113640953004,0.08619472791101179,0.004683363815711397
C01042_N-Acetylaspartate,C01042,0.24635079823199332,0.24745843849695975,0.0011076402649664308
C01959_Taurocyamine,C01959,-0.0790753875574631,-0.08105132240096774,-0.0019759348435046398
C08262_Isovalerate,C08262,0.025511548526125315,0.02701103826121436,0.0014994897350890449
C00024_Acetyl CoA,C00024,0.05394502966793583,0.0689591458005887,0.015014116132652876
C00346_Ethanolamine phosphate,C00346,-0.13425810039183836,-0.1272755554245788,0.006982544967259557
C01879_5-Oxoproline,C01879,0.03584001676109133,0.030015802176876116,-0.005824214584215216
C16741_5-Hydroxylysine,C16741,0.03352191466592215,0.03028592039167267,-0.0032359942742494797
C08277_Sebacate,C08277,0.3818775747479002,0.38347219832388474,0.001594623575984555
C01015_Hydroxyproline,C01015,0.0819985277492959,0.07802541757156051,-0.003973110177735398
C02037_Gly-Gly,C02037,0.08363525324502437,0.08238133679266037,-0.0012539164523640012
_DCA,_DCA,-0.014898228671692904,-0.009874155651758355,0.005024073019934549
C00879_Mucate,C00879,-0.07641550479497149,-0.07919842834533633,-0.0027829235503648436
