Species,Metabolite,n_datasets,mean_rho,datasets
14-2 sp000403255,C00750_Spermine,2,-0.29945849219025006,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Agathobaculum sp900291975,C01672_Cadaverine,2,-0.24151109412692365,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes cottocaccae,C00062_Arg,2,0.3179529895351525,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes finegoldii,C00062_Arg,2,0.26418206015752477,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes provencensis,C00750_Spermine,2,0.2706648860490488,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes senegalensis,C00750_Spermine,2,0.29694309173493777,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes shahii,C00750_Spermine,2,0.29072213186712215,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes sp001941065,C00750_Spermine,2,0.32397114062703475,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes sp900541585,C00750_Spermine,2,0.2892669917223914,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes sp900549305,C00062_Arg,2,0.35522109985800654,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes timonensis,C00062_Arg,2,0.3440574389189057,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alistipes timonensis,C00750_Spermine,2,0.3221615259913124,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Allisonella histaminiformans,C01672_Cadaverine,2,0.41237015968146695,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Alloprevotella sp900541335,C00750_Spermine,2,-0.25396249352898503,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
Bacteroides sp900552405,C00750_Spermine,2,0.2501933266361585,"['ERAWIJANTARI-GASTRIC-CANCER-2020', 'YACHIDA-CRC-2019']"
