Polyamine,Species,A1_SHAP_top20,A2B_delta_top20,A2C_interaction_A_sig,A2C_interaction_B_sig,Evidence_count
Putrescine,CAG-83 sp900549395,False,True,False,False,1
Putrescine,Prevotella pallens,False,True,False,False,1
Putrescine,Angelakisella massiliensis,True,False,False,False,1
Putrescine,CAG-83 sp000431575,False,True,False,False,1
Putrescine,Avispirillum sp018370615,True,False,False,False,1
Putrescine,Clostridium_A leptum,False,True,False,False,1
Putrescine,Allochristensenella caecavium,False,True,False,False,1
Putrescine,HGM12998 sp900756495,True,False,False,False,1
Putrescine,Prevotella enoeca,False,True,False,False,1
Putrescine,UBA11774 sp003507655,False,True,False,False,1
Putrescine,Rothia sp001808955,True,False,False,False,1
Putrescine,Faecimorpha stercoravium,False,True,False,False,1
Putrescine,Granulicatella sp900551535,True,False,False,False,1
Putrescine,UMGS856 sp900546265,True,False,False,False,1
Putrescine,Mediterraneibacter sp900120155,False,True,False,False,1
Putrescine,Intestinimonas timonensis,True,False,False,False,1
Putrescine,Scatavimonas merdigallinarum,False,True,False,False,1
Putrescine,Granulicatella sp905371865,True,False,False,False,1
Putrescine,Dysosmobacter sp900115635,True,False,False,False,1
Putrescine,Alistipes communis,False,True,False,False,1
Putrescine,Granulicatella adiacens,True,False,False,False,1
Putrescine,Intestinimonas butyriciproducens,True,False,False,False,1
Putrescine,Intestinimonas massiliensis,True,False,False,False,1
Putrescine,UMGS1865 sp900547725,False,True,False,False,1
Putrescine,Dysosmobacter sp900544105,False,True,False,False,1
Putrescine,NSJ-51 sp900549795,True,False,False,False,1
Putrescine,Granulicatella sp001071995,True,False,False,False,1
Putrescine,Acutalibacter sp900755895,True,False,False,False,1
Putrescine,Pseudoflavonifractor capillosus,True,False,False,False,1
Putrescine,Faecousia sp900554625,True,False,False,False,1
Putrescine,Granulicatella sp015264885,True,False,False,False,1
Putrescine,Meiothermus_B silvanus,False,True,False,False,1
Putrescine,Prevotella buccalis,False,True,False,False,1
Putrescine,Limivicinus sp900549545,False,True,False,False,1
Putrescine,Gemella sp900766305,True,False,False,False,1
Putrescine,Hydrogenoanaerobacterium sp014384885,False,True,False,False,1
Putrescine,Massilimaliae massiliensis,False,True,False,False,1
Putrescine,Dysosmobacter sp018228705,True,False,False,False,1
Putrescine,Prevotella veroralis,False,True,False,False,1
Putrescine,Blautia_A faecis,False,True,False,False,1
Spermidine,Bifidobacterium moukalabense,True,True,False,False,2
Spermidine,Barnesiella intestinihominis,True,True,False,False,2
Spermidine,Limisoma sp900541935,False,True,False,False,1
Spermidine,CAG-1031 sp900752535,False,True,False,False,1
Spermidine,Alistipes sp900549305,False,True,False,False,1
Spermidine,Massiliomicrobiota sp002160865,True,False,False,False,1
