feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval,metabolite_name,pathway
C01015_Hydroxyproline,13234.5,4.706008268104447e-05,-0.2786338824211392,0.30437007772070723,0.0780714531947289,0.23271390745568277,0.04982734463153293,-1.9629594934922867,0.007059012402156671,C01015,Other
C00093_Glycerophosphate,8071.0,0.001297298476599919,0.2202309067194822,0.29430715262871016,0.490985037714589,0.3163987951870839,0.5724986880429321,0.7383564536120502,0.06000582739383441,C00093,Other
C00357_N-Acetylglucosamine 6-phosphate,8060.5,0.0012318834555270289,0.221245350466161,0.05213001760566788,0.26003616718809863,0.11367888938721338,0.3181270850523896,2.3185260203603253,0.06000582739383441,C00357,Other
C00123_Leu,8114.0,0.0016001553971689176,0.21607651804260664,1.5425451034150788,1.7496255567656587,1.4060754744920647,1.736515461256737,0.18173352514632155,0.06000582739383441,C00123,Amino Acid
C05584_4-Hydroxy-3-methoxymandelate,12470.5,0.0027762569031177537,-0.20482102313897887,-0.3855429436093681,-0.6459513784523708,-0.6392085496451125,-0.7739174755031806,0.7445340137647256,0.06755021134307794,C05584,Other
C00270_N-Acetylneuraminate,8195.0,0.002353542275532259,0.2082508091396551,-0.06892181959865726,0.15091540003095658,-0.14680792509141205,0.3268415509971032,,0.06755021134307794,C00270,Other
C02155_Gly-Leu,8280.5,0.0034904247083297115,0.19999033863098403,0.2092760995029831,0.3458186040455672,0.28933641509145813,0.41118199020308865,0.7246079240004027,0.06755021134307794,C02155,Other
C01046_N-Methylglutamate,12413.5,0.0036026779382974904,-0.19931404279986475,-0.4817540181348905,-0.7298946776716422,-0.4382667155786746,-0.708693398563422,0.5993916024821562,0.06755021134307794,C01046,Other
C01425_Glu-Glu,8338.5,0.004525192678247756,0.19438674460171002,-0.6606028002618606,-0.5091050098945323,-0.7247294098827469,-0.5672700597048721,-0.37581982315317,0.07541987797079593,C01425,Other
C00079_Phe,8442.0,0.00708248040310675,0.1843872276701609,1.31920347415257,1.5139322678022158,1.1828819858335835,1.4690459594136065,0.19863355826581347,0.10623720604660125,C00079,Other
C08262_Isovalerate,8631.0,0.015258389111701149,0.16612724022994063,1.7282532643378796,1.9211246978924712,1.919309497943061,2.0609160211356454,0.15263651493702907,0.2080689424322884,C08262,Other
C02037_Gly-Gly,8695.0,0.019497842312420625,0.15994396405970723,-0.7199755221371175,-0.5726807532251198,-0.9115486972353727,-0.7712785906927992,-0.3302167410072234,0.20970092315415828,C02037,Other
C00785_Urocanate,8696.0,0.019572086161054773,0.15984735036954734,-0.4983901608863879,-0.3564433375301416,-0.4243542398102067,-0.25828753744525135,-0.4836028333758069,0.20970092315415828,C00785,Other
C00122_Fumarate,8693.0,0.01935089500079637,0.16013719144002703,-0.21784290136213413,-0.07973302029636331,-0.3573062568126082,-0.19704396022270654,-1.4500388890573248,0.20970092315415828,C00122,Other
C00042_Succinate,8807.0,0.02942227509420279,0.1491232307617989,2.001876107777579,2.1427169046044106,1.84999441311293,2.0004018989425942,0.09808856258850106,0.25960830965473053,C00042,Other
C00191_Glucuronate,8798.5,0.02853954068530836,0.14994444712815802,0.11042176148476643,0.3386629432224265,-0.21837812724520833,-0.040091214784240936,1.616825605007187,0.25960830965473053,C00191,Other
C02115_Alpha-Methylserine,11905.0,0.02828509202015156,-0.15018598135355776,-0.23846251693716763,-0.3645347836917681,-0.27877741428974145,-0.389043559809263,0.6122939722911847,0.25960830965473053,C02115,Other
2-Hydroxyoctanoate,11877.5,0.03120023272054836,-0.1475291048741607,-0.23060369516276386,-0.46890271942277145,-0.5725022671105858,-0.6761020901285316,1.0238730185110498,0.260001939337903,2-Hydroxyoctanoate,Other
C05341_beta-Ala-Lys,8863.0,0.035839237407940074,0.14371286411284478,-0.4221172427328734,-0.29450361376093037,-0.29835934073534065,-0.28949679317828436,-0.5193584264671102,0.2663798309419843,C05341,Other
C00407_Ile,8888.0,0.03906904187149103,0.14129752185884736,1.1726197240338079,1.294738009873216,1.0018290644637988,1.2261730765050431,0.14292496922518838,0.2663798309419843,C00407,Amino Acid
C03570_Mannosamine,11849.0,0.034491195270507556,-0.14477561470460354,-0.8007333919249144,-1.0105999726519679,-1.131874452020059,-1.2327513275129478,0.33581817103151035,0.2663798309419843,C03570,Other
C00346_Ethanolamine phosphate,8883.5,0.03846880535850041,0.1417322834645669,-0.793242372492436,-0.6797451875382089,-0.9261003554555745,-0.8708580526533309,-0.22276771183356356,0.2663798309419843,C00346,Other
C00383_Malonate,11653.5,0.06601116307438129,-0.12588763827834404,0.27352413665790226,0.1451912980269954,0.3130294039595505,-0.032810405734541526,-0.9137131534001235,0.2974543454779267,C00383,Other
C02571_o-Acetylcarnitine,9059.5,0.06854527929328592,0.12472827399642528,-0.5608222405182471,-0.4636907610457998,-0.6255485923024733,-0.47865548828990234,-0.27438058239293994,0.2974543454779267,C02571,Other
C11118_1-Methyl-2-pyrrolidinone,9049.5,0.06642809659114948,0.12569441089802424,0.2177530085332794,0.3677042541677556,-0.07605445085517526,0.1129214123148885,0.7558532136298147,0.2974543454779267,C11118,Other
C00178_Thymine,11667.5,0.06315460053201172,-0.1272402299405826,0.6660423371820177,0.5650778367673398,0.8021441172341053,0.6807935282727242,-0.23716427961727266,0.2974543454779267,C00178,Other
C01585_Hexanoate,8982.5,0.053596626732424414,0.13216752813873722,0.8412466737766148,0.9911608575580338,0.9044440963187299,1.0376378782594806,0.23659031870286146,0.2974543454779267,C01585,Other
C01047_N-gamma-Ethylglutamine,11710.0,0.05509950496999924,-0.1313463117723781,-0.39651664604192954,-0.5362208518582683,-0.23259808461244225,-0.4294131948701885,0.4354458904732934,0.2974543454779267,C01047,Other
C05984_2-Hydroxybutyrate,9053.0,0.06716198044431351,0.1253562629824646,0.12000934703098312,0.23243265275115818,-0.09057534125622269,0.022100193439029026,0.9536659750126442,0.2974543454779267,C05984,Other
C00186_Lactate,8972.0,0.051786795584352834,0.13318197188541614,1.6234689670147777,1.742500488363887,1.630682755728199,1.6888335120700166,0.10207925293381548,0.2974543454779267,C00186,Other
