feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
Muribaculum sp910589555,13223.0,5.0451513790933466e-05,-0.27752282498430025,0.3857966272815097,-0.7753357065947277,1.6836555964217705,-1.457849325306782,,0.025225756895466734
Lachnospira sp000436535,13042.0,0.00014583126560225725,-0.26003574706535915,1.2610130577011271,0.280506909717843,1.307519320549705,0.11604318215528941,-2.1684749965038455,0.036457816400564315
Lachnospira eligens,12829.0,0.00046975352547364523,-0.23945703106130134,2.5571209938479016,1.586178098676329,3.012503079294028,1.597017824652598,-0.6889656567344032,0.07829225424560754
Lachnospira sp003451515,12597.0,0.0015244293717984626,-0.2170426549442055,2.582609975789819,1.6350359729732271,2.8386163817553847,1.4036672266117147,-0.6595074073534587,0.16393031737260486
Lachnospira rogosae_A,12582.0,0.0016393031737260485,-0.21559344959180726,3.296486790333068,2.225791559156476,3.129790363782278,1.7860434111553758,-0.566610806444611,0.16393031737260486
Duncaniella sp910577345,12513.0,0.0022775018261190962,-0.20892710497077438,-0.5357325982141575,-1.225336680399275,-1.0245083601605405,-2.331660729685206,1.193593219384284,0.18979181884325802
Lachnospira sp000436475,12374.0,0.0043002778276863525,-0.19549780203854894,1.8563900654351555,1.0880411686392788,1.7486874510505555,0.6592275094780486,-0.7707667359999184,0.2069767764531318
Faecimonas sp905209745,8257.0,0.0031363420758875734,0.2022607603497416,-0.12261732509715254,0.9509430023776522,-0.862651154895314,1.6513532498256822,,0.2069767764531318
Sediminibacterium sp902168225,8295.0,0.0037266770930100045,0.19858944012366553,-0.8233366027397523,-0.12201125584434303,-1.147193716823681,1.5582856363163966,-2.754468128727534,0.2069767764531318
CAIFEB01 sp903789375,12323.0,0.005381396187781427,-0.1905705038403942,0.9760313929911449,0.27147630672626,1.7460669104971505,1.6600943901111638,-1.8461012560569925,0.2069767764531318
Acutalibacter sp910580045,8366.0,0.005106984945677767,0.19172986812231296,-1.5934372705708926,-0.7818548946500783,-2.669977657307994,-1.5453754287717985,-1.0271694400140408,0.2069767764531318
Alistipes shahii,8304.0,0.0038805321708016553,0.19771991691222646,2.963825198166766,3.7308516724974723,2.7330403634002085,4.069076337147863,0.3320446417281952,0.2069767764531318
Lachnospira sp003537285,12342.0,0.004952814946548566,-0.19240616395343224,2.334117893458712,1.5869711517583454,2.725830485487455,1.444048201337731,-0.5566015285217327,0.2069767764531318
Agathobacter faecis,12256.0,0.007172939030424702,-0.1840973865996811,3.7747266316180865,3.0121774251650497,3.6242571156645162,2.379340067524936,-0.3255654160838456,0.25617639394373937
Roseburia intestinalis,12196.0,0.009213654040516786,-0.17830056519008752,3.5667675737276263,2.915266198275577,3.2390708923580664,2.6092338418425527,-0.29098958186213325,0.2709898247210819
Lachnospira eligens_A,12214.0,0.008552858404165945,-0.18003961161296567,3.4803602187070317,2.6923363838070418,3.8878224081235304,2.42620262772682,-0.3703779599117586,0.2709898247210819
Alistipes_A indistinctus,8500.0,0.009025675182249884,0.1787836336408869,-0.0985571221151476,0.6680132234665851,0.4390509462059171,1.3589512955652996,,0.2709898247210819
Aphodousia sp900553105,8556.0,0.011340040842739813,0.17337326699193278,-0.8992629964178317,-0.25463311493590884,-2.2407952875175123,1.4457087630426564,-1.8203230554731016,0.2984221274405214
Anaerostipes hadrus,12146.0,0.011294475961886052,-0.17346988068209268,3.7084752185205945,3.135365436594275,4.565464630942728,3.9413578353100416,-0.24219252490241672,0.2984221274405214
Leptotrichia wadei,12112.0,0.012938195555118829,-0.1701850152166562,0.3404387736245884,-0.22328938806058338,1.70673250200322,1.5582856363163966,,0.3234548888779707
Sutterella wadsworthensis_A,8621.0,0.014675014753933204,0.1670933771315395,0.7271936542195084,1.6635491831867573,0.9583035151858841,1.6061960867032514,1.1938530041515572,0.3494051131888858
Clostridium_A leptum,8669.0,0.017665561475139525,0.16245592000386455,1.7174819758822943,2.4062615845168605,1.9214553826181806,2.543495941478774,0.48649852731181303,0.3840339451117288
Limimorpha sp017651645,12041.0,0.01706719581181964,-0.1633254432153035,0.12598806256131356,-0.4947541079756724,1.6154717246871826,1.1662605063475322,,0.3840339451117288
UBA11471 sp000434215,8700.0,0.019869601564554057,0.15946089560890775,-0.34762220410466127,0.33960758601971547,-1.0416868214430792,-0.499872060093395,,0.39889059235421
Porphyromonas circumdentaria,12000.0,0.0199445296177105,-0.15936428191874796,0.06481673974952207,-0.4338206450350932,1.6644395706203952,-0.5212408914196818,,0.39889059235421
Centipeda sp001717585,11942.0,0.02473420019319753,-0.15376068788947395,0.5581254100461209,0.07813115454795072,1.724116537782379,1.6203986538017734,-2.8366194760432655,0.4264517274689229
UMGS2070 sp905203455,11970.0,0.022310017309520203,-0.15646587121395106,0.6371508502174978,-0.0604532066150559,1.6976031730114958,1.6146055107493886,,0.4264517274689229
UBA4248 sp004554395,8754.0,0.02428527374545408,0.15424375634027343,-0.8437384943212524,-0.19562226828128942,-1.8340081404537045,1.380600249574222,-2.1087253234444003,0.4264517274689229
CAG-1427 sp900539675,11960.0,0.023150974462001095,-0.1554997343123521,0.3703050038950158,-0.2590081753876922,1.7016038681520964,1.5536896784161254,,0.4264517274689229
Clostridium sp900116755,8789.0,0.027581568133459543,0.15086227718467704,-1.2113321594276707,-0.6250413633606563,-2.112051348481323,-0.6705251331879971,-0.9545709505760919,0.4419569909550967
CAG-41 sp900066215,11905.0,0.02828524742112619,-0.15018598135355776,3.374069453987776,2.63190615942444,4.433949714359517,3.8624142179610175,-0.3583816204416101,0.4419569909550967
Alistipes_A ihumii,8780.0,0.026699064296060632,0.1517318003961161,-0.1997055034347021,0.4870217109670951,-0.6737253554003271,-0.2706913178171444,,0.4419569909550967
Faecalibacterium prausnitzii_G,11881.0,0.030816527293864172,-0.14786725278972024,4.967688441637688,4.376984437551504,5.596322326012756,5.23583224135623,-0.18263744043881172,0.45803259146946407
Tannerella forsythia_A,11878.0,0.03114621621992356,-0.14757741171924055,-0.22819959704700654,-0.7622785717280027,1.3988008409916315,-1.4194086976547329,1.7400220816486696,0.45803259146946407
Bifidobacterium bifidum,11864.0,0.03272507808560441,-0.146224820057002,0.9307732722868535,0.4196292002593358,0.6580483115178115,0.2362616658625072,-1.149314709010767,0.4593358585316283
Faecalibacterium sp900539945,11861.0,0.033072181814277235,-0.1459349789865223,3.9376028593945414,3.3328495715572015,4.238066777813156,3.821044440406884,-0.24056140773691398,0.4593358585316283
Avichristensenella intestinipullorum,11834.0,0.0363403839251566,-0.1433264093522053,0.07194539341964905,-0.2976582844944445,1.5895565164585488,0.8944457549097677,,0.491086269258873
Clostridium sp900766315,8885.0,0.03866888576353347,0.14158736292932705,-0.3378306315082192,0.1135838877431991,-0.26903935887119346,1.2216247619773082,,0.504330281986254
CAG-485 sp900759795,11811.0,0.039337761994927806,-0.14110429447852768,0.051545615095210745,-0.4224215554730766,1.5931106426629462,0.9166481551153804,,0.504330281986254
UBA5026 sp900557305,8910.0,0.04211233942362778,0.13917202067532974,0.49077006367591697,1.2139781061137507,1.5765837242994447,1.7606198004478948,1.3066232470100878,0.5153086514720279
Slackia_A piriformis,8911.0,0.04225530942070629,0.13907540698516985,-0.457544301854306,0.14230816099171256,1.3287649897945712,1.6137142138810976,,0.5153086514720279
Cetobacterium_A sp000799075,11776.0,0.04430039012620113,-0.1377228153229313,0.11623357059252568,-0.2981941181035395,1.6644395706203952,1.3610180933845655,,0.5273855967404896
Bilophila wadsworthia,8950.0,0.04816015664550313,0.13530747306893387,2.9892256303151234,3.423333136756408,3.826155197238311,4.254338533623574,0.1956298954496382,0.5600018214593387
Lachnospira sp000437735,11707.0,0.05563917883919813,-0.1310564707018984,2.3838857379543583,1.7864380837821776,2.206067214622287,0.9348833389690583,-0.4162291750541546,0.585234897893964
Chitinophaga silvisoli,8977.0,0.052642154097953864,0.13269890343461666,0.3265274410395605,0.9806037919387135,1.5685165476792182,1.6965373440263338,1.586466097991597,0.585234897893964
Faecimonas sp900554315,8997.0,0.05618255019782055,0.13076662963141872,-0.8996204394806312,-0.3806350208297432,-1.6552963682398172,0.883794416248298,-1.2409081370845458,0.585234897893964
