feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
Barnesiella intestinihominis,2889.0,0.02887524065350444,0.20182345627849152,1.8223219521187275,2.791482575323495,1.5455126922714708,2.6219149857693687,0.6152536858743048,0.5742352664821869
Faecalibacterium prausnitzii,4352.0,0.028439318102725045,-0.2023760187871253,3.8800410299031993,3.1762238715697886,4.290334840909478,3.4997784296386545,-0.288759305992661,0.5742352664821869
Alistipes shahii,2908.0,0.03331131416027669,0.1965741124464705,2.963825198166766,3.737857844252204,2.7330403634002085,3.8252807934110047,0.33475134017071917,0.5742352664821869
Duncaniella sp910577345,4339.0,0.03137702804145883,-0.19878436248100573,-0.5357325982141575,-1.4322100124724186,-1.0245083601605405,-2.1273496480838237,1.4186580709136443,0.5742352664821869
Acidaminococcus intestini,4373.0,0.02419403433201458,-0.20817792512778,1.036708800830196,-0.028619186767405685,1.5765837242994447,-0.4108077421850549,,0.5742352664821869
Fimivicinus sp900544375,2822.0,0.017044623638212526,0.2203343003177235,-0.8866314351336054,0.1118700662527456,-1.7796427819251832,-0.8195093627201722,,0.5742352664821869
Lachnospira rogosae_A,4361.0,0.026547124709569134,-0.2048625500759773,3.296486790333068,2.350569219995989,3.129790363782278,1.7743924854589963,-0.4879191341272901,0.5742352664821869
Roseburia inulinivorans,4285.0,0.046523308816374044,-0.18386517474789343,4.501596067530271,3.757278157863195,4.930366973858462,3.8407320912411755,-0.2607486829801539,0.5742352664821869
Aphodovivens excrementavium,4251.0,0.058913470230924546,-0.17447161210111894,0.4977911475487692,-0.38878193746183315,1.6910180271121114,1.5328486610464083,,0.5742352664821869
Faecivicinus avistercoris,2965.0,0.050266771749335595,0.18082608095040753,-0.46320604861300324,0.28099101969826334,0.1575051218923882,1.5440034744352698,,0.5742352664821869
Fimivicinus sp900544715,2942.0,0.04270997530948754,0.18718054979969612,-0.9710201129825929,-0.3396085792544908,-1.5282753602291095,-0.704154149143525,-1.5156282766405271,0.5742352664821869
CAG-127 sp900319515,4371.0,0.024573186264266866,-0.20762536261914621,1.543640593262367,0.7192927820803944,1.1024416295239892,0.12308446737014123,-1.1016858548938764,0.5742352664821869
Escherichia fergusonii,4259.0,0.05577548560971825,-0.17668186213565407,0.9856052528339307,0.28328538435482215,1.073086950978217,-0.5971128907228298,-1.7987537711921946,0.5742352664821869
Escherichia sp002965065,4293.0,0.04395061255571096,-0.18607542478242856,1.131978246252094,0.41474121495582617,1.2894673708320674,-0.44825636274778624,-1.4485629038305015,0.5742352664821869
UBA11471 sp000434215,2910.0,0.03381053103760651,0.19602154993783671,-0.34762220410466127,0.29618739974694164,-1.0416868214430792,-0.4546470967289906,,0.5742352664821869
Neisseria flavescens_C,2820.0,0.016769148580730277,0.22088686282635728,-0.4350854924446521,0.4252759336455299,0.5374682766226435,1.7208749967907924,,0.5742352664821869
Escherichia coli_E,4259.0,0.05577548560971825,-0.17668186213565407,0.5107044956577452,-0.14243097386157844,0.9160599945732333,-0.7086233156405193,,0.5742352664821869
Escherichia sp001660175,4526.0,0.006687357476183131,-0.25044895703826486,0.516691771082735,-0.4691034787308711,1.072623319979252,-1.4505606603698968,,0.5742352664821869
Dialister sp000434475,4501.0,0.00835960560337841,-0.2435419256803426,-0.4330543223345106,-1.5960943435626693,-0.9455562325909792,-2.4578190596430094,1.881926019706254,0.5742352664821869
UBA1685 sp900546845,4307.0,0.03973731295860857,-0.18994336234286502,-0.35107174070577224,-1.1650615898355405,1.307519320549705,-2.208487217693161,1.7305684492271598,0.5742352664821869
Porphyromonas sp001552775,2974.0,0.05351444849563092,0.17833954966155552,-0.6542170756754238,0.08657520356579193,0.2973052319329721,1.6654971683749302,,0.5742352664821869
Streptococcus oralis_BH,2828.0,0.01789501356360703,0.21867661279182204,-0.7487583101913798,0.016451849442873992,-1.151741566535362,1.5491807664479254,,0.5742352664821869
