Species,Metabolite,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence
Acetatifactor intestinalis,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
ER4 sp000765235,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C08277_Sebacate,True,True,False,False,False,False,False,2,Medium (2)
ER4 sp900552015,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii_C,C05332_Phenethylamine,True,True,False,False,False,False,False,2,Medium (2)
Avispirillum faecium,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
ER4 sp900552015,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Avispirillum faecium,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes shahii,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Gemmiger qucibialis,C05332_Phenethylamine,True,True,False,False,False,False,False,2,Medium (2)
Faecalibacterium prausnitzii_C,C00398_Tryptamine,False,True,False,False,True,False,False,2,Medium (2)
Acetatifactor sp003447295,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium sp900539945,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
CAG-170 sp000432135,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii,C05332_Phenethylamine,True,True,False,False,False,False,False,2,Medium (2)
ER4 sp900552015,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp000434635,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecalibacterium prausnitzii,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alistipes putredinis,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003451515,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira sp003537285,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
UBA5905 sp900763035,C00431_5-Aminovalerate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecousia sp003525905,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C00134_Putrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
ER4 sp000765235,"C03283_2,4-Diaminobutyrate",False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-170 sp000432135,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
Faecivivens stercoravium,C02714_N-Acetylputrescine,True,True,False,False,False,False,False,2,Medium (2)
ER4 sp900552015,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_C sp000980705,C05332_Phenethylamine,True,True,False,False,False,False,False,2,Medium (2)
Erysipelatoclostridium ramosum,C00398_Tryptamine,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-103 sp900543625,C00695_Cholate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor sp003447295,C05629_3-Phenylpropionate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens_A,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_D bicirculans,C05332_Phenethylamine,False,True,False,False,False,False,False,1,Low-Medium (1)
CAG-127 sp900319515,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Lachnospira eligens,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Alangreenwoodia gallinarii,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Acetatifactor intestinalis,C02714_N-Acetylputrescine,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_D bicirculans,C02678_Dodecanedioate,False,True,False,False,False,False,False,1,Low-Medium (1)
Ruminococcus_E bromii_B,C08277_Sebacate,False,True,False,False,False,False,False,1,Low-Medium (1)
