Species,Metabolite,kegg_id,genus,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence,pathway,rho,abs_rho
UBA1829 sp900548385,C00383_Malonate,C00383,UBA1829,True,True,False,False,True,False,False,3,Medium-High (3),Other,-0.2430459754485801,0.2430459754485801
Sediminibacterium sp902168225,C01118_o-Succinylhomoserine,C01118,Sediminibacterium,True,True,False,False,True,False,False,3,Medium-High (3),Other,-0.296964111186868,0.296964111186868
UMGS687 sp900545735,C01118_o-Succinylhomoserine,C01118,UMGS687,True,True,False,False,True,False,False,3,Medium-High (3),Other,-0.3420317073400638,0.3420317073400638
UMGS687 sp900545735,C00383_Malonate,C00383,UMGS687,True,True,False,False,True,False,False,3,Medium-High (3),Other,-0.3177152312069549,0.3177152312069549
UBA5905 sp900763035,C02714_N-Acetylputrescine,C02714,UBA5905,True,True,False,False,False,False,False,2,Medium (2),Other,0.4954833680759194,0.4954833680759194
CAG-170 sp000432135,C00785_Urocanate,C00785,CAG-170,True,True,False,False,False,False,False,2,Medium (2),Other,0.3152095242914078,0.3152095242914078
QAMH01 sp900544245,C17714_Heptanoate,C17714,QAMH01,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2749288185111556,0.2749288185111556
Alistipes shahii,C16741_5-Hydroxylysine,C16741,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,-0.3352715591183152,0.3352715591183152
UMGS902 sp003343845,3-Indoxyl sulfate,3-Indoxyl sulfate,UMGS902,True,True,False,False,False,False,False,2,Medium (2),Other,-0.2526838785621424,0.2526838785621424
Scatavimonas merdipullorum,C00314_Pyridoxine,C00314,Scatavimonas,True,True,False,False,False,False,False,2,Medium (2),Other,-0.27052709283992,0.27052709283992
Veillonella parvula_A,C02714_N-Acetylputrescine,C02714,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other,0.3339668182933071,0.3339668182933071
Fusobacterium_A mortiferum,C00407_Ile,C00407,Fusobacterium,True,True,False,False,False,False,False,2,Medium (2),Amino Acid,0.2820890241191476,0.2820890241191476
Alistipes putredinis,C01042_N-Acetylaspartate,C01042,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.333474256691514,0.333474256691514
QAMH01 sp900544245,C16741_5-Hydroxylysine,C16741,QAMH01,True,True,False,False,False,False,False,2,Medium (2),Other,0.2413331638806874,0.2413331638806874
Alistipes avistercoris,C00785_Urocanate,C00785,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other,0.2598353089447455,0.2598353089447455
UMGS687 sp900545735,C05341_beta-Ala-Lys,C05341,UMGS687,False,True,False,False,True,False,False,2,Medium (2),Other,0.3331653882668304,0.3331653882668304
Faecousia sp003525905,C00134_Putrescine,C00134,Faecousia,False,True,False,True,False,False,False,2,Medium (2),Polyamine,-0.3638614302150785,0.3638614302150785
