Species,Metabolite,kegg_id,genus,E1_shap_stable,E2_spearman,E3_kegg,E4_glasso,E5_mofa,E6_mediation,E7_within_stage,Evidence_score,Confidence,pathway
Aphodousia sp900553105,C00383_Malonate,C00383,Aphodousia,True,True,False,False,True,True,False,4,High (4+),Other
Sediminibacterium sp902168225,C00383_Malonate,C00383,Sediminibacterium,True,True,False,False,True,True,False,4,High (4+),Other
Aphodousia sp900553105,C01118_o-Succinylhomoserine,C01118,Aphodousia,True,True,False,False,True,True,False,4,High (4+),Other
UBA1829 sp900548385,C00383_Malonate,C00383,UBA1829,True,True,False,False,True,False,False,3,Medium-High (3),Other
Clostridium_A leptum,C00245_Taurine,C00245,Clostridium,True,True,False,False,False,True,False,3,Medium-High (3),Other
Sediminibacterium sp902168225,C01118_o-Succinylhomoserine,C01118,Sediminibacterium,True,True,False,False,True,False,False,3,Medium-High (3),Other
Alistipes shahii,C00245_Taurine,C00245,Alistipes,True,True,False,False,False,True,False,3,Medium-High (3),Other
UMGS687 sp900545735,C01118_o-Succinylhomoserine,C01118,UMGS687,True,True,False,False,True,False,False,3,Medium-High (3),Other
UMGS687 sp900545735,C00383_Malonate,C00383,UMGS687,True,True,False,False,True,False,False,3,Medium-High (3),Other
Aphodousia sp900553105,C00423_trans-Cinnamate,C00423,Aphodousia,True,True,False,False,False,True,False,3,Medium-High (3),Other
Acutalibacter sp910580045,C11118_1-Methyl-2-pyrrolidinone,C11118,Acutalibacter,True,True,False,False,False,True,False,3,Medium-High (3),Other
CCUG-7971 sp017590215,C00255_Riboflavin,C00255,CCUG-7971,True,True,False,False,False,True,False,3,Medium-High (3),Other
UBA5905 sp900763035,C02714_N-Acetylputrescine,C02714,UBA5905,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-170 sp000432135,C00785_Urocanate,C00785,CAG-170,True,True,False,False,False,False,False,2,Medium (2),Other
QAMH01 sp900544245,C17714_Heptanoate,C17714,QAMH01,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes shahii,C16741_5-Hydroxylysine,C16741,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
UMGS902 sp003343845,3-Indoxyl sulfate,3-Indoxyl sulfate,UMGS902,True,True,False,False,False,False,False,2,Medium (2),Other
Scatavimonas merdipullorum,C00314_Pyridoxine,C00314,Scatavimonas,True,True,False,False,False,False,False,2,Medium (2),Other
Veillonella parvula_A,C02714_N-Acetylputrescine,C02714,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other
Fusobacterium_A mortiferum,C00407_Ile,C00407,Fusobacterium,True,True,False,False,False,False,False,2,Medium (2),Amino Acid
Alistipes putredinis,C01042_N-Acetylaspartate,C01042,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
QAMH01 sp900544245,C16741_5-Hydroxylysine,C16741,QAMH01,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes avistercoris,C00785_Urocanate,C00785,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
UMGS687 sp900545735,C05341_beta-Ala-Lys,C05341,UMGS687,False,True,False,False,True,False,False,2,Medium (2),Other
Faecousia sp003525905,C00134_Putrescine,C00134,Faecousia,False,True,False,True,False,False,False,2,Medium (2),Polyamine
Clostridium_A leptum,C03264_2-Hydroxy-4-methylpentanoate,C03264,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes shahii,C00423_trans-Cinnamate,C00423,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Lachnospira sp000436475,C02679_Dodecanoate,C02679,Lachnospira,True,False,False,False,True,False,False,2,Medium (2),Other
Alangreenwoodia gallinarii,C02714_N-Acetylputrescine,C02714,Alangreenwoodia,True,True,False,False,False,False,False,2,Medium (2),Other
Veillonella atypica,C01042_N-Acetylaspartate,C01042,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other
Faecalibacterium prausnitzii,C05332_Phenethylamine,C05332,Faecalibacterium,True,True,False,False,False,False,False,2,Medium (2),Other
UBA5905 sp900763035,C00245_Taurine,C00245,UBA5905,True,True,False,False,False,False,False,2,Medium (2),Other
Veillonella parvula_A,_DCA,,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other
Clostridium_A leptum,C02714_N-Acetylputrescine,C02714,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other
Faecousia sp000434635,C17714_Heptanoate,C17714,Faecousia,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-488 sp900539465,C00334_GABA,C00334,CAG-488,True,True,False,False,False,False,False,2,Medium (2),Other
Clostridium_A leptum,C00785_Urocanate,C00785,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other
Avispirillum faecium,C00785_Urocanate,C00785,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other
Avispirillum faecium,C00334_GABA,C00334,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other
Clostridium_A leptum,C00134_Putrescine,C00134,Clostridium,False,True,True,False,False,False,False,2,Medium (2),Polyamine
UMGS693 sp900544555,C02378_6-Aminohexanoate,C02378,UMGS693,True,True,False,False,False,False,False,2,Medium (2),Other
Erysipelatoclostridium ramosum,C00630_Isobutyryl CoA,C00630,Erysipelatoclostridium,True,True,False,False,False,False,False,2,Medium (2),Other
Avimicrobium caecorum,C02714_N-Acetylputrescine,C02714,Avimicrobium,True,True,False,False,False,False,False,2,Medium (2),Other
Acutalibacter sp910580045,C05332_Phenethylamine,C05332,Acutalibacter,True,True,False,False,False,False,False,2,Medium (2),Other
UMGS693 sp900544555,C00314_Pyridoxine,C00314,UMGS693,True,True,False,False,False,False,False,2,Medium (2),Other
Agathobacter rectalis,C00398_Tryptamine,C00398,Agathobacter,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
Alistipes onderdonkii,C01042_N-Acetylaspartate,C01042,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-103 sp900543625,C17714_Heptanoate,C17714,CAG-103,True,True,False,False,False,False,False,2,Medium (2),Other
Bifidobacterium adolescentis,C01042_N-Acetylaspartate,C01042,Bifidobacterium,True,True,False,False,False,False,False,2,Medium (2),Other
Faecivivens stercoravium,C02714_N-Acetylputrescine,C02714,Faecivivens,True,True,False,False,False,False,False,2,Medium (2),Other
Agathobacter sp900317585,C00398_Tryptamine,C00398,Agathobacter,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
Ruminococcus_C sp000980705,C05332_Phenethylamine,C05332,Ruminococcus,True,True,False,False,False,False,False,2,Medium (2),Other
UBA5905 sp900763035,C17714_Heptanoate,C17714,UBA5905,True,True,False,False,False,False,False,2,Medium (2),Other
Alangreenwoodia gallinarii,C17714_Heptanoate,C17714,Alangreenwoodia,True,True,False,False,False,False,False,2,Medium (2),Other
Clostridium_A leptum,C00334_GABA,C00334,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other
Campylobacter_B sp900539505,C01118_o-Succinylhomoserine,C01118,Campylobacter,False,True,False,False,True,False,False,2,Medium (2),Other
Avimicrobium caecorum,C03264_2-Hydroxy-4-methylpentanoate,C03264,Avimicrobium,True,True,False,False,False,False,False,2,Medium (2),Other
ER4 sp000765235,C00003_NAD+,C00003,ER4,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes putredinis,C08262_Isovalerate,C08262,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Aphodousia sp900553105,C05341_beta-Ala-Lys,C05341,Aphodousia,False,True,False,False,True,False,False,2,Medium (2),Other
UBA1685 sp900546845,C02714_N-Acetylputrescine,C02714,UBA1685,True,True,False,False,False,False,False,2,Medium (2),Other
Lachnospira rogosae_A,C01425_Glu-Glu,C01425,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes putredinis,_DCA,,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Aphodousia sp900553105,C01047_N-gamma-Ethylglutamine,C01047,Aphodousia,False,True,False,False,True,False,False,2,Medium (2),Other
UBA737 sp902762875,C02714_N-Acetylputrescine,C02714,UBA737,True,True,False,False,False,False,False,2,Medium (2),Other
Avimicrobium caecorum,C00334_GABA,C00334,Avimicrobium,True,True,False,False,False,False,False,2,Medium (2),Other
Bifidobacterium pseudocatenulatum,C01042_N-Acetylaspartate,C01042,Bifidobacterium,True,True,False,False,False,False,False,2,Medium (2),Other
Lachnospira sp000436475,C01425_Glu-Glu,C01425,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Other
Bilophila wadsworthia,C00245_Taurine,C00245,Bilophila,True,True,False,False,False,False,False,2,Medium (2),Other
UBA11540 sp003445125,C00334_GABA,C00334,UBA11540,True,True,False,False,False,False,False,2,Medium (2),Other
Galloscillospira_B excrementipullorum,C03264_2-Hydroxy-4-methylpentanoate,C03264,Galloscillospira,True,True,False,False,False,False,False,2,Medium (2),Other
Agathobacter sp900546625,C00398_Tryptamine,C00398,Agathobacter,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
Alistipes onderdonkii,C00346_Ethanolamine phosphate,C00346,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Alangreenwoodia gallinarii,C00314_Pyridoxine,C00314,Alangreenwoodia,True,True,False,False,False,False,False,2,Medium (2),Other
Fusobacterium_A mortiferum,C00123_Leu,C00123,Fusobacterium,True,True,False,False,False,False,False,2,Medium (2),Amino Acid
Alistipes shahii,C00346_Ethanolamine phosphate,C00346,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Avispirillum faecium,3-Indoxyl sulfate,3-Indoxyl sulfate,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes shahii,C01042_N-Acetylaspartate,C01042,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-170 sp000432135,C17714_Heptanoate,C17714,CAG-170,True,True,False,False,False,False,False,2,Medium (2),Other
Lachnospira sp000436535,C01425_Glu-Glu,C01425,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes shahii,C08262_Isovalerate,C08262,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-83 sp000435555,C17714_Heptanoate,C17714,CAG-83,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-83 sp000435555,C00449_Saccharopine,C00449,CAG-83,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes_A ihumii,C17714_Heptanoate,C17714,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes onderdonkii,_DCA,,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Sediminibacterium sp902168225,C00423_trans-Cinnamate,C00423,Sediminibacterium,True,True,False,False,False,False,False,2,Medium (2),Other
Eubacterium_T sp900766045,C01104_Trimethylamine N-oxide,C01104,Eubacterium,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes_A ihumii,_DCA,,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Veillonella parvula_A,C00334_GABA,C00334,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other
Gemmiger formicilis,C00398_Tryptamine,C00398,Gemmiger,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
UMGS902 sp003343845,C00785_Urocanate,C00785,UMGS902,True,True,False,False,False,False,False,2,Medium (2),Other
Roseburia intestinalis,C00630_Isobutyryl CoA,C00630,Roseburia,True,True,False,False,False,False,False,2,Medium (2),Other
Agathobacter faecis,C00398_Tryptamine,C00398,Agathobacter,False,True,False,False,True,False,False,2,Medium (2),Indole / Tryptophan
Alangreenwoodia gallinarii,C00334_GABA,C00334,Alangreenwoodia,True,True,False,False,False,False,False,2,Medium (2),Other
Veillonella parvula_A,C07151_Metformin,C07151,Veillonella,True,True,False,False,False,False,False,2,Medium (2),Other
Gemmiger formicilis,C05332_Phenethylamine,C05332,Gemmiger,True,True,False,False,False,False,False,2,Medium (2),Other
CAG-83 sp002438575,C00449_Saccharopine,C00449,CAG-83,True,True,False,False,False,False,False,2,Medium (2),Other
Barnesiella intestinihominis,C00245_Taurine,C00245,Barnesiella,True,True,False,False,False,False,False,2,Medium (2),Other
Faecalibacterium prausnitzii_G,C05984_2-Hydroxybutyrate,C05984,Faecalibacterium,True,True,False,False,False,False,False,2,Medium (2),Other
Scatomorpha intestinavium,C00245_Taurine,C00245,Scatomorpha,True,True,False,False,False,False,False,2,Medium (2),Other
UMGS687 sp900545735,C00440_5-Methyltetrahydrofolate,C00440,UMGS687,False,True,False,False,True,False,False,2,Medium (2),Other
Prevotella sp002440225,C02679_Dodecanoate,C02679,Prevotella,True,True,False,False,False,False,False,2,Medium (2),Other
Clostridium_A leptum,3-Indoxyl sulfate,3-Indoxyl sulfate,Clostridium,True,True,False,False,False,False,False,2,Medium (2),Other
Lachnospira sp000436475,C00123_Leu,C00123,Lachnospira,True,True,False,False,False,False,False,2,Medium (2),Amino Acid
Scatavimonas merdipullorum,C00245_Taurine,C00245,Scatavimonas,True,True,False,False,False,False,False,2,Medium (2),Other
Scatavimonas merdipullorum,C01879_5-Oxoproline,C01879,Scatavimonas,True,True,False,False,False,False,False,2,Medium (2),Other
UMGS687 sp900545735,C00954_Indole-3-acetate,C00954,UMGS687,False,True,False,False,True,False,False,2,Medium (2),Other
UBA11540 sp003445125,C00879_Mucate,C00879,UBA11540,True,True,False,False,False,False,False,2,Medium (2),Other
Faecousia sp017548065,C00785_Urocanate,C00785,Faecousia,True,True,False,False,False,False,False,2,Medium (2),Other
Prevotella sp002300055,C00024_Acetyl CoA,C00024,Prevotella,True,True,False,False,False,False,False,2,Medium (2),Other
Erysipelatoclostridium ramosum,C00003_NAD+,C00003,Erysipelatoclostridium,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes onderdonkii,C16741_5-Hydroxylysine,C16741,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
Alistipes onderdonkii,C00122_Fumarate,C00122,Alistipes,True,True,False,False,False,False,False,2,Medium (2),Other
SFEL01 sp016292635,C00245_Taurine,C00245,SFEL01,True,True,False,False,False,False,False,2,Medium (2),Other
Phascolarctobacterium_A succinatutens_A,C00383_Malonate,C00383,Phascolarctobacterium,True,True,False,False,False,False,False,2,Medium (2),Other
Avispirillum faecium,C01879_5-Oxoproline,C01879,Avispirillum,True,True,False,False,False,False,False,2,Medium (2),Other
UMGS1322 sp905214315,C01879_5-Oxoproline,C01879,UMGS1322,True,True,False,False,False,False,False,2,Medium (2),Other
Aphodousia sp900553105,C00440_5-Methyltetrahydrofolate,C00440,Aphodousia,False,True,False,False,True,False,False,2,Medium (2),Other
Morganella psychrotolerans_B,C00003_NAD+,C00003,Morganella,True,True,False,False,False,False,False,2,Medium (2),Other
