target,species,shap_importance,kegg_id,gutsmash_class,scope,metabolite_name,genus,pathway,match_level,gutsmash_positive
3-Indoxyl sulfate,Avispirillum faecium,0.022657010684879558,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Avispirillum,Other,novel,False
3-Indoxyl sulfate,Clostridium disporicum,0.02659062680105043,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Clostridium,Other,genus,True
3-Indoxyl sulfate,Clostridium saudiense,0.03269228065091934,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Clostridium,Other,genus,True
3-Indoxyl sulfate,Clostridium_A leptum,0.021867397175161823,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Clostridium,Other,genus,True
3-Indoxyl sulfate,Escherichia coli,0.01727190397041528,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Escherichia,Other,species,True
3-Indoxyl sulfate,Fusobacterium_A ulcerans_A,0.05520848760408665,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Fusobacterium,Other,genus,True
3-Indoxyl sulfate,Lactobacillus amylolyticus,0.01898583225847474,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Lactobacillus,Other,novel,False
3-Indoxyl sulfate,Pauljensenia turicensis,0.05320020151181086,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Pauljensenia,Other,novel,False
3-Indoxyl sulfate,UMGS902 sp003343845,0.01484663915087605,,Indole,gutsmash_relevant,3-Indoxyl sulfate,UMGS902,Other,novel,False
3-Indoxyl sulfate,Veillonella atypica,0.018426698598386082,,Indole,gutsmash_relevant,3-Indoxyl sulfate,Veillonella,Other,novel,False
C00086_Urea,Alistipes avistercoris,0.0061824610695236926,C00086,Urea,gutsmash_relevant,Urea,Alistipes,Other,genus,True
C00086_Urea,Brachyspira aalborgi,0.010741988976639326,C00086,Urea,gutsmash_relevant,Urea,Brachyspira,Other,novel,False
C00086_Urea,Clostridium saudiense,0.006196241355780393,C00086,Urea,gutsmash_relevant,Urea,Clostridium,Other,novel,False
C00086_Urea,Egerieicola pullicola,0.010576665470526133,C00086,Urea,gutsmash_relevant,Urea,Egerieicola,Other,novel,False
C00086_Urea,Escherichia coli,0.009764273436994647,C00086,Urea,gutsmash_relevant,Urea,Escherichia,Other,novel,False
C00086_Urea,Lactobacillus amylolyticus,0.010829828836231084,C00086,Urea,gutsmash_relevant,Urea,Lactobacillus,Other,novel,False
C00086_Urea,Pauljensenia turicensis,0.006866233684213344,C00086,Urea,gutsmash_relevant,Urea,Pauljensenia,Other,novel,False
C00086_Urea,UMGS693 sp900544555,0.008704835098049967,C00086,Urea,gutsmash_relevant,Urea,UMGS693,Other,novel,False
C00123_Leu,Aphodousia sp905212345,0.009546239050680104,C00123,BranchedChainAA,gutsmash_relevant,Leu,Aphodousia,Amino Acid,novel,False
C00123_Leu,Bifidobacterium longum,0.0065976308614772595,C00123,BranchedChainAA,gutsmash_relevant,Leu,Bifidobacterium,Amino Acid,novel,False
C00123_Leu,CCUG-7971 sp017590215,0.01324021420369156,C00123,BranchedChainAA,gutsmash_relevant,Leu,CCUG-7971,Amino Acid,novel,False
C00123_Leu,Egerieicola pullicola,0.01229039584958903,C00123,BranchedChainAA,gutsmash_relevant,Leu,Egerieicola,Amino Acid,novel,False
C00123_Leu,Escherichia coli,0.007874449752669089,C00123,BranchedChainAA,gutsmash_relevant,Leu,Escherichia,Amino Acid,novel,False
C00123_Leu,Fusobacterium sp000235465,0.014069568090187617,C00123,BranchedChainAA,gutsmash_relevant,Leu,Fusobacterium,Amino Acid,genus,True
C00123_Leu,Klebsiella ornithinolytica,0.014308736680002692,C00123,BranchedChainAA,gutsmash_relevant,Leu,Klebsiella,Amino Acid,novel,False
C00123_Leu,Lachnospira sp000436475,0.010102006134805006,C00123,BranchedChainAA,gutsmash_relevant,Leu,Lachnospira,Amino Acid,genus,True
C00123_Leu,Leptotrichia_A sp001274535,0.00787620532351455,C00123,BranchedChainAA,gutsmash_relevant,Leu,Leptotrichia,Amino Acid,novel,False
C00186_Lactate,Lachnospira sp000436475,0.004080818601355195,C00186,SCFA_Lactate,gutsmash_relevant,Lactate,Lachnospira,Other,novel,False
C00186_Lactate,Leptotrichia wadei,0.01447093941793617,C00186,SCFA_Lactate,gutsmash_relevant,Lactate,Leptotrichia,Other,novel,False
C00186_Lactate,Leptotrichia_A sp001274535,0.007121188743170277,C00186,SCFA_Lactate,gutsmash_relevant,Lactate,Leptotrichia,Other,novel,False
C00186_Lactate,UBA1829 sp900548385,0.008120837474679036,C00186,SCFA_Lactate,gutsmash_relevant,Lactate,UBA1829,Other,novel,False
C00186_Lactate,UMGS693 sp900544555,0.011278682645589688,C00186,SCFA_Lactate,gutsmash_relevant,Lactate,UMGS693,Other,novel,False
