species,metabolite_degree
ER4 sp000765235,92
Alistipes shahii,91
Acetatifactor intestinalis,86
Acetatifactor sp003447295,86
UBA5905 sp900763035,85
ER4 sp900552015,84
CAG-170 sp000432135,83
Faecousia sp003525905,82
Alistipes putredinis,82
CAG-103 sp900543625,78
Faecousia sp000434635,78
Alangreenwoodia gallinarii,77
Avispirillum faecium,76
Erysipelatoclostridium ramosum,74
UMGS693 sp900544555,73
Lachnospira eligens,73
Clostridium_A leptum,72
Alistipes onderdonkii,72
Scatavimonas merdipullorum,70
Faecivivens stercoravium,70
Ruminococcus_D bicirculans,70
Veillonella atypica,69
Lachnospira sp003451515,69
Escherichia coli,68
Ruminococcus_E bromii_B,68
Veillonella parvula_A,68
Barnesiella intestinihominis,67
Ruminococcus_E bromii,67
UBA1685 sp900546845,67
UBA3855 sp017460955,66
Fimimonas sp003537755,66
Faecousia sp017548065,66
Lachnospira sp003537285,66
Lachnospira eligens_A,66
QAMH01 sp900544245,65
Gemmiger qucibialis,65
Cellulosilyticum pullistercoris,65
UBA1206 sp000433115,65
SFEL01 sp016292635,64
Scatomorpha intestinavium,64
CAG-127 sp900319515,63
CAG-488 sp900539465,62
CAG-103 sp900757655,62
Avimicrobium caecorum,62
QWKK01 sp009911695,61
Fusobacterium_A mortiferum,61
Ruminiclostridium_E siraeum,61
W1P20-047 sp004555335,60
UMGS1322 sp905214315,60
CAG-115 sp000432175,60
UBA5884 sp002431975,59
Eubacterium_F sp003491505,59
Christensenella intestinihominis,58
CAG-488 sp000434055,58
Escherichia fergusonii,58
Escherichia sp002965065,58
CAG-103 sp000432375,58
UMGS902 sp003343845,58
Faecalibacterium sp900539945,58
Scatavimonas sp900540275,58
Ruminiclostridium_E sp910579265,57
Faecalibacterium prausnitzii_D,57
CAG-488 sp000434915,57
Lachnospira sp000437735,57
Eubacterium_G ventriosum,57
Ruminococcus_C callidus,56
Alistipes_A ihumii,56
Acutalibacter sp910580045,56
Anaerostipes caccae,56
Fusobacterium sp000235465,56
UBA11540 sp003445125,55
Ruminococcus_C sp000980705,55
UBA737 sp902762875,55
CAG-41 sp900066215,55
RUG11247 sp902767315,54
Lachnospira sp000436535,54
Copromorpha sp905193765,53
Avichristensenella intestinipullorum,53
Faecivivens stercoripullorum,53
Pauljensenia turicensis,52
Aphodomorpha sp900549955,52
Ventricola intestinavium,51
Alistipes avistercoris,51
Avanaerovorax faecigallinarum,51
UMGS902 sp900761025,51
Negativibacillus massiliensis,51
Pyramidobacter sp002007215,51
Egerieicola pullicola,51
CAG-177 sp003538135,51
Agathobacter rectalis,50
Oribacterium sp900318695,49
Aminipila sp004103735,49
Ruminococcus_E sp905215855,49
HGM11417 sp900761895,49
CAG-1427 sp900554685,49
Tidjanibacter inops_A,49
UBA11524 sp000437595,49
Faecalibacterium prausnitzii_C,48
UMGS2070 sp905203455,48
Lachnospira sp000436475,48
Escherichia sp004211955,48
Lachnospira rogosae_A,47
Escherichia sp005843885,47
Fimenecus sp000432435,47
Faecalibacterium prausnitzii,47
Escherichia sp001660175,47
Escherichia albertii,47
Alectryocaccomicrobium excrementavium,47
Paraclostridium tenue,46
Gallispira edinburgensis,46
Scatomorpha stercorigallinarum,46
Eubacterium_T sp900766045,46
QALW01 sp900547955,45
UMGS1590 sp900552455,45
Enterocloster sp001517625,45
SIG291 sp015057605,45
Escherichia ruysiae,45
UBA9506 sp003506415,44
Agathobacter sp900546625,44
Agathobacter sp900317585,44
