Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Alloprevotella sp003639005,-1.240646298702082,-0.2737681809620887,-2.1800651877613575,5103.0,4.5330840862029583e-10,-0.44556714471968706,1.5158633184262694e-06,True
Alloscardovia omnicolens,-1.7577964238784591,-1.4049320041523767,-0.3232676883368673,5709.0,1.0777715180356407e-07,-0.3797262059973925,0.00018020339781555912,True
Enterobacter chengduensis,-1.592558212103543,-0.9216033112638264,-0.7891283023136395,5786.0,2.0359414050132425e-07,-0.3713602781399391,0.0002269396019454761,True
Abiotrophia defectiva,-1.7434042390302595,-1.3059787118020643,-0.41677574225241126,5882.0,4.4165828236481504e-07,-0.3609300304215558,0.0002702453579333795,True
Enterobacter chuandaensis,-1.596116480406698,-1.0505077856809124,-0.6034790851918079,5966.0,8.551084300796868e-07,-0.3518035636679705,0.0002702453579333795,True
UMGS856 sp900546265,2.397684336914812,1.3020211403920383,-0.8808888624710953,12448.0,8.161180886739826e-07,0.3524554541503695,0.0002702453579333795,True
Abiotrophia sp001815865,-1.727777568982309,-1.314618979225985,-0.3942727809035104,5917.0,5.82740479708776e-07,-0.3571273359408953,0.0002702453579333795,True
Pauljensenia sp900554605,-1.6825164821397962,-1.3356805396278177,-0.33304564416049476,5971.0,8.889649932019062e-07,-0.35126032159930465,0.0002702453579333795,True
Prevotella oulorum,-0.9593341738400802,-0.1352243191857339,-2.8266788171889963,5895.0,4.897124349235496e-07,-0.35951760104302477,0.0002702453579333795,True
Enterobacter sp000493015,-1.6806215400569362,-1.2126855248283812,-0.47078940259385493,5943.0,7.14721364023015e-07,-0.3543024771838331,0.0002702453579333795,True
UBA10566 sp017988355,-1.3091481252753256,-0.8148725310430711,-0.6839820381308938,5879.0,4.3123297628879956e-07,-0.36125597566275536,0.0002702453579333795,True
HGM13222 sp900757485,0.8393306903669585,-0.08744090816072433,,12363.0,1.5690232753658854e-06,0.3432203389830508,0.0003336586789480428,True
Enterobacter wuhouensis,-1.574609054042558,-1.0495340601280323,-0.585244692319607,6055.0,1.6926461740293373e-06,-0.34213385484571923,0.0003336586789480428,True
Rodentibacter sp015356115,-1.6969392475256215,-1.4085438553312986,-0.26873043254947604,6069.0,1.8815465444595958e-06,-0.34061277705345505,0.0003336586789480428,True
Enterobacter cloacae_N,-1.5707297081276315,-0.9995586973802942,-0.6520717480563395,6044.0,1.5571497409395864e-06,-0.34332898739678397,0.0003336586789480428,True
Gemella morbillorum,-1.7075332754661359,-1.2644654657914347,-0.4333860576162668,6064.0,1.8118676833981425e-06,-0.3411560191221208,0.0003336586789480428,True
Streptococcus lactarius,-1.5660959653820505,-1.1200383533065115,-0.4836244840198599,6048.0,1.605168386153818e-06,-0.3428943937418514,0.0003336586789480428,True
CAG-485 sp905214715,-1.6118121622514718,-1.2357028226651519,-0.3833517970191284,6013.0,1.2290808898973779e-06,-0.346697088222512,0.0003336586789480428,True
Alloprevotella sp003265305,-1.0686622430031985,-0.5083059897746087,-1.0720368165579268,6070.0,1.895787948568425e-06,-0.3405041286397219,0.0003336586789480428,True
Serratia grimesii,-1.660740472781891,-1.191101590603995,-0.479530170337596,6093.0,2.253423052142476e-06,-0.33800521512385917,0.00036424353289648127,True
Eikenella corrodens,-1.6882060828809402,-1.2566674433104286,-0.425888113268912,6095.0,2.287414530749434e-06,-0.3377879182963929,0.00036424353289648127,True
Gemmiger formicilis,3.5842870462914154,2.4930721935538727,-0.5237615191822818,12301.0,2.5019373529108722e-06,0.336484137331595,0.0003802944776424526,True
RHBSTW-00994 sp013782625,-1.560025699918881,-0.999918629996822,-0.6416871932209461,6146.0,3.3407329874162375e-06,-0.3322468491960018,0.00046547546291332906,True
Mycobacterium ostraviense,-1.6764885962902045,-1.2548419834315716,-0.4179369662202463,6141.0,3.2197775036653997e-06,-0.3327900912646675,0.00046547546291332906,True
Allisonella histaminiformans,-1.5417963833849555,-0.9933524415046177,-0.6342346670632446,6185.0,4.4456611010369635e-06,-0.32800956106040857,0.0005119993389889818,True
Limivicinus sp900549545,0.9855143120646737,0.4258028479391343,-1.21069122352739,12219.0,4.576999768599443e-06,0.327574967405476,0.0005119993389889818,True
Morganella psychrotolerans_B,-1.6506443817121428,-1.0997182874563485,-0.585895337632261,6180.0,4.286560337369114e-06,-0.3285528031290743,0.0005119993389889818,True
Pauljensenia marseillensis,-1.5406823958635156,-1.1488967158240477,-0.4233203804247666,6169.0,3.955520128737071e-06,-0.32974793568013905,0.0005119993389889818,True
CAG-485 sp900760735,-1.619587315343987,-1.2825390925807114,-0.3366234482291194,6190.0,4.610410647783558e-06,-0.3274663189917427,0.0005119993389889818,True
DSM-111022 sp015863195,-1.6198183532323707,-1.308906123290447,-0.30747040933689074,6186.0,4.478153091416111e-06,-0.3279009126466753,0.0005119993389889818,True
Enterobacter vonholyi,-1.6028847076804396,-1.1983814199951088,-0.41958349788187677,6194.0,4.746405355460058e-06,-0.32703172533681013,0.0005119993389889818,True
Mycobacterium sp001665295,-0.5077204055595157,0.361432259018637,,6207.0,5.215429025294296e-06,-0.325619295958279,0.0005284968078964887,True
Enterobacter asburiae_A,-1.5698343805716217,-1.1214378666190588,-0.48526267113743565,6207.0,5.215429025294296e-06,-0.325619295958279,0.0005284968078964887,True
Legionella steelei,-1.3768706444635863,-0.9531754308584724,-0.5305793561432972,6236.0,6.426828025631385e-06,-0.32246849196001737,0.0005932642849841668,True
Bullifex porci,-1.7009252142822733,-1.3078121800305176,-0.3791643457893454,6239.0,6.566497584757118e-06,-0.3221425467188179,0.0005932642849841668,True
Clostridium beijerinckii_D,-1.6764343900940244,-1.2996192050131385,-0.3673070538720945,6260.0,7.628697444473437e-06,-0.3198609300304216,0.0005932642849841668,True
Enterobacter asburiae_B,-1.5807661138951434,-1.1756134656131678,-0.42721013706183436,6253.0,7.2575850470564415e-06,-0.32062146892655363,0.0005932642849841668,True
Leclercia sp003024485,-1.6365292907753584,-1.1173548509562181,-0.5505519926717054,6254.0,7.309523466352562e-06,-0.3205128205128205,0.0005932642849841668,True
Streptococcus sp900755085,-1.428172411916487,-0.881071494378252,-0.6968391588395279,6257.0,7.467480015293072e-06,-0.32018687527162104,0.0005932642849841668,True
Enterobacter cloacae_I,-1.453152089372561,-0.868421545855258,-0.7427182805600706,6251.0,7.154765060914863e-06,-0.32083876575402004,0.0005932642849841668,True
Enterobacter cloacae_M,-1.5054412255002494,-0.8124062775353647,-0.8899130918192468,6256.0,7.414468634036047e-06,-0.3202955236853542,0.0005932642849841668,True
Granulicatella sp015264885,-1.4202210455279385,-0.9692406927516893,-0.5511886091645869,6256.0,7.414468634036047e-06,-0.3202955236853542,0.0005932642849841668,True
Enterobacter soli,-1.5968007150419352,-1.063711666400052,-0.5860771302647839,6234.0,6.335298949957538e-06,-0.32268578878748366,0.0005932642849841668,True
Streptococcus sp000220065,-1.7041405934311298,-1.365867868836405,-0.3192264372700854,6276.0,8.54628749452464e-06,-0.318122555410691,0.0006304009670819994,True
Enterobacter sp000568095,-1.6276367658296684,-1.2010133154126803,-0.4385266281767384,6281.0,8.854042246547229e-06,-0.31757931334202516,0.0006304009670819994,True
Collinsella tanakaei,-1.5664070555974587,-1.296707077772818,-0.27260655252183275,6276.0,8.54628749452464e-06,-0.318122555410691,0.0006304009670819994,True
Enterobacter cancerogenus,-1.5571159865484394,-1.0609511462256302,-0.5535181862268952,6287.0,9.237334744921642e-06,-0.3169274228596263,0.0006304009670819994,True
Enterobacter asburiae,-1.4483020240561477,-0.9025979677621104,-0.6822070532728094,6285.0,9.107842413426747e-06,-0.31714471968709257,0.0006304009670819994,True
Leclercia sp002902985,-1.531829209101367,-1.0616054758064355,-0.5290077360406368,6283.0,8.980085612330632e-06,-0.31736201651455886,0.0006304009670819994,True
Spirillospora cremea,-1.2830432150595068,-0.8377685693331449,-0.614946099143598,6299.0,1.0052006327159567e-05,-0.3156236418948284,0.0006722781831604318,True
Cryptobacteroides sp002321335,-1.6259532456615697,-1.2967486477247236,-0.32638690805804915,6328.0,1.231363265979016e-05,-0.31247283789656666,0.0006844960272524747,True
Enterobacter kobei,-1.4387373103792531,-0.7901995188870993,-0.8645143309243529,6322.0,1.1809137075419364e-05,-0.31312472837896566,0.0006844960272524747,True
Granulicatella adiacens_A,-1.4193292716647024,-0.9755997251844774,-0.540848063731417,6317.0,1.1403854008648391e-05,-0.3136679704476315,0.0006844960272524747,True
Kosakonia oryzendophytica,-1.6890990076477341,-1.1537156716087194,-0.5499661735327263,6307.0,1.0632768587230209e-05,-0.3147544545849631,0.0006844960272524747,True
Clostridium_J sp000821305,-1.6564658634872202,-1.2717538784962985,-0.3812889786096032,6330.0,1.2486321071292153e-05,-0.31225554106910036,0.0006844960272524747,True
Lachnoclostridium_B massiliensis_A,-0.6357761187266782,-0.2888110871396264,-1.1383926999238825,6327.0,1.2228145470208874e-05,-0.3125814863102999,0.0006844960272524747,True
Succinivibrio sp900548485,-0.4338029578317765,0.16316435043733396,,6322.0,1.1809137075419364e-05,-0.31312472837896566,0.0006844960272524747,True
CAG-238 sp900551415,1.1586316238655685,0.36707231326839357,-1.6582857403345894,12078.0,1.2486321071292153e-05,0.31225554106910036,0.0006844960272524747,True
Enterobacter mori,-1.5826482952799392,-1.0012084786266633,-0.6605982741010212,6316.0,1.1324406641603996e-05,-0.31377661886136465,0.0006844960272524747,True
Enterobacter sichuanensis,-1.2871193417629625,-0.6337186995325866,-1.0222313348506256,6313.0,1.108922246350459e-05,-0.3141025641025641,0.0006844960272524747,True
Acidaminococcus massiliensis,-1.5254358324667243,-1.2330477907486894,-0.30699277704833444,6321.0,1.1726996280721407e-05,-0.3132333767926988,0.0006844960272524747,True
Leclercia adecarboxylata_A,-1.585252468271913,-1.0578299285611206,-0.5836049248044709,6338.0,1.3200463908692408e-05,-0.31138635375923507,0.0006876473353304542,True
Enterobacter cloacae,-1.436936100689096,-0.8511840660732146,-0.7554528585264283,6336.0,1.3018360629773998e-05,-0.3116036505867015,0.0006876473353304542,True
Erwinia endophytica,-1.7432089182154438,-1.340383447454195,-0.3790997066419329,6342.0,1.3571986881522121e-05,-0.3109517601043025,0.0006876473353304542,True
Butyribacter sp003529475,2.9445324704735634,1.8188193157088077,-0.6950363521497125,12066.0,1.3571986881522121e-05,0.3109517601043026,0.0006876473353304542,True
Leclercia adecarboxylata,-1.5336860079182217,-1.0371771266071013,-0.5643408544782824,6334.0,1.2838655635662714e-05,-0.31182094741416777,0.0006876473353304542,True
Granulicatella sp001071995,-1.392572036968292,-0.9757419098251459,-0.5131804583427517,6352.0,1.4544929788770929e-05,-0.3098652759669709,0.0007188271575956425,True
Lactococcus hircilactis,-1.7290344000572517,-1.4315155688780674,-0.2724232115804027,6357.0,1.5056000799847374e-05,-0.30932203389830504,0.0007188271575956425,True
Streptomyces griseoincarnatus,-1.5296061127155403,-1.2234238866633047,-0.322235844589498,6357.0,1.5056000799847374e-05,-0.30932203389830504,0.0007188271575956425,True
Enterobacter cloacae_Q,-1.5379600598498666,-0.974040354131982,-0.6589645887003593,6359.0,1.5265185691192122e-05,-0.30910473707083874,0.0007188271575956425,True
Thiorhodococcus violacea_A,-1.496569868157657,-1.1899197404918558,-0.33079536568039647,6361.0,1.5477139756843977e-05,-0.30888744024337245,0.0007188271575956425,True
Enterobacter sp013927005,-1.5072148823177431,-0.924959389040431,-0.7044231857963685,6353.0,1.4645801857058181e-05,-0.30975662755323774,0.0007188271575956425,True
Enterobacter hormaechei,-1.4123276669125415,-0.7524952195115261,-0.9083205180332489,6369.0,1.635334733244804e-05,-0.30801825293350715,0.0007440915529043862,True
Streptomyces malachitofuscus,-1.4062152892094824,-1.0489891323324099,-0.42281775407412553,6370.0,1.6466140823841084e-05,-0.307909604519774,0.0007440915529043862,True
Enterobacter sp003057745,-1.611811878905564,-1.1290879268035021,-0.5135255317586,6373.0,1.680898716153412e-05,-0.30758365927857456,0.0007494567075756012,True
Enterobacter cloacae_O,-1.5673701808492067,-1.0926712363521573,-0.5204865679628065,6382.0,1.7878815970325444e-05,-0.3066058235549761,0.0007664969308303626,True
UBA1753 sp002317595,-1.6977259392599993,-1.3224206886899466,-0.36042238588545156,6381.0,1.7756817634981033e-05,-0.30671447196870927,0.0007664969308303626,True
Streptococcus sp900766505,-1.0682862616628521,-0.4966609185785009,-1.1049651554326736,6380.0,1.7635612708882667e-05,-0.3068231203824424,0.0007664969308303626,True
Enterobacter asburiae_C,-1.5026314385466888,-0.9918196840016086,-0.5993414293005594,6397.0,1.9807407375612537e-05,-0.3049760973489787,0.0008177280279512138,True
Streptococcus parasanguinis_D,-1.0994992411370434,-0.4610851203717333,-1.2537415940843935,6395.0,1.9539267791126144e-05,-0.305193394176445,0.0008177280279512138,True
Proteus sp014897315,-1.6157978171448393,-1.2063851767457385,-0.4215560797460062,6396.0,1.9672902527903098e-05,-0.30508474576271183,0.0008177280279512138,True
CAG-45 sp000438375,2.2324252121574277,1.5850607378460468,-0.4940737208456511,12008.0,2.0216196262747093e-05,0.3046501521077791,0.000824426345153979,True
Phytobacter ursingii,-1.5635393496079162,-1.0513445905315757,-0.5725799210373576,6406.0,2.10579993809905e-05,-0.30399826162538024,0.0008484090353015932,True
Onthousia sp900758495,-0.9012956251562451,0.17604546283807865,,6416.0,2.2535626856470164e-05,-0.30291177748804865,0.0008800748812548874,True
Enterococcus_A hulanensis,-1.744262578691135,-1.3610905345399553,-0.3578542050565146,6425.0,2.3949406158551064e-05,-0.3019339417644502,0.0008800748812548874,True
Pauljensenia sp000185285,-1.6590708066775421,-1.3845601142250226,-0.2609477663397262,6423.0,2.3628123394469882e-05,-0.3021512385919165,0.0008800748812548874,True
Parvimonas micra,-1.6905456817877833,-1.3069185590741075,-0.37131975910474807,6417.0,2.2688699858485974e-05,-0.3028031290743155,0.0008800748812548874,True
Leclercia adecarboxylata_C,-1.5576723210945715,-1.0181432814199214,-0.6134511700905967,6425.0,2.3949406158551064e-05,-0.3019339417644502,0.0008800748812548874,True
Lactobacillus acidophilus,-1.5398172336554945,-0.6882907678097738,-1.1616690586091334,6422.0,2.3469024013248657e-05,-0.30225988700564976,0.0008800748812548874,True
Bifidobacterium platyrrhinorum,-1.4598116057544728,-1.1738430056358713,-0.31454272619377294,6418.0,2.2842762057049407e-05,-0.30269448066058235,0.0008800748812548874,True
Proteus faecis,-1.6358634782981483,-1.1932858080033175,-0.45511272329992913,6423.0,2.3628123394469882e-05,-0.3021512385919165,0.0008800748812548874,True
Diplorickettsia massiliensis,-1.4688079501651963,-1.15320440691813,-0.3489975175877453,6428.0,2.443913448501095e-05,-0.30160799652325077,0.0008883094099769197,True
CAG-170 sp905214155,0.46453138562044105,-0.4395220506952155,,11971.0,2.59661257560163e-05,0.30063016079965243,0.0009237311120012607,True
Limiplasma sp900548145,-0.5644954533430641,-1.0823056689133421,0.9390741421415408,11971.0,2.59661257560163e-05,0.30063016079965243,0.0009237311120012607,True
Enterobacter cloacae_L,-1.6095050420114823,-1.1333565440400504,-0.5060153045302362,6440.0,2.6494982857140128e-05,-0.3003042155584529,0.0009326233965713326,True
Streptomyces kurssanovii,-1.3446303325613138,-0.9596004986098688,-0.48670378745499676,6442.0,2.685322792478717e-05,-0.3000869187309865,0.0009353874393800864,True
Eubacterium_G sp000434315,1.9549376734061414,1.1286640981276086,-0.7925064234202751,11961.0,2.776910152829441e-05,0.29954367666232073,0.0009475497501083317,True
Klebsiella huaxiensis,-1.3957090842601583,-0.6887369463360181,-1.0189732881052211,6447.0,2.776910152829441e-05,-0.29954367666232073,0.0009475497501083317,True
Atlantibacter subterranea,-1.6680294183696123,-1.2660438759041055,-0.3978173297276563,6451.0,2.8523105363272934e-05,-0.29910908300738814,0.000953812643347847,True
Proteus vulgaris,-1.6253044673376116,-1.222939019707232,-0.41035753519489254,6451.0,2.8523105363272934e-05,-0.29910908300738814,0.000953812643347847,True
UBA7173 sp900540205,-1.0394935029656733,-0.48345817460897633,-1.1044177528476122,6457.0,2.969070200049408e-05,-0.29845719252498915,0.0009639389076665263,True
Gemella haemolysans_B,-1.7012666928283207,-1.3510587625001098,-0.33251889341793284,6456.0,2.9492998121287046e-05,-0.2985658409387223,0.0009639389076665263,True
Klebsiella terrigena,-1.5805736254552327,-1.024904977227528,-0.6249580814445909,6456.0,2.9492998121287046e-05,-0.2985658409387223,0.0009639389076665263,True
Streptococcus sp902373455,-1.2880407326063805,-0.7816572499932519,-0.7205701757059776,6472.0,3.281167582786141e-05,-0.2968274663189917,0.0010550215766189283,True
Xanthomonas campestris,-1.7217175961574798,-1.4426154622578289,-0.2551617327255789,6475.0,3.347218676988281e-05,-0.29650152107779226,0.0010629866126041537,True
Fusobacterium periodonticum_D,-1.6231854111814825,-1.2783864295396166,-0.34450380486342874,6476.0,3.369514980144745e-05,-0.2963928726640591,0.0010629866126041537,True
Collinsella sp900761085,-1.5846130026343035,-1.2736442308847211,-0.3151682020131786,6478.0,3.4145314981289504e-05,-0.2961755758365928,0.0010671208719386178,True
