Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
Faecivicinus sp900553265,-0.5888252789320574,-1.2021964822618991,1.0297611894849934,7145.0,8.32224133140275e-06,0.36043412033511046,0.01194144015763311,True
UMGS856 sp900546265,2.397684336914812,1.2961722224560481,-0.8873843137141614,7057.0,2.14260289909685e-05,0.3436785986290938,0.01194144015763311,True
Streptococcus lactarius,-1.5660959653820505,-1.1585913067054374,-0.4348008739917834,3406.0,1.3861738612712948e-05,-0.35148514851485146,0.01194144015763311,True
Lachnoclostridium_A edouardi,0.8653354346840282,1.6006941370311425,0.8873662758299056,3287.0,3.722962251744847e-06,-0.3741431835491241,0.01194144015763311,True
Enterocloster sp001517625,2.123422576914953,3.331756670204089,0.6498915326033899,3442.0,2.0327569769505916e-05,-0.3446306169078446,0.01194144015763311,True
Pelethenecus faecipullorum,-0.2525950909189763,-0.8590968300847838,1.7659941480238905,7071.0,1.8484126367560433e-05,0.3463442498095963,0.01194144015763311,True
Alistipes sp910577475,0.5057358960808107,-0.197560692851859,,7020.0,3.1498266920363297e-05,0.3366336633663367,0.012839233648087542,True
Streptococcus parasanguinis_D,-1.0994992411370434,-0.31626897263155107,-1.7976226755636822,3484.0,3.1498266920363297e-05,-0.3366336633663366,0.012839233648087542,True
Collinsella sp900759335,-0.4173522763548539,-1.004047824898554,1.2664904448153276,7011.0,3.455535371793896e-05,0.33492003046458496,0.012839233648087542,True
UMGS1052 sp900548115,-0.1475853093650681,-0.7349913979041074,2.3161782432572893,6988.0,4.369935583798348e-05,0.33054074638233044,0.014613064592221675,True
CAG-345 sp003497225,-1.1932729499171633,-0.2529419238093921,-2.238046002957587,3602.0,0.00010255258223601667,-0.3141660319878141,0.018728169835479366,True
CAG-170 sp900553545,1.0079747975265214,-0.14294990526665646,,6839.0,0.00018688843926148736,0.3021706016755521,0.018728169835479366,True
