genus,gutsmash_class,metabolite_name,tier,n_general,n_in_vitro,n_in_vivo,n_clinical,shap_importance,match_level,gutsmash_positive
Avispirillum,Indole,3-Indoxyl sulfate,0,0,0,0,0,0.022657010684879558,novel,False
Clostridium,Indole,3-Indoxyl sulfate,4,2,0,0,2,0.03269228065091934,genus,True
Escherichia,Indole,3-Indoxyl sulfate,1,1,0,0,0,0.01727190397041528,species,True
Fusobacterium,Indole,3-Indoxyl sulfate,0,0,0,0,0,0.05520848760408665,genus,True
Lactobacillus,Indole,3-Indoxyl sulfate,1,2,0,0,0,0.01898583225847474,novel,False
Pauljensenia,Indole,3-Indoxyl sulfate,0,0,0,0,0,0.05320020151181086,novel,False
UMGS902,Indole,3-Indoxyl sulfate,0,0,0,0,0,0.01484663915087605,novel,False
Veillonella,Indole,3-Indoxyl sulfate,0,0,0,0,0,0.018426698598386082,novel,False
Alistipes,Urea,Urea,4,11,1,3,1,0.0061824610695236926,genus,True
Brachyspira,Urea,Urea,2,0,1,0,0,0.010741988976639326,novel,False
Clostridium,Urea,Urea,4,34,28,9,13,0.006196241355780393,novel,False
Egerieicola,Urea,Urea,0,0,0,0,0,0.010576665470526133,novel,False
Escherichia,Urea,Urea,4,53,370,241,41,0.009764273436994647,novel,False
Lactobacillus,Urea,Urea,4,114,88,66,11,0.010829828836231084,novel,False
Pauljensenia,Urea,Urea,0,0,0,0,0,0.006866233684213344,novel,False
UMGS693,Urea,Urea,0,0,0,0,0,0.008704835098049967,novel,False
Aphodousia,BranchedChainAA,Leu,0,0,0,0,0,0.009546239050680104,novel,False
Bifidobacterium,BranchedChainAA,Leu,4,6,3,2,2,0.007934311226318512,novel,False
CCUG-7971,BranchedChainAA,Leu,0,0,0,0,0,0.01324021420369156,novel,False
Egerieicola,BranchedChainAA,Leu,0,0,0,0,0,0.01229039584958903,novel,False
Escherichia,BranchedChainAA,Leu,4,13,204,170,19,0.007874449752669089,novel,False
Fusobacterium,BranchedChainAA,Leu,2,1,2,0,0,0.014069568090187617,genus,True
Klebsiella,BranchedChainAA,Leu,4,0,8,5,2,0.014308736680002692,novel,False
Lachnospira,BranchedChainAA,Leu,0,0,0,0,0,0.010102006134805006,genus,True
Leptotrichia,BranchedChainAA,Leu,0,0,0,0,0,0.009545651320814084,novel,False
