target,model,cv_strategy,rank,feature,mean_abs_shap_oof
C07151_Metformin,XGBoost,10-fold,1,Prevotella stercorea,0.028759263455867767
C07151_Metformin,XGBoost,10-fold,2,Veillonella parvula_A,0.026211589574813843
C07151_Metformin,XGBoost,10-fold,3,UMGS687 sp900545735,0.02511456422507763
C07151_Metformin,XGBoost,10-fold,4,Catenibacterium sp900764565,0.020796945318579674
C07151_Metformin,XGBoost,10-fold,5,Lachnospira rogosae_A,0.020344732329249382
C07151_Metformin,XGBoost,10-fold,6,CCUG-7971 spG000499525,0.019776059314608574
C07151_Metformin,XGBoost,10-fold,7,Faecalibacterium prausnitzii_G,0.01789943128824234
C07151_Metformin,XGBoost,10-fold,8,Mitsuokella multacida,0.01786058209836483
C07151_Metformin,XGBoost,10-fold,9,Fimisoma sp900754795,0.01621188595890999
C07151_Metformin,XGBoost,10-fold,10,Acutalibacter sp910580045,0.014446637593209743
C07151_Metformin,LightGBM,10-fold,1,Prevotella stercorea,0.050766211589019845
C07151_Metformin,LightGBM,10-fold,2,BMI,0.049378343817978065
C07151_Metformin,LightGBM,10-fold,3,Desulfovibrio sp905214305,0.03755689124729515
C07151_Metformin,LightGBM,10-fold,4,Acutalibacter sp910580045,0.03478648917769321
C07151_Metformin,LightGBM,10-fold,5,Ruminiclostridium_E siraeum,0.03414109391332519
C07151_Metformin,LightGBM,10-fold,6,Pseudoscardovia suis,0.030790463852362136
C07151_Metformin,LightGBM,10-fold,7,Porphyromonas endodontalis,0.030630603692466934
C07151_Metformin,LightGBM,10-fold,8,CCUG-7971 spG000499525,0.029715545767011284
C07151_Metformin,LightGBM,10-fold,9,Enterosoma sp900763245,0.02278031914221307
C07151_Metformin,LightGBM,10-fold,10,S5-A14a sp000758905,0.02165983622666479
C07151_Metformin,RF,10-fold,1,Mitsuokella multacida,0.018028300931772687
C07151_Metformin,RF,10-fold,2,Fimisoma sp900754795,0.014900669756227298
C07151_Metformin,RF,10-fold,3,Mitsuokella jalaludinii,0.014289530096678998
C07151_Metformin,RF,10-fold,4,Acutalibacter sp910580045,0.01077195685008824
C07151_Metformin,RF,10-fold,5,Alistipes onderdonkii,0.01033289801903897
C07151_Metformin,RF,10-fold,6,Alloprevotella timonensis,0.01016209826888175
C07151_Metformin,RF,10-fold,7,Caecibacter sp003467125,0.009390130561688565
C07151_Metformin,RF,10-fold,8,UMGS687 sp900545735,0.008806233089024213
C07151_Metformin,RF,10-fold,9,Veillonella parvula_A,0.008638312159385457
C07151_Metformin,RF,10-fold,10,Collinsella tanakaei,0.008614414532882952
C00423_trans-Cinnamate,XGBoost,10-fold,1,Aphodousia sp900553105,0.12398917973041534
C00423_trans-Cinnamate,XGBoost,10-fold,2,Barb7 sp001657575,0.029271669685840607
C00423_trans-Cinnamate,XGBoost,10-fold,3,Sediminibacterium sp902168225,0.027406439185142517
C00423_trans-Cinnamate,XGBoost,10-fold,4,UBA5884 sp002431975,0.026611750945448875
C00423_trans-Cinnamate,XGBoost,10-fold,5,Pauljensenia turicensis,0.025336163118481636
C00423_trans-Cinnamate,XGBoost,10-fold,6,Streptococcus sp003686955,0.01859857514500618
C00423_trans-Cinnamate,XGBoost,10-fold,7,Klebsiella pneumoniae,0.018586764112114906
C00423_trans-Cinnamate,XGBoost,10-fold,8,Faecimonas sp900554315,0.0183392520993948
C00423_trans-Cinnamate,XGBoost,10-fold,9,Eubacterium_N saphenum,0.01716829091310501
C00423_trans-Cinnamate,XGBoost,10-fold,10,Avispirillum faecium,0.01601164974272251
C00423_trans-Cinnamate,LightGBM,10-fold,1,Aphodousia sp900553105,0.12877666420823866
C00423_trans-Cinnamate,LightGBM,10-fold,2,Sediminibacterium sp902168225,0.030904537799419186
C00423_trans-Cinnamate,LightGBM,10-fold,3,Pauljensenia turicensis,0.030659739751676043
C00423_trans-Cinnamate,LightGBM,10-fold,4,Barb7 sp001657575,0.026961930954667816
C00423_trans-Cinnamate,LightGBM,10-fold,5,Klebsiella pneumoniae,0.02483900571916109
C00423_trans-Cinnamate,LightGBM,10-fold,6,UBA5884 sp002431975,0.024573587875850213
C00423_trans-Cinnamate,LightGBM,10-fold,7,Faecimonas sp900554315,0.0245631140660334
C00423_trans-Cinnamate,LightGBM,10-fold,8,Eubacterium_N saphenum,0.023388198874064285
C00423_trans-Cinnamate,LightGBM,10-fold,9,Megasphaera elsdenii,0.023112452254460913
C00423_trans-Cinnamate,LightGBM,10-fold,10,Avispirillum faecium,0.01851004536430304
C00423_trans-Cinnamate,RF,10-fold,1,Aphodousia sp900553105,0.13872624894830696
C00423_trans-Cinnamate,RF,10-fold,2,Sediminibacterium sp902168225,0.023723383358162764
C00423_trans-Cinnamate,RF,10-fold,3,Pauljensenia turicensis,0.01462897737206537
