metabolite,taxon,mean_flux,std_flux,n_samples
h[e],ruminicola,1000.0,,1
h[e],prausnitzii,1000.0,,1
ac[e],fergusonii,1000.0,,1
co2[e],pilosicoli,1000.0,,1
ala_L[e],albertii,1000.0,,1
lac_L[e],kashiwanohense,1000.0,,1
h[e],jalaludinii,1000.0,,1
h[e],virosa,1000.0,,1
ac[e],albertii,1000.0,,1
h[e],asburiae,1000.0,,1
h[e],disiens,1000.0,,1
ac[e],asburiae,959.123468108756,,1
lac_L[e],bifidum,944.0919901158798,,1
h2o[e],atypica,924.4908169622711,,1
h[e],melaninogenica,896.3870896298116,,1
co2[e],prausnitzii,785.6406648716295,,1
ac[e],pilosicoli,781.28717272568,,1
h2[e],pilosicoli,778.7459479467522,,1
ala_L[e],goldsteinii,762.345111848257,,1
lac_L[e],fragilis,750.5787901261517,,1
acald[e],spiroforme,750.0,,1
h[e],conceptionensis,741.9504123427146,,1
acald[e],pullicaecorum,707.173701038039,,1
h[e],fergusonii,698.5761080419118,,1
acald[e],prausnitzii,694.3241195995442,,1
ala_L[e],salyersiae,655.1450872488878,,1
ala_L[e],pilosicoli,654.8967063549586,,1
h[e],pilosicoli,653.9414709508034,,1
for[e],adolescentis,652.4493979666179,286.90531172215077,2
h[e],faecis,651.9946461337619,538.3283882683772,3
h[e],clarus,641.1390315914604,,1
lac_L[e],succinatiphilus,610.9832191358603,,1
h[e],kashiwanohense,605.7426970042611,198.9606610529069,2
ala_L[e],parasanguinis,600.0,,1
co2[e],splanchnicus,599.7866865151319,1.154062402795166,2
h[e],salyersiae,589.1555769404717,460.04015085504585,2
succ[e],virosa,585.2681458078234,,1
ac[e],jalaludinii,571.7582172520217,,1
lac_D[e],asburiae,571.4783541779927,,1
ala_L[e],fergusonii,562.6330248242061,,1
h[e],corporis,551.3701788540149,,1
for[e],parasanguinis,549.3346161064256,,1
lac_L[e],dentium,548.5977510432695,,1
ac[e],ruminicola,546.9818573250178,,1
asp_L[e],laneus,535.1677229573577,,1
ala_L[e],clarus,534.1078525532059,369.93225788560716,2
fum[e],atypica,533.4115085629106,,1
h[e],nordii,524.1007321098035,271.39879535713965,3
nh4[e],asburiae,511.1119534425051,,1
gly[e],asburiae,510.5628145652995,,1
h2[e],nordii,504.0763977309194,,1
h[e],bifidum,502.5226091664366,,1
ac[e],disiens,502.34340678441487,,1
asp_L[e],salyersiae,500.3190311744571,264.9086224339687,2
for[e],dentium,500.0724261390612,707.004355158417,2
h[e],oleiciplenus,495.19181446135605,451.358017306822,3
ac[e],nordii,482.77337613649735,376.72383794889754,2
h[e],fragilis,466.922671718355,,1
co2[e],parasanguinis,466.61121801118463,117.77271395716005,2
h[e],fluxus,462.7248003146208,282.87985454939263,3
ac[e],oleiciplenus,461.10347849763116,528.8438541910814,2
for[e],breve,460.141551929195,6.972253570904436,2
ala_L[e],fluxus,451.260680066249,349.14278464869847,3
h[e],adolescentis,447.2276433927709,,1
acald[e],ramosum,433.72458011269663,196.57949310191137,2
etoh[e],colihominis,425.00000000000085,318.1980515339476,2
for[e],fluxus,420.1077299173767,,1
h[e],buccae,419.8041939239709,,1
h[e],albertii,414.2332434500836,,1
nh4[e],laneus,409.2587946608573,,1
h[e],distasonis,408.8251116496337,236.8878854452634,3
nh4[e],parasanguinis,408.3887819934469,271.13601570199165,2
ppa[e],oleiciplenus,408.1362990897418,,1
co2[e],nordii,404.0593065259712,,1
ala_L[e],parvula,400.00000000000205,,1
fuc_L[e],breve,395.04332930897476,4.058499361289172,2
etoh[e],dentium,394.92052397866155,,1
for[e],asburiae,386.6087898712757,,1
but[e],splanchnicus,385.8467843697606,33.36386671683769,2
succ[e],faecis,383.54765756777965,118.33731856843755,2
ac[e],colihominis,383.3333333333358,,1
lac_D[e],albertii,382.139410191796,,1
ac[e],melaninogenica,377.4894267597766,,1
for[e],jalaludinii,375.8879090169906,,1
h[e],thetaiotaomicron,374.0236205264173,228.9670185048464,3
ac[e],virosa,369.32918759384324,,1
ac[e],conceptionensis,369.1211647184193,,1
h2o[e],plautii,368.260595876101,,1
glu_L[e],ruminicola,367.50360701014694,,1
ac[e],fluxus,365.80335893729483,165.48522236761056,2
asp_L[e],nordii,362.60919731995006,,1
asp_L[e],oleiciplenus,360.5223340304182,,1
val_L[e],asburiae,359.9907282021767,,1
nh4[e],splanchnicus,359.9601735525708,256.64390700361196,3
asp_L[e],faecis,357.43829712142815,25.0079210661487,2
h2o[e],formicigenerans,356.1156786924819,,1
ppa[e],salyersiae,356.0003546330944,,1
for[e],ruminicola,354.206135710017,,1
nh4[e],bryantii,353.45087172534807,,1
h2[e],salyersiae,353.09466340061397,114.31297281692322,2
h[e],dentium,351.3190263379564,271.60876050139046,2
lac_D[e],hansenii,350.00000000000375,,1
for[e],disiens,349.4619716993087,,1
h[e],parasanguinis,349.22371879546154,,1
succ[e],jalaludinii,348.19192948104876,,1
ura[e],fergusonii,346.9812786110228,,1
ac[e],clarus,345.8752417397656,76.87700660053963,3
co2[e],fluxus,340.5883114010825,133.94625294235567,3
ala_L[e],vestibularis,339.1410057285643,,1
for[e],kashiwanohense,338.8300214657039,310.1605495865597,2
ac[e],buccae,338.5072533450802,,1
h2[e],faecis,338.47921714960876,170.72317043050745,2
ac[e],faecis,333.52209736940154,15.4438933260489,2
ac[e],corporis,333.4957385764728,,1
ac[e],splanchnicus,331.8879014939077,276.31627839908475,3
etoh[e],adolescentis,330.7480069992586,,1
succ[e],oleiciplenus,329.80271499414226,206.32792498285792,3
h[e],parvula,329.49076780990976,41.706243801569954,2
for[e],fergusonii,328.08560950771147,,1
lac_D[e],fluxus,325.6947351777553,189.6633214395338,2
val_L[e],prausnitzii,324.6498786054268,,1
acald[e],capillosus,323.7823414230336,,1
nh4[e],clara,321.3943836118698,24.773670668733573,2
nh4[e],pullicaecorum,319.71401108296936,,1
