met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Deoxycytidine,dcyt,onderdonkii,Other,97.39394566786865,,1,Alistipes onderdonkii,True,False
Formate,for,prausnitzii,Other,95.72518664622002,,1,Faecalibacterium prausnitzii,True,False
Formate,for,intestini,Other,94.84803078230544,,1,Murimonas intestini,True,False
Water,h2o,intestini,Other,93.47495822120436,,1,Murimonas intestini,True,False
Glycine,gly,bifidum,Amino Acid,89.82802961592529,2.4584619224411624,6,Bifidobacterium bifidum,False,True
Propionate,ppa,prausnitzii,SCFA,87.70922946872948,,1,Faecalibacterium prausnitzii,True,False
Ornithine,orn,faecis,Polyamine,83.90279141703496,23.782490712491256,102,Blautia_A faecis,False,True
Uridine,uri,faecis,Other,82.92425042626657,27.693476963887424,47,Blautia_A faecis,False,True
Indole,indole,hadrus,Other,78.7400211114086,32.227575252472114,10,Anaerostipes hadrus,False,True
Guanine,gua,faecis,Other,77.5591278854757,32.98506771050566,47,Blautia_A faecis,False,True
2obut,2obut,faecis,Other,76.36498748135318,,1,Blautia_A faecis,False,True
Alanine,ala_L,intestini,Amino Acid,75.94577620642144,31.424805751264415,7,Murimonas intestini,True,False
Indole,indole,onderdonkii,Other,75.81777451651696,35.21761257280895,34,Alistipes onderdonkii,True,False
Ethanol,etoh,bifidum,Other,72.88544904029575,12.340173067441226,2,Bifidobacterium bifidum,False,True
Threonine,thr_L,bifidum,Amino Acid,70.59448777357805,,1,Bifidobacterium bifidum,False,True
Phenylalanine,phe_L,bifidum,Other,70.38029219034732,30.819811158678124,14,Bifidobacterium bifidum,False,True
Uridine,uri,onderdonkii,Other,69.98736221983425,36.10742007998623,41,Alistipes onderdonkii,True,False
Glutamine,gln_L,bifidum,Amino Acid,69.92228443730924,25.26411069439639,11,Bifidobacterium bifidum,False,True
Phosphate,pi,onderdonkii,Other,69.76735151870088,29.011852477384874,92,Alistipes onderdonkii,True,False
Valine,val_L,wadsworthia,Other,68.71027817533452,32.84936752561621,3,Bilophila wadsworthia,False,True
Riboflavin,ribflv,prausnitzii,Other,68.61476106835,13.40583693564787,2,Faecalibacterium prausnitzii,True,False
Adenosine,adn,onderdonkii,Other,68.5867962429236,35.81465905543991,40,Alistipes onderdonkii,True,False
Hydrogen Sulfide,h2s,bifidum,Other,68.33340910039107,32.06975105095689,11,Bifidobacterium bifidum,False,True
Glycine,gly,prausnitzii,Amino Acid,66.43946796303298,23.281864363396586,11,Faecalibacterium prausnitzii,True,False
Phosphate,pi,intestinihominis,Other,65.4843008926903,36.27584739420215,31,Barnesiella intestinihominis,True,False
Nicotinamide,ncam,faecis,Other,65.03014773118166,,1,Blautia_A faecis,False,True
D-Lactate,lac_D,prausnitzii,Other,64.82817309167041,25.997042177246193,13,Faecalibacterium prausnitzii,True,False
D-Lactate,lac_D,intestini,Other,63.82014213348297,36.09693705851219,5,Murimonas intestini,True,False
Threonine,thr_L,inulinivorans,Amino Acid,63.23450332977269,,1,Roseburia inulinivorans,True,False
Butyrate,but,intestini,SCFA,62.57597206986759,39.78425826931709,5,Murimonas intestini,True,False
Alanine,ala_L,onderdonkii,Amino Acid,61.83491111524146,30.32807970579923,18,Alistipes onderdonkii,True,False
Succinate,succ,wadsworthia,Other,61.15598104486162,26.349602218361298,19,Bilophila wadsworthia,False,True
Asparagine,asn_L,prausnitzii,Other,61.064180572013086,45.76982218902261,2,Faecalibacterium prausnitzii,True,False
Guanosine,gsn,onderdonkii,Other,60.97417346578671,37.37229436416055,15,Alistipes onderdonkii,True,False
Guanosine,gsn,faecis,Other,60.666197770398334,33.61307330401279,17,Blautia_A faecis,False,True
Acetate,ac,faecis,SCFA,60.53315179556063,27.827631056174127,34,Blautia_A faecis,False,True
Glutathione (reduced),gthrd,prausnitzii,Other,60.23956542349103,30.079675385936987,4,Faecalibacterium prausnitzii,True,False
Uridine,uri,intestinihominis,Other,59.96858684278811,35.04192650684995,8,Barnesiella intestinihominis,True,False
Water,h2o,onderdonkii,Other,59.661101575443844,28.17229963667693,16,Alistipes onderdonkii,True,False
Glutamine,gln_L,onderdonkii,Amino Acid,59.29431351336545,32.09875837738662,57,Alistipes onderdonkii,True,False
Ammonium,nh4,hadrus,Other,58.79470211044945,28.724032079573345,50,Anaerostipes hadrus,False,True
Alanine,ala_L,faecis,Amino Acid,58.083636607884,18.858702112235946,11,Blautia_A faecis,False,True
Proton,h,faecis,Other,57.950332405344696,31.102906006428764,11,Blautia_A faecis,False,True
Xanthine,xan,bifidum,Other,57.70025374915647,12.892349593775524,3,Bifidobacterium bifidum,False,True
