met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Deoxycytidine,dcyt,onderdonkii,Other,Advanced_CRC,97.39394566786865,,1,Alistipes onderdonkii,True,False
Formate,for,prausnitzii,Other,Advanced_CRC,95.72518664622002,,1,Faecalibacterium prausnitzii,True,False
Formate,for,intestini,Other,Advanced_CRC,94.84803078230544,,1,intestini,True,False
Glycine,gly,bifidum,Amino Acid,Advanced_CRC,89.82802961592529,2.4584619224411624,6,Bifidobacterium bifidum,False,True
Propionate,ppa,prausnitzii,SCFA,Advanced_CRC,87.70922946872948,,1,Faecalibacterium prausnitzii,True,False
Ornithine,orn,faecis,Polyamine,Advanced_CRC,84.86878302459434,22.67118001840087,116,faecis,False,True
Uridine,uri,faecis,Other,Advanced_CRC,83.63625411248701,26.719027624676706,51,faecis,False,True
Indole,indole,hadrus,Other,Advanced_CRC,80.50802986395739,31.13100304243919,11,Anaerostipes hadrus,False,True
Indole,indole,onderdonkii,Other,Advanced_CRC,77.1327637473809,33.67248455772024,39,Alistipes onderdonkii,True,False
2obut,2obut,faecis,Other,Advanced_CRC,76.36498748135318,,1,faecis,False,True
Guanine,gua,faecis,Other,Advanced_CRC,76.074563948408,34.06251177172877,54,faecis,False,True
Alanine,ala_L,intestini,Amino Acid,Advanced_CRC,75.94577620642144,31.424805751264415,7,intestini,True,False
Valine,val_L,wadsworthia,Other,Advanced_CRC,74.76987828853149,29.432334464260546,4,Bilophila wadsworthia,False,True
Tryptophan,trp_L,hadrus,Indole / Tryptophan,Advanced_CRC,73.77977886306292,33.94719548480845,2,Anaerostipes hadrus,False,True
Riboflavin,ribflv,prausnitzii,Other,Advanced_CRC,73.75787398902843,13.008192169442232,3,Faecalibacterium prausnitzii,True,False
Phosphate,pi,onderdonkii,Other,Advanced_CRC,70.88899761007701,28.43326408338942,105,Alistipes onderdonkii,True,False
Phenylalanine,phe_L,bifidum,Other,Advanced_CRC,70.38029219034732,30.819811158678124,14,Bifidobacterium bifidum,False,True
Adenosine,adn,onderdonkii,Other,Advanced_CRC,69.66895266959695,34.36140501731921,45,Alistipes onderdonkii,True,False
Uridine,uri,onderdonkii,Other,Advanced_CRC,69.6583930843102,36.16270279739202,49,Alistipes onderdonkii,True,False
Glycine,gly,prausnitzii,Amino Acid,Advanced_CRC,67.48698670999958,22.49301930435811,12,Faecalibacterium prausnitzii,True,False
Glutamine,gln_L,bifidum,Amino Acid,Advanced_CRC,66.98405422597949,26.15049950167283,12,Bifidobacterium bifidum,False,True
D-Lactate,lac_D,prausnitzii,Other,Advanced_CRC,66.59069373429757,25.26519538072626,15,Faecalibacterium prausnitzii,True,False
Nicotinamide,ncam,faecis,Other,Advanced_CRC,65.03014773118166,,1,faecis,False,True
Guanosine,gsn,faecis,Other,Advanced_CRC,64.40812666263928,32.98097928119531,20,faecis,False,True
Hydrogen Sulfide,h2s,bifidum,Other,Advanced_CRC,64.03483725213509,34.010357187284214,12,Bifidobacterium bifidum,False,True
D-Lactate,lac_D,intestini,Other,Advanced_CRC,63.82014213348297,36.09693705851219,5,intestini,True,False
Phosphate,pi,intestinihominis,Other,Advanced_CRC,63.46550881580461,36.719074147544724,36,intestinihominis,True,False
