met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full
Guanine,gua,succinatiphilus,Other,98.99423150813845,,1,Dialister succinatiphilus
Acetaldehyde,acald,ruminicola,Other,98.9747258683874,,1,Cellulosilyticum ruminicola
Aspartate,asp_L,mutans,Amino Acid,98.91223952011494,,1,Streptococcus mutans
Glycerol-3-Phosphate,glyc3p,asburiae,Other,98.87408866960001,,1,Enterobacter asburiae
Uridine,uri,jandaei,Other,98.86833712996321,,1,Aeromonas jandaei
Arginine,arg_L,cloacae,Polyamine,98.85055612284839,,1,Enterobacter cloacae
Uridine,uri,succinatiphilus,Other,98.8451219651848,0.05612309573109772,2,Dialister succinatiphilus
2obut,2obut,agalactiae,Other,98.81457252203042,,1,Streptococcus agalactiae
Deoxycytidine,dcyt,splanchnicus,Other,98.81263679011545,,1,Odoribacter splanchnicus
Deoxyadenosine,dad_2,mutans,Other,98.7903542891295,,1,Streptococcus mutans
Alanine,ala_L,gasseri,Amino Acid,98.7713014447496,,1,Lactobacillus gasseri
Cysteine,cys_L,atypica,Other,98.76614067181453,,1,Veillonella atypica
Indole,indole,endodontalis,Other,98.71227105178549,,1,Porphyromonas endodontalis
Adenine,ade,corporis,Other,98.69922765833599,,1,Prevotella corporis
Adenosine,adn,enoeca,Other,98.68963122603775,,1,Prevotella enoeca
Propionate,ppa,media,SCFA,98.68106365369044,,1,Aeromonas media
Cytidine,cytd,gelidum,Other,98.63678399356992,,1,Leuconostoc gelidum
Deoxyadenosine,dad_2,sinus,Other,98.61764859928812,,1,Oribacterium sinus
Indole,indole,ascorbata,Other,98.61668724831652,0.34291121572710004,3,Kluyvera ascorbata
Hydrogen Sulfide,h2s,durum,Other,98.57741743452681,,1,Corynebacterium durum
4hphac,4hphac,propinquum,Other,98.57543572758915,,1,Corynebacterium propinquum
Uridine,uri,corporis,Other,98.57353139108767,,1,Prevotella corporis
2obut,2obut,sinus,Other,98.53680170904587,,1,Oribacterium sinus
Methionine,met_L,extructa,Amino Acid,98.52375382278747,,1,Bulleidia extructa
Deoxyguanosine,dgsn,synergistica,Other,98.50671530808867,,1,Butyricimonas synergistica
Deoxycytidine,dcyt,morganii,Other,98.49021529798512,,1,Morganella morganii
2obut,2obut,bryantii,Other,98.48854384644676,,1,Prevotella bryantii
Deoxycytidine,dcyt,pallens,Other,98.47707105279835,,1,Prevotella pallens
Adenine,ade,pseudopneumoniae,Other,98.46441355292725,,1,Streptococcus pseudopneumoniae
Deoxycytidine,dcyt,piscolens,Other,98.40283599753525,0.21937687383449847,2,Pyramidobacter piscolens
Ammonium,nh4,morbillorum,Other,98.38859581652105,,1,Gemella morbillorum
Ammonium,nh4,mucilaginosa,Other,98.38673637865358,0.07918400680347427,2,Rothia mucilaginosa
Tryptophan,trp_L,salyersiae,Indole / Tryptophan,98.37578555956429,0.6618776025921472,2,Bacteroides salyersiae
Adenine,ade,disiens,Other,98.35633938839312,0.03270210961556635,2,Prevotella disiens
Aspartate,asp_L,eutactus,Amino Acid,98.34196444678362,,1,Coprococcus eutactus
Deoxyguanosine,dgsn,piscolens,Other,98.33766380288017,0.8342347616423932,3,Pyramidobacter piscolens
idon_L,idon_L,enterica,Other,98.27060020345883,,1,Salmonella enterica
Methionine,met_L,mutans,Amino Acid,98.21259641735325,,1,Streptococcus mutans
Ammonium,nh4,sakazakii,Other,98.2100789512647,,1,Cronobacter sakazakii
Guanine,gua,butyricum,Other,98.19370874876563,,1,Clostridium butyricum
Acetate,ac,conceptionensis,SCFA,98.16627102052861,,1,Prevotella conceptionensis
Arginine,arg_L,limosum,Polyamine,98.12500874342305,0.5584563475592759,2,Eubacterium limosum
hista,hista,corrodens,Other,98.01542317968291,,1,Eikenella corrodens
Acetate,ac,haemolysans,SCFA,98.00828818067072,,1,Gemella haemolysans
Gluconate,glcn,cancerogenus,Other,97.97667630710542,,1,Enterobacter cancerogenus
Cysteine,cys_L,gelidum,Other,97.9739979979581,,1,Leuconostoc gelidum
Hydrogen Sulfide,h2s,scardovii,Other,97.95817846090586,1.445119048514972,2,Bifidobacterium scardovii
Hydrogen Sulfide,h2s,corrodens,Other,97.93843269569933,,1,Eikenella corrodens
Cysteine,cys_L,sakazakii,Other,97.93667464097025,,1,Cronobacter sakazakii
Lactate,lac_L,subtilis,Other,97.90843144021768,,1,Bacillus subtilis
Phenylalanine,phe_L,thermophilum,Other,97.89290071176315,,1,Bifidobacterium thermophilum
Glutamine,gln_L,pallens,Amino Acid,97.88940258508784,,1,Prevotella pallens
Isoleucine,ile_L,agalactiae,Amino Acid,97.84814212271822,,1,Streptococcus agalactiae
Phenylalanine,phe_L,exigua,Other,97.8322798588036,,1,Slackia exigua
Indole,indole,pilosicoli,Other,97.79922549705311,0.19966232693909672,3,Brachyspira pilosicoli
Deoxyadenosine,dad_2,kashiwanohense,Other,97.79149408914611,0.02827784374878915,2,Bifidobacterium kashiwanohense
Deoxyguanosine,dgsn,pullicaecorum,Other,97.7907078846756,,1,Butyricicoccus pullicaecorum
Deoxycytidine,dcyt,denticola,Other,97.75350089055985,,1,Prevotella denticola
Indole,indole,media,Other,97.74940228491641,,1,Aeromonas media
Uridine,uri,propinquum,Other,97.72151167304881,,1,Corynebacterium propinquum
Adenosine,adn,ruminicola,Other,97.69223129674624,,1,Cellulosilyticum ruminicola
Hydrogen Sulfide,h2s,butyricum,Other,97.6598924630223,,1,Clostridium butyricum
Arginine,arg_L,asburiae,Polyamine,97.62360731162559,,1,Enterobacter asburiae
Nicotinate,nac,enterica,Other,97.60352838087918,,1,Salmonella enterica
Guanosine,gsn,tannerae,Other,97.57235856146585,,1,Alloprevotella tannerae
Tryptophan,trp_L,oxytoca,Indole / Tryptophan,97.57051588562291,0.3538165123310655,2,Klebsiella oxytoca
Tryptophan,trp_L,media,Indole / Tryptophan,97.55355053974012,,1,Aeromonas media
Proline,pro_L,dentocariosa,Amino Acid,97.53445524361831,0.8881221965282444,4,Rothia dentocariosa
Adenosine,adn,enterica,Other,97.53157396069548,,1,Salmonella enterica
Cholate,cholate,angulatum,Bile Acid,97.44827655410882,,1,Bifidobacterium angulatum
Adenine,ade,pallens,Other,97.42312477013945,,1,Prevotella pallens
Deoxycytidine,dcyt,onderdonkii,Other,97.39394566786865,,1,Alistipes onderdonkii
Indole,indole,marcescens,Other,97.32180115303213,,1,Serratia marcescens
