met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full
Guanine,gua,succinatiphilus,Other,Advanced_CRC,98.99423150813845,,1,Dialister succinatiphilus
Acetaldehyde,acald,ruminicola,Other,Advanced_CRC,98.9747258683874,,1,ruminicola
Glycerol-3-Phosphate,glyc3p,asburiae,Other,Advanced_CRC,98.87408866960001,,1,Enterobacter asburiae
Uridine,uri,jandaei,Other,Advanced_CRC,98.86833712996321,,1,Aeromonas jandaei
Proline,pro_L,limosum,Amino Acid,Advanced_CRC,98.85202553888722,,1,Eubacterium limosum
Arginine,arg_L,cloacae,Polyamine,Advanced_CRC,98.85055612284839,,1,Enterobacter cloacae
Uridine,uri,succinatiphilus,Other,Advanced_CRC,98.8451219651848,0.05612309573109772,2,Dialister succinatiphilus
2obut,2obut,agalactiae,Other,Advanced_CRC,98.81457252203042,,1,Streptococcus agalactiae
Deoxycytidine,dcyt,splanchnicus,Other,Advanced_CRC,98.81263679011545,,1,Odoribacter splanchnicus
Deoxyadenosine,dad_2,mutans,Other,Advanced_CRC,98.7903542891295,,1,Streptococcus mutans
Alanine,ala_L,gasseri,Amino Acid,Advanced_CRC,98.7713014447496,,1,Lactobacillus gasseri
Indole,indole,endodontalis,Other,Advanced_CRC,98.71227105178549,,1,Porphyromonas endodontalis
Adenine,ade,corporis,Other,Advanced_CRC,98.69922765833599,,1,Prevotella corporis
Adenine,ade,scardovii,Other,Advanced_CRC,98.69136442933532,,1,Bifidobacterium scardovii
Adenosine,adn,enoeca,Other,Advanced_CRC,98.68963122603775,,1,Prevotella enoeca
Propionate,ppa,media,SCFA,Advanced_CRC,98.68106365369044,,1,Aeromonas media
Cytidine,cytd,gelidum,Other,Advanced_CRC,98.63678399356992,,1,Leuconostoc gelidum
Deoxyadenosine,dad_2,sinus,Other,Advanced_CRC,98.61764859928812,,1,Oribacterium sinus
Indole,indole,ascorbata,Other,Advanced_CRC,98.61668724831652,0.34291121572710004,3,Kluyvera ascorbata
Hydrogen Sulfide,h2s,durum,Other,Advanced_CRC,98.57741743452681,,1,Corynebacterium durum
4hphac,4hphac,propinquum,Other,Advanced_CRC,98.57543572758915,,1,Corynebacterium propinquum
Uridine,uri,corporis,Other,Advanced_CRC,98.57353139108767,,1,Prevotella corporis
2obut,2obut,sinus,Other,Advanced_CRC,98.53680170904587,,1,Oribacterium sinus
Methionine,met_L,extructa,Amino Acid,Advanced_CRC,98.52375382278747,,1,Bulleidia extructa
Deoxyguanosine,dgsn,synergistica,Other,Advanced_CRC,98.50671530808867,,1,Butyricimonas synergistica
Deoxycytidine,dcyt,morganii,Other,Advanced_CRC,98.49021529798512,,1,Morganella morganii
2obut,2obut,bryantii,Other,Advanced_CRC,98.48854384644676,,1,Prevotella bryantii
Adenine,ade,alocis,Other,Advanced_CRC,98.48204711283903,,1,Filifactor alocis
Deoxycytidine,dcyt,pallens,Other,Advanced_CRC,98.47707105279835,,1,pallens
Adenine,ade,pseudopneumoniae,Other,Advanced_CRC,98.46441355292725,,1,Streptococcus pseudopneumoniae
Deoxycytidine,dcyt,piscolens,Other,Advanced_CRC,98.40283599753525,0.21937687383449847,2,Pyramidobacter piscolens
Ammonium,nh4,morbillorum,Other,Advanced_CRC,98.38859581652105,,1,Gemella morbillorum
Ammonium,nh4,mucilaginosa,Other,Advanced_CRC,98.38673637865358,0.07918400680347427,2,Rothia mucilaginosa
Tryptophan,trp_L,salyersiae,Indole / Tryptophan,Advanced_CRC,98.37578555956429,0.6618776025921472,2,Bacteroides salyersiae
Adenine,ade,disiens,Other,Advanced_CRC,98.35633938839312,0.03270210961556635,2,Prevotella disiens
Aspartate,asp_L,eutactus,Amino Acid,Advanced_CRC,98.34196444678362,,1,Coprococcus eutactus
Deoxyguanosine,dgsn,piscolens,Other,Advanced_CRC,98.33766380288017,0.8342347616423932,3,Pyramidobacter piscolens
Acetate,ac,boum,SCFA,Advanced_CRC,98.309739841273,,1,Bifidobacterium boum
idon_L,idon_L,enterica,Other,Advanced_CRC,98.27060020345883,,1,Salmonella enterica
Methionine,met_L,mutans,Amino Acid,Advanced_CRC,98.21259641735325,,1,Streptococcus mutans
Ammonium,nh4,sakazakii,Other,Advanced_CRC,98.2100789512647,,1,Cronobacter sakazakii
Guanine,gua,butyricum,Other,Advanced_CRC,98.19370874876563,,1,Clostridium butyricum
Acetate,ac,conceptionensis,SCFA,Advanced_CRC,98.16627102052861,,1,Prevotella conceptionensis
Arginine,arg_L,limosum,Polyamine,Advanced_CRC,98.12500874342305,0.5584563475592759,2,Eubacterium limosum
2obut,2obut,scardovii,Other,Advanced_CRC,98.0285798207104,,1,Bifidobacterium scardovii
hista,hista,corrodens,Other,Advanced_CRC,98.01542317968291,,1,Eikenella corrodens
Acetate,ac,haemolysans,SCFA,Advanced_CRC,98.00828818067072,,1,Gemella haemolysans
Gluconate,glcn,cancerogenus,Other,Advanced_CRC,97.97667630710542,,1,Enterobacter cancerogenus
Cysteine,cys_L,gelidum,Other,Advanced_CRC,97.9739979979581,,1,Leuconostoc gelidum
Hydrogen Sulfide,h2s,corrodens,Other,Advanced_CRC,97.93843269569933,,1,Eikenella corrodens
Cysteine,cys_L,sakazakii,Other,Advanced_CRC,97.93667464097025,,1,Cronobacter sakazakii
Phenylalanine,phe_L,thermophilum,Other,Advanced_CRC,97.89290071176315,,1,Bifidobacterium thermophilum
Glutamine,gln_L,pallens,Amino Acid,Advanced_CRC,97.88940258508784,,1,pallens
Isoleucine,ile_L,agalactiae,Amino Acid,Advanced_CRC,97.84814212271822,,1,Streptococcus agalactiae
Phenylalanine,phe_L,exigua,Other,Advanced_CRC,97.8322798588036,,1,exigua
Indole,indole,pilosicoli,Other,Advanced_CRC,97.79922549705311,0.19966232693909672,3,Brachyspira pilosicoli
Deoxyadenosine,dad_2,kashiwanohense,Other,Advanced_CRC,97.79149408914611,0.02827784374878915,2,Bifidobacterium kashiwanohense
Deoxyguanosine,dgsn,pullicaecorum,Other,Advanced_CRC,97.7907078846756,,1,Butyricicoccus pullicaecorum
Lysine,lys_L,limosum,Amino Acid,Advanced_CRC,97.78852249997234,,1,Eubacterium limosum
csn,csn,uli,Other,Advanced_CRC,97.75628834752763,,1,Olsenella uli
Deoxycytidine,dcyt,denticola,Other,Advanced_CRC,97.75350089055985,,1,denticola
Indole,indole,media,Other,Advanced_CRC,97.74940228491641,,1,Aeromonas media
Uridine,uri,propinquum,Other,Advanced_CRC,97.72151167304881,,1,Corynebacterium propinquum
Adenosine,adn,ruminicola,Other,Advanced_CRC,97.69223129674624,,1,ruminicola
Hydrogen Sulfide,h2s,butyricum,Other,Advanced_CRC,97.6598924630223,,1,Clostridium butyricum
Arginine,arg_L,asburiae,Polyamine,Advanced_CRC,97.62360731162559,,1,Enterobacter asburiae
Nicotinate,nac,enterica,Other,Advanced_CRC,97.60352838087918,,1,Salmonella enterica
Adenine,ade,bivia,Other,Advanced_CRC,97.59302697645091,1.2537945527282006,3,Prevotella bivia
Guanosine,gsn,tannerae,Other,Advanced_CRC,97.57235856146585,,1,Alloprevotella tannerae
Tryptophan,trp_L,oxytoca,Indole / Tryptophan,Advanced_CRC,97.57051588562291,0.3538165123310655,2,Klebsiella oxytoca
Tryptophan,trp_L,media,Indole / Tryptophan,Advanced_CRC,97.55355053974012,,1,Aeromonas media
Proline,pro_L,dentocariosa,Amino Acid,Advanced_CRC,97.53445524361831,0.8881221965282444,4,Rothia dentocariosa
Adenosine,adn,enterica,Other,Advanced_CRC,97.53157396069548,,1,Salmonella enterica
Cholate,cholate,angulatum,Bile Acid,Advanced_CRC,97.44827655410882,,1,Bifidobacterium angulatum
Adenine,ade,pallens,Other,Advanced_CRC,97.42312477013945,,1,pallens
Deoxycytidine,dcyt,onderdonkii,Other,Advanced_CRC,97.39394566786865,,1,Alistipes onderdonkii
Indole,indole,marcescens,Other,Advanced_CRC,97.32180115303213,,1,Serratia marcescens
Methionine,met_L,australis,Amino Acid,Advanced_CRC,97.31628617004773,0.9762671191115665,2,australis
Deoxyguanosine,dgsn,asaccharolytica,Other,Advanced_CRC,97.2864107212055,1.7341948155592364,4,asaccharolytica
Uridine,uri,asaccharolytica,Other,Advanced_CRC,97.2748462902969,,1,asaccharolytica
Proton,h,capillosus,Other,Advanced_CRC,97.2652185710208,,1,Pseudoflavonifractor capillosus
D-Alanine,ala_D,atypica,Other,Advanced_CRC,97.24999882082307,,1,Veillonella atypica
Guanosine,gsn,ruminicola,Other,Advanced_CRC,97.18667414562091,1.6998794997529472,4,ruminicola
Indole,indole,rohdei,Other,Advanced_CRC,97.17158631316862,,1,Yersinia rohdei
Guanine,gua,corporis,Other,Advanced_CRC,97.06181243247171,0.19675420975139862,2,Prevotella corporis
Deoxycytidine,dcyt,jalaludinii,Other,Advanced_CRC,97.0412594364794,,1,Mitsuokella jalaludinii
Hydrogen Sulfide,h2s,guamensis,Other,Advanced_CRC,97.00552940459056,,1,Trabulsiella guamensis
Hydrogen Sulfide,h2s,enterocolitica,Other,Advanced_CRC,96.96659014069368,,1,Yersinia enterocolitica
CO2,co2,media,Other,Advanced_CRC,96.94034016707656,,1,Aeromonas media
Cysteine,cys_L,graevenitzii,Other,Advanced_CRC,96.9266330676153,,1,Actinomyces graevenitzii
Proline,pro_L,mucilaginosa,Amino Acid,Advanced_CRC,96.86625210132283,0.5702579848953794,4,Rothia mucilaginosa
Indole,indole,synergistica,Other,Advanced_CRC,96.85841352235953,,1,Butyricimonas synergistica
Succinate,succ,buccae,Other,Advanced_CRC,96.84191623558081,,1,Prevotella buccae
Phenylalanine,phe_L,dentocariosa,Other,Advanced_CRC,96.7993479444251,1.138849585883928,3,Rothia dentocariosa
Aspartate,asp_L,alocis,Amino Acid,Advanced_CRC,96.77419354838833,,1,Filifactor alocis
Glutamate,glu_L,agalactiae,Amino Acid,Advanced_CRC,96.76367819046607,,1,Streptococcus agalactiae
Guanine,gua,nanceiensis,Other,Advanced_CRC,96.73699578049695,,1,Prevotella nanceiensis
2obut,2obut,dentocariosa,Other,Advanced_CRC,96.71312075834726,,1,Rothia dentocariosa
Indole,indole,graminisolvens,Other,Advanced_CRC,96.70114040500937,,1,Bacteroides graminisolvens
Alpha-Ketoglutarate,akg,enterica,Other,Advanced_CRC,96.68372617980853,,1,Salmonella enterica
Glycine,gly,limosum,Amino Acid,Advanced_CRC,96.67696521147155,,1,Eubacterium limosum
Glutamate,glu_L,enterica,Amino Acid,Advanced_CRC,96.6524879027292,0.2662065022814486,2,Salmonella enterica
Propionate,ppa,enterica,SCFA,Advanced_CRC,96.65101847106303,1.3423323905585323,3,Salmonella enterica
Gamma-Butyrobetaine,gbbtn,youngae,Other,Advanced_CRC,96.63952693908354,,1,Citrobacter youngae
Indole,indole,freundii,Other,Advanced_CRC,96.55315728727058,0.27534661468068405,2,Citrobacter freundii
Adenosine,adn,bryantii,Other,Advanced_CRC,96.51940733685814,2.8793326545875155,2,Prevotella bryantii
Hydrogen Sulfide,h2s,aeruginosa,Other,Advanced_CRC,96.45149333244314,0.3005149046925449,2,Pseudomonas aeruginosa
Inosine,ins,regensburgei,Other,Advanced_CRC,96.43720681338601,,1,Yokenella regensburgei
Formate,for,angulatum,Other,Advanced_CRC,96.38659262037605,,1,Bifidobacterium angulatum
Uridine,uri,nigrescens,Other,Advanced_CRC,96.31983595340323,2.199159968806738,3,Prevotella nigrescens
Hydrogen Sulfide,h2s,hormaechei,Other,Advanced_CRC,96.28596509274834,0.34667166191998827,5,Enterobacter hormaechei
Guanosine,gsn,enterica,Other,Advanced_CRC,96.28107992194805,2.1507848768477005,2,Salmonella enterica
Alanine,ala_L,liquefaciens,Amino Acid,Advanced_CRC,96.26703864443607,,1,Serratia liquefaciens
Uridine,uri,scardovii,Other,Advanced_CRC,96.2531569560436,2.427402537304593,4,Bifidobacterium scardovii
Valine,val_L,enterica,Other,Advanced_CRC,96.21153991130473,,1,Salmonella enterica
Hydrogen Sulfide,h2s,universalis,Other,Advanced_CRC,96.1991423824609,,1,universalis
Cysteine,cys_L,breve,Other,Advanced_CRC,96.11483312162099,,1,Bifidobacterium breve
Phosphate,pi,capillosus,Other,Advanced_CRC,96.09414724758874,4.091936630618028,3,Pseudoflavonifractor capillosus
Adenine,ade,kashiwanohense,Other,Advanced_CRC,96.0862505095369,7.33032219624826,63,Bifidobacterium kashiwanohense
Guanine,gua,forsythia,Other,Advanced_CRC,96.07719359254374,,1,Tannerella forsythia
CO2,co2,pseudopneumoniae,Other,Advanced_CRC,96.0753439585797,,1,Streptococcus pseudopneumoniae
tym,tym,durum,Other,Advanced_CRC,95.9401700380104,,1,Corynebacterium durum
Cysteine,cys_L,oxytoca,Other,Advanced_CRC,95.93046279766526,0.6350719324912065,8,Klebsiella oxytoca
Phenylacetate,pac,forsythia,Other,Advanced_CRC,95.92905187328466,0.3911781876734746,2,Tannerella forsythia
Adenosine,adn,albensis,Other,Advanced_CRC,95.92402045039815,,1,Prevotella albensis
Uridine,uri,conceptionensis,Other,Advanced_CRC,95.85421323981863,0.6541698132038801,4,Prevotella conceptionensis
hista,hista,aphrophilus,Other,Advanced_CRC,95.84759504303595,,1,Aggregatibacter aphrophilus
2obut,2obut,kashiwanohense,Other,Advanced_CRC,95.83113715058032,,1,Bifidobacterium kashiwanohense
Hydrogen Sulfide,h2s,rohdei,Other,Advanced_CRC,95.80831272753454,,1,Yersinia rohdei
Guanine,gua,denticola,Other,Advanced_CRC,95.77908128972807,0.8329771060702357,11,denticola
Formate,for,prausnitzii,Other,Advanced_CRC,95.72518664622002,,1,Faecalibacterium prausnitzii
Phenylalanine,phe_L,mucilaginosa,Other,Advanced_CRC,95.69942325835662,1.372444807076804,3,Rothia mucilaginosa
CO2,co2,butyricum,Other,Advanced_CRC,95.69816339629526,,1,Clostridium butyricum
D-Alanine,ala_D,mucilaginosa,Other,Advanced_CRC,95.68415185951638,2.904931296099015,7,Rothia mucilaginosa
Uridine,uri,boum,Other,Advanced_CRC,95.6644716243425,,1,Bifidobacterium boum
Lysine,lys_L,bryantii,Amino Acid,Advanced_CRC,95.57164423231129,,1,Prevotella bryantii
Uridine,uri,buccae,Other,Advanced_CRC,95.55233114046223,3.1199232893607696,8,Prevotella buccae
CO2,co2,alocis,Other,Advanced_CRC,95.52416524494527,,1,Filifactor alocis
Indole,indole,intermedia,Other,Advanced_CRC,95.51480582969407,6.287214115441671,4,intermedia
Adenine,ade,extructa,Other,Advanced_CRC,95.50241126795359,3.3353856780585898,2,Bulleidia extructa
2obut,2obut,uli,Other,Advanced_CRC,95.48244108624984,,1,Olsenella uli
R-Acetoin,actn_R,infantarius,Other,Advanced_CRC,95.45454545454545,,1,Streptococcus infantarius
Adenine,ade,enoeca,Other,Advanced_CRC,95.41220703844964,,1,Prevotella enoeca
Isoleucine,ile_L,desulfuricans,Amino Acid,Advanced_CRC,95.39724550906014,,1,Desulfovibrio desulfuricans
Isoleucine,ile_L,rohdei,Amino Acid,Advanced_CRC,95.3556591660226,,1,Yersinia rohdei
Glycine,gly,evryensis,Amino Acid,Advanced_CRC,95.33509595463158,1.1037126928737826,3,Cloacibacillus evryensis
Hydrogen Sulfide,h2s,marcescens,Other,Advanced_CRC,95.32815950890952,,1,Serratia marcescens
isobut,isobut,virosa,Other,Advanced_CRC,95.24642123235714,,1,Butyricimonas virosa
Uridine,uri,forsythia,Other,Advanced_CRC,95.20637063322177,0.18150752099409634,2,Tannerella forsythia
Serine,ser_L,virosa,Other,Advanced_CRC,95.19046460200875,,1,Butyricimonas virosa
Phenylalanine,phe_L,aeruginosa,Other,Advanced_CRC,95.14625646972256,,1,Pseudomonas aeruginosa
Isoleucine,ile_L,propinquum,Amino Acid,Advanced_CRC,95.13457236467488,,1,Corynebacterium propinquum
