epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,display_species,genus_confirmed
bartlettii,Intestinibacter bartlettii,73.23751015384708,Other,Intestinibacter,,,,,Lactate,C00186,Intestinibacter bartlettii,False
bifidum,Bifidobacterium bifidum,57.566491955665086,Other,Bifidobacterium,,,,,Lactate,C00186,Bifidobacterium bifidum,False
hadrus,Anaerostipes hadrus,56.250614410876345,Other,Anaerostipes,,,,,Lactate,C00186,Anaerostipes hadrus,False
haemolysans,Gemella haemolysans,85.71428571429976,Other,Gemella,,,,,Lactate,C00186,Gemella haemolysans,False
lenta,,,,,Victivallis,Victivallis lenta,0.004999052911169,SVR,Lactate,C00186,Victivallis lenta,False
longum,Bifidobacterium longum,70.9450341532073,Other,Bifidobacterium,,,,,Lactate,C00186,Bifidobacterium longum,False
macacae,,,,,Streptococcus,Streptococcus macacae,0.0048601735417661,SVR,Lactate,C00186,Streptococcus macacae,True
morbillorum,Gemella morbillorum,63.33333333333319,Other,Gemella,,,,,Lactate,C00186,Gemella morbillorum,False
oralis_BH,,,,,Streptococcus,Streptococcus oralis_BH,0.0042497199907133,SVR,Lactate,C00186,Streptococcus oralis_BH,True
parasanguinis,Streptococcus parasanguinis,78.26086956521851,Other,Streptococcus,,,,,Lactate,C00186,Streptococcus parasanguinis,True
parvirubra,,,,,Sutterella,Sutterella parvirubra,0.0035914216388567,SVR,Lactate,C00186,Sutterella parvirubra,False
provencensis,,,,,Acidaminococcus,Acidaminococcus provencensis,0.0040555654422322,SVR,Lactate,C00186,Acidaminococcus provencensis,False
salivae,Prevotella salivae,80.60646619886853,Other,Prevotella,,,,,Lactate,C00186,Prevotella salivae,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0040808186013551,SVR,Lactate,C00186,Lachnospira sp000436475,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.0071211887431702,SVR,Lactate,C00186,Leptotrichia_A sp001274535,False
sp002393575,,,,,UBA3839,UBA3839 sp002393575,0.0079096206563313,SVR,Lactate,C00186,UBA3839 sp002393575,False
sp003506415,,,,,UBA9506,UBA9506 sp003506415,0.0053542425555223,SVR,Lactate,C00186,UBA9506 sp003506415,False
sp003531585,,,,,CAG-115,CAG-115 sp003531585,0.0038473149231068,SVR,Lactate,C00186,CAG-115 sp003531585,False
sp900539265,,,,,CAG-313,CAG-313 sp900539265,0.0044542154084088,SVR,Lactate,C00186,CAG-313 sp900539265,False
sp900540275,,,,,Scatavimonas,Scatavimonas sp900540275,0.0041497000996972,SVR,Lactate,C00186,Scatavimonas sp900540275,False
sp900543455,,,,,Dialister,Dialister sp900543455,0.0046642413374713,SVR,Lactate,C00186,Dialister sp900543455,True
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0112786826455896,SVR,Lactate,C00186,UMGS693 sp900544555,False
sp900546315,,,,,Flemingibacterium,Flemingibacterium sp900546315,0.0044324941009518,SVR,Lactate,C00186,Flemingibacterium sp900546315,False
sp900548385,,,,,UBA1829,UBA1829 sp900548385,0.008120837474679,SVR,Lactate,C00186,UBA1829 sp900548385,False
sp910589555,,,,,Muribaculum,Muribaculum sp910589555,0.0041241726650922,SVR,Lactate,C00186,Muribaculum sp910589555,False
spG000499525,,,,,CCUG-7971,CCUG-7971 spG000499525,0.0055232110263299,SVR,Lactate,C00186,CCUG-7971 spG000499525,False
stercoripullorum,,,,,Collinsella,Collinsella stercoripullorum,0.0041059280218589,SVR,Lactate,C00186,Collinsella stercoripullorum,False
subtilis,Bacillus subtilis,97.90843144021768,Other,Bacillus,,,,,Lactate,C00186,Bacillus subtilis,False
wadei,,,,,Leptotrichia,Leptotrichia wadei,0.0144709394179361,SVR,Lactate,C00186,Leptotrichia wadei,False
xylanisolvens,Bacteroides xylanisolvens,59.549531493543945,Other,Bacteroides,,,,,Lactate,C00186,Bacteroides xylanisolvens,False
agalactiae,Streptococcus agalactiae,97.84814212271822,Amino Acid,Streptococcus,,,,,Isoleucine,C00407,Streptococcus agalactiae,False
