epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,stage,display_species,genus_confirmed
alactolyticus,alactolyticus,98.51660334539602,Amino Acid,alactolyticus,,,,,Isoleucine,C00407,Healthy,alactolyticus,False
ascorbata,Kluyvera ascorbata,85.78512985886537,Amino Acid,Kluyvera,,,,,Isoleucine,C00407,Healthy,Kluyvera ascorbata,False
cerevisiae,,,,,Megasphaera,Megasphaera cerevisiae,0.0066434317492687,SVR,Isoleucine,C00407,Healthy,Megasphaera cerevisiae,False
coli,,,,,Escherichia,Escherichia coli,0.0059514377462402,SVR,Isoleucine,C00407,Healthy,Escherichia coli,True
faecium,,,,,Gallimonas,Gallimonas faecium,0.0049361278920729,SVR,Isoleucine,C00407,Healthy,Gallimonas faecium,False
jalaludinii,Mitsuokella jalaludinii,74.23115628444266,Amino Acid,Mitsuokella,,,,,Isoleucine,C00407,Healthy,Mitsuokella jalaludinii,False
longum,,,,,Bifidobacterium,Bifidobacterium longum,0.0079343112263185,SVR,Isoleucine,C00407,Healthy,Bifidobacterium longum,True
morganii,Morganella morganii,79.7555346186593,Amino Acid,Morganella,,,,,Isoleucine,C00407,Healthy,Morganella morganii,False
mortiferum,,,,,Fusobacterium_A,Fusobacterium_A mortiferum,0.0138788629778918,SVR,Isoleucine,C00407,Healthy,Fusobacterium_A mortiferum,False
ornithinolytica,,,,,Klebsiella,Klebsiella ornithinolytica,0.0130091556423128,SVR,Isoleucine,C00407,Healthy,Klebsiella ornithinolytica,True
pilosicoli,Brachyspira pilosicoli,88.77023772855155,Amino Acid,Brachyspira,,,,,Isoleucine,C00407,Healthy,Brachyspira pilosicoli,False
pullicaecorum,Butyricicoccus pullicaecorum,70.03057907471936,Amino Acid,Butyricicoccus,,,,,Isoleucine,C00407,Healthy,Butyricicoccus pullicaecorum,False
pullicola,,,,,Egerieicola,Egerieicola pullicola,0.0121850427632336,SVR,Isoleucine,C00407,Healthy,Egerieicola pullicola,False
rohdei,Yersinia rohdei,93.26295143283376,Amino Acid,Yersinia,,,,,Isoleucine,C00407,Healthy,Yersinia rohdei,False
sakazakii,Cronobacter sakazakii,85.92819152907616,Amino Acid,Cronobacter,,,,,Isoleucine,C00407,Healthy,Cronobacter sakazakii,False
scardovii,Bifidobacterium scardovii,94.9348694896327,Amino Acid,Bifidobacterium,,,,,Isoleucine,C00407,Healthy,Bifidobacterium scardovii,True
silvisoli,,,,,Chitinophaga,Chitinophaga silvisoli,0.0062227107603198,SVR,Isoleucine,C00407,Healthy,Chitinophaga silvisoli,False
sp000235465,,,,,Fusobacterium,Fusobacterium sp000235465,0.0060361823267351,SVR,Isoleucine,C00407,Healthy,Fusobacterium sp000235465,False
sp000432175,,,,,CAG-115,CAG-115 sp000432175,0.0078080823664354,SVR,Isoleucine,C00407,Healthy,CAG-115 sp000432175,False
sp000436475,,,,,Lachnospira,Lachnospira sp000436475,0.0074037705140867,SVR,Isoleucine,C00407,Healthy,Lachnospira sp000436475,False
sp000436835,,,,,Eubacterium_R,Eubacterium_R sp000436835,0.0045671716779725,SVR,Isoleucine,C00407,Healthy,Eubacterium_R sp000436835,False
sp001274535,,,,,Leptotrichia_A,Leptotrichia_A sp001274535,0.009545651320814,SVR,Isoleucine,C00407,Healthy,Leptotrichia_A sp001274535,False
sp005843885,,,,,Escherichia,Escherichia sp005843885,0.004921900678952,SVR,Isoleucine,C00407,Healthy,Escherichia sp005843885,True
sp013333035,,,,,CAG-793,CAG-793 sp013333035,0.0046664335039683,SVR,Isoleucine,C00407,Healthy,CAG-793 sp013333035,False
sp017590215,,,,,CCUG-7971,CCUG-7971 sp017590215,0.0086863360208072,SVR,Isoleucine,C00407,Healthy,CCUG-7971 sp017590215,False
sp900540255,,,,,Clostridium,Clostridium sp900540255,0.0054713358316847,SVR,Isoleucine,C00407,Healthy,Clostridium sp900540255,False
sp900541605,,,,,Dialister,Dialister sp900541605,0.0079537428907459,SVR,Isoleucine,C00407,Healthy,Dialister sp900541605,False
sp905212345,,,,,Aphodousia,Aphodousia sp905212345,0.0089235359644648,SVR,Isoleucine,C00407,Healthy,Aphodousia sp905212345,False
sp905213155,,,,,Acidaminococcus,Acidaminococcus sp905213155,0.0060001738519559,SVR,Isoleucine,C00407,Healthy,Acidaminococcus sp905213155,False
thermophilus,thermophilus,77.67237428444218,Amino Acid,thermophilus,,,,,Isoleucine,C00407,Healthy,thermophilus,False
albertii,Escherichia albertii,35.506176959498355,Other,Escherichia,,,,,Glucose-6-Phosphate,C00092,Healthy,Escherichia albertii,False
asburiae,Enterobacter asburiae,40.98540049845697,Other,Enterobacter,,,,,Glucose-6-Phosphate,C00092,Healthy,Enterobacter asburiae,False
butyricum,Clostridium butyricum,59.19062127172285,Other,Clostridium,,,,,Glucose-6-Phosphate,C00092,Healthy,Clostridium butyricum,False
copri_A,,,,,Prevotella,Prevotella copri_A,0.0326544522027675,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Prevotella copri_A,False
desulfuricans_A,,,,,Desulfovibrio,Desulfovibrio desulfuricans_A,0.0216158864956854,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Desulfovibrio desulfuricans_A,False
fergusonii,Escherichia fergusonii,38.25977228588459,Other,Escherichia,,,,,Glucose-6-Phosphate,C00092,Healthy,Escherichia fergusonii,False
freundii,Citrobacter freundii,97.9790313970584,Other,Citrobacter,,,,,Glucose-6-Phosphate,C00092,Healthy,Citrobacter freundii,False
indistinctus,,,,,Alistipes_A,Alistipes_A indistinctus,0.0277256207049428,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Alistipes_A indistinctus,False
maltaromaticum,,,,,Carnobacterium,Carnobacterium maltaromaticum,0.016111864165001,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Carnobacterium maltaromaticum,False
massiliensis,,,,,Megasphaera,Megasphaera massiliensis,0.0174868250440423,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Megasphaera massiliensis,False
oxytoca,Klebsiella oxytoca,9.417772042092945,Other,Klebsiella,,,,,Glucose-6-Phosphate,C00092,Healthy,Klebsiella oxytoca,False
provencensis,,,,,Acidaminococcus,Acidaminococcus provencensis,0.0188873449848266,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Acidaminococcus provencensis,False
sp000186165,,,,,Neisseria,Neisseria sp000186165,0.0187696357248922,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Neisseria sp000186165,False
sp000435795,,,,,Copromonas,Copromonas sp000435795,0.0182263941210277,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Copromonas sp000435795,False
sp001657575,,,,,Barb7,Barb7 sp001657575,0.0203669158955762,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Barb7 sp001657575,False
sp002438575,,,,,CAG-83,CAG-83 sp002438575,0.026718445772191,LightGBM,Glucose-6-Phosphate,C00092,Healthy,CAG-83 sp002438575,False
sp003150615,,,,,Merdimorpha,Merdimorpha sp003150615,0.0167425527378918,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Merdimorpha sp003150615,False
sp016292635,,,,,SFEL01,SFEL01 sp016292635,0.0186011192114546,LightGBM,Glucose-6-Phosphate,C00092,Healthy,SFEL01 sp016292635,False
sp016292785,,,,,CAG-488,CAG-488 sp016292785,0.0137960124166413,LightGBM,Glucose-6-Phosphate,C00092,Healthy,CAG-488 sp016292785,False
sp017460955,,,,,UBA3855,UBA3855 sp017460955,0.0156563608255737,LightGBM,Glucose-6-Phosphate,C00092,Healthy,UBA3855 sp017460955,False
sp018065665,,,,,Sodaliphilus,Sodaliphilus sp018065665,0.0192132337151713,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Sodaliphilus sp018065665,False
sp900548415,,,,,Porphyromonas,Porphyromonas sp900548415,0.0287782438567826,LightGBM,Glucose-6-Phosphate,C00092,Healthy,Porphyromonas sp900548415,False
sp900761895,,,,,HGM11417,HGM11417 sp900761895,0.0158815817022619,LightGBM,Glucose-6-Phosphate,C00092,Healthy,HGM11417 sp900761895,False
