target,target_name,model,rho_mean,r2_mean,pathway
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,0.443276492781966,0.1220666794052648,Other
C00003_NAD+,C00003,XGBoost,0.3948043409871622,0.057533130675909414,Other
C00024_Acetyl CoA,C00024,SVR,0.3444204240253718,0.0689591458005887,Other
C00086_Urea,C00086,SVR,0.32868856633562515,0.0609350508995809,Other
C00092_G6P,C00092,LightGBM,0.1150953869924618,-0.10971058640510516,Other
C00122_Fumarate,C00122,SVR,0.3369338628002403,0.08619472791101179,Other
C00123_Leu,C00123,SVR,0.4781003310415074,0.2002251741287607,Amino Acid
C00186_Lactate,C00186,SVR,0.3073109243697479,0.020497707515493412,Other
C00191_Glucuronate,C00191,LightGBM,0.2794614893197203,0.12007136334755537,Other
C00245_Taurine,C00245,RF,0.4503081232492998,0.1317992370086098,Other
C00255_Riboflavin,C00255,RF,0.2025127120622948,0.003043586663675213,Other
C00311_Isocitrate,C00311,SVR,0.22461887342335302,-0.042406465818692375,Other
C00314_Pyridoxine,C00314,RF,0.40700280112044823,0.14039018434913128,Other
C00334_GABA,C00334,SVR,0.49659281894576013,0.24300326468943342,Other
C00346_Ethanolamine phosphate,C00346,RF,0.20133543812618568,-0.1272755554245789,Other
C00383_Malonate,C00383,RF,0.3645423647721228,0.06797793607193975,Other
C00407_Ile,C00407,SVR,0.4392462439521263,0.19063672624391972,Amino Acid
C00417_cis-Aconitate,C00417,SVR,0.25689352323674947,0.009740744984227102,Other
C00423_trans-Cinnamate,C00423,RF,0.3903207509848216,0.098402713264736,Other
C00449_Saccharopine,C00449,RF,0.3108861726508786,0.08816836303760486,Other
C00491_Cystine,C00491,SVR,0.3411553130676809,0.13827088719605798,Other
C00630_Isobutyryl CoA,C00630,SVR,0.3845194060522885,0.07276922825069965,Other
C00785_Urocanate,C00785,LightGBM,0.41878443717704456,0.1431590741779117,Other
C00879_Mucate,C00879,RF,0.19785132220983076,-0.07919842834533626,Other
C01015_Hydroxyproline,C01015,SVR,0.3532722179781003,0.07802541757156051,Other
C01042_N-Acetylaspartate,C01042,SVR,0.5249019607843137,0.24745843849695975,Other
C01104_Trimethylamine N-oxide,C01104,RF,0.3975619008731712,0.12724760368364552,Other
C01118_o-Succinylhomoserine,C01118,RF,0.4021861483284619,0.1183905894470186,Other
C01425_Glu-Glu,C01425,SVR,0.29251039288209474,0.062464136903000664,Other
C01551_Allantoin,C01551,SVR,0.12110800846192031,-0.06715634692895665,Other
C01879_5-Oxoproline,C01879,RF,0.2808326967150496,0.03001580217687614,Other
C01959_Taurocyamine,C01959,RF,0.24684273696105868,-0.08105132240096771,Other
C02037_Gly-Gly,C02037,SVR,0.2781027076810293,0.08238133679266037,Other
C02155_Gly-Leu,C02155,XGBoost,0.01893048128342247,-0.1786879579990205,Other
C02230_3-Methylguanine,C02230,ElasticNet,0.07321927229600739,-0.5760287030760638,Other
C02378_6-Aminohexanoate,C02378,RF,0.26738805392879683,0.05992864143717774,Other
C02679_Dodecanoate,C02679,SVR,0.27217739252127626,0.04479078102895362,Other
C02710_N-Acetylleucine,C02710,SVR,0.07054808722334602,-0.10437137032148236,Other
C02714_N-Acetylputrescine,C02714,SVR,0.6762108479755538,0.39592512595168355,Other
C03264_2-Hydroxy-4-methylpentanoate,C03264,SVR,0.3507683893028162,0.1906310044480029,Other
C05332_Phenethylamine,C05332,SVR,0.5134590029369701,0.29989962509651097,Other
C05984_2-Hydroxybutyrate,C05984,SVR,0.30424897039256754,0.1360687522898609,Other
C07151_Metformin,C07151,SVR,0.2537058925946083,-0.07257401696522812,Other
C08262_Isovalerate,C08262,SVR,0.42611662846956977,0.02701103826121436,Other
C08277_Sebacate,C08277,RF,0.6538090010320301,0.38347219832388474,Other
C09815_Benzamide,C09815,RF,0.14490628286766113,-0.056414446597759314,Other
C11118_1-Methyl-2-pyrrolidinone,C11118,RF,0.15766958209500467,0.012046072847001743,Other
C16741_5-Hydroxylysine,C16741,SVR,0.3550674815380698,0.03028592039167267,Other
C17714_Heptanoate,C17714,SVR,0.4883891061008995,0.33189029589388797,Other
_DCA,_DCA,SVR,0.3258467023172905,-0.009874155651758355,Other
