Species,Genus,Assembly_accession
Faecalimonas phoceensis,faecalimonas,
Lachnospira sp000436535,lachnospira,
Tidjanibacter inops_A,tidjanibacter,
Ventricola sp900542395,ventricola,
Ruminococcus_B gnavus,ruminococcus,
Anaerotignum faecicola,anaerotignum,GCA_052349825.1
Faecalibacterium sp900539945,faecalibacterium,
Fusobacterium_A necrogenes,fusobacterium,
CAG-177 sp003514385,cag-177,
Acutalibacter stercoravium,acutalibacter,
Ruminococcus_B sp900544395,ruminococcus,
Dialister sp000434475,dialister,
Enterocloster citroniae,enterocloster,GCF_982262575.1
Collinsella aerofaciens_M,collinsella,
Faecalibacterium sp900539885,faecalibacterium,
Akkermansia muciniphila_B,akkermansia,
Blautia_A sp000436615,blautia,
Bacteroides faecis,bacteroides,GCA_982252835.1
CAG-177 sp003538135,cag-177,
CAG-41 sp900066215,cag-41,
Intestinimonas butyriciproducens,intestinimonas,GCF_041085325.1
Dysosmobacter sp014297375,dysosmobacter,
Acetatifactor sp003447295,acetatifactor,
Anaeroglobus micronuciformis,anaeroglobus,
CAG-83 sp000435975,cag-83,
CAG-83 sp001916855,cag-83,
Alistipes communis,alistipes,GCF_044324945.1
Enterenecus sp900549885,enterenecus,
Lawsonibacter asaccharolyticus,lawsonibacter,GCA_042851705.1
UMGS856 sp900546265,umgs856,
CAG-170 sp000432135,cag-170,
Acetatifactor intestinalis,acetatifactor,
ER4 sp003522105,er4,
CAG-170 sp900545925,cag-170,
Allisonella histaminiformans,allisonella,
Acetatifactor sp900772845,acetatifactor,
Lawsonibacter sp900066645,lawsonibacter,
Clostridium_A leptum,clostridium,
Dysosmobacter sp001916835,dysosmobacter,
Acetatifactor sp900771995,acetatifactor,
