Genus,KEGG_hit,N_polyamine_KO,UniProt_hit,NCBI_assembly,Any_annotation
acetatifactor,False,0,True,False,True
acutalibacter,True,0,True,False,True
akkermansia,True,0,True,False,True
alistipes,True,0,True,True,True
allisonella,False,0,True,False,True
anaeroglobus,False,0,True,False,True
anaerotignum,True,1,True,True,True
bacteroides,True,0,True,True,True
blautia,True,2,True,False,True
cag-170,False,0,False,False,False
cag-177,False,0,False,False,False
cag-41,False,0,False,False,False
cag-83,False,0,False,False,False
clostridium,True,2,True,False,True
collinsella,True,1,True,False,True
dialister,True,2,True,False,True
dysosmobacter,True,1,True,False,True
enterenecus,False,0,True,False,True
enterocloster,True,2,True,True,True
er4,True,2,False,False,True
faecalibacterium,True,2,True,False,True
faecalimonas,False,0,True,False,True
fusobacterium,True,1,True,False,True
intestinimonas,True,1,True,True,True
lachnospira,True,0,True,False,True
lawsonibacter,True,2,True,True,True
ruminococcus,True,1,True,False,True
tidjanibacter,False,0,True,False,True
umgs856,False,0,False,False,False
ventricola,False,0,False,False,False
