factor,pval,qval
Factor7,0.0008493252708590704,0.0073338409708061355
Factor4,0.0009778454627741514,0.0073338409708061355
Factor14,0.006772093151011508,0.03386046575505754
Factor12,0.017040798962877617,0.06390299611079106
Factor3,0.022530811699974247,0.06759243509992274
Factor10,0.027915596239613188,0.06978899059903297
Factor15,0.05712879006424498,0.12241883585195354
Factor5,0.21831759763445233,0.39418574134396417
Factor8,0.23651144480637848,0.39418574134396417
Factor6,0.28654646136964224,0.42981969205446335
Factor13,0.3224758061198221,0.4397397356179392
Factor9,0.44045744280686727,0.550571803508584
Factor2,0.5413086273064709,0.6245868776613126
Factor1,0.683136917971574,0.7319324121124008
Factor11,0.9460858710917223,0.9460858710917223
