factor,rho_stage,rho2_stage,pval_stage,qval_stage
Factor14,-0.17438684327473616,0.030410771107327393,0.001107175867565434,0.01660763801348151
Factor12,-0.1527380886770451,0.023328923732716896,0.004348894552963154,0.03261670914722366
Factor7,-0.14180020319975872,0.020107297627492863,0.00816200880410597,0.040810044020529845
Factor4,-0.1270074909565988,0.016130902759090526,0.017935672909146574,0.06725877340929966
Factor15,0.11000619147671727,0.012101362163212183,0.040558659108565334,0.121675977325696
Factor3,0.08679132076995018,0.007532733360992385,0.10653690452199098,0.26634226130497746
Factor10,-0.07503469264085125,0.005630205099707016,0.16311695516749597,0.335620517741955
Factor8,0.07230797395430551,0.005228443097376524,0.178997609462376,0.335620517741955
Factor5,0.058442616110172124,0.0034155393778009502,0.277627110006157,0.46271185001026166
Factor13,0.05102036825377135,0.0026030779767504393,0.3433371489875705,0.5150057234813558
Factor6,-0.034394313457911906,0.0011829687982411001,0.5231012589968481,0.7133198986320657
Factor1,0.017014950136635214,0.0002895085281521827,0.7521295661434357,0.9401619576792947
Factor2,0.00330375568779601,1.0914801644644488e-05,0.9511041601313139,0.9812999993675152
Factor9,-0.0030037379926229424,9.022441928326503e-06,0.9555396379454681,0.9812999993675152
Factor11,0.0012628341264183886,1.5947500308468946e-06,0.9812999993675152,0.9812999993675152
