factor,mcfadden_r2,pval_factor,qval_factor
Factor14,0.01035856542949043,0.0006696187043073561,0.010044280564610342
Factor4,0.006384005577520835,0.007214241690215389,0.044615875766011975
Factor7,0.006066978072771123,0.008923175153202395,0.044615875766011975
Factor15,0.0053388126352257315,0.014007472605735162,0.05252802227150686
Factor3,0.0021491439890679587,0.11834875692153982,0.3550462707646195
Factor8,0.001751262643242435,0.15997023837448265,0.38634155814853305
Factor10,0.0015830490730540658,0.1802927271359821,0.38634155814853305
Factor13,0.0011691296847273769,0.24846673640763595,0.4658751307643174
Factor5,0.0007582799149011832,0.3540445191969397,0.5900741986615662
Factor2,0.00014117949569736332,0.6886025450518425,0.9573265878100019
Factor1,0.00010507031144779688,0.729656112537577,0.9573265878100019
Factor11,3.912309650011547e-05,0.8329576892291113,0.9573265878100019
Factor9,1.8549034765613648e-05,0.884536604799078,0.9573265878100019
Factor6,1.5735457188137403e-05,0.8935048152893351,0.9573265878100019
Factor12,,1.0,1.0
